x,y,uT_target,uT_pinn
0,0,0,9.86200757325e-05
0.0227272734046,0,0,0.000101287383586
0.0454545468092,0,0,0.000101734418422
0.0681818202138,0,0,0.000100303906947
0.0909090936184,0,0,9.65041108429e-05
0.113636367023,0,0,8.99923034012e-05
0.136363640428,0,0,8.10814090073e-05
0.159090906382,0,0,6.95777125657e-05
0.181818187237,0,0,5.54812140763e-05
0.204545468092,0,0,3.85832972825e-05
0.227272734046,0,0,1.90925784409e-05
0.25,0,0,-2.75252386928e-06
0.272727280855,0,0,-2.71308235824e-05
0.29545456171,0,0,-5.36697916687e-05
0.318181812763,0,0,-8.20863060653e-05
0.340909093618,0,0,-0.000112454872578
0.363636374474,0,0,-0.000144343357533
0.386363655329,0,0,-0.000177513342351
0.409090936184,0,0,-0.000211338978261
0.431818187237,0,0,-0.000245790462941
0.454545468092,0,0,-0.000280420761555
0.477272748947,0,0,-0.000314633827657
0.5,0,0,-0.000348012428731
0.522727251053,0,0,-0.000380139332265
0.545454502106,0,0,-0.000410463195294
0.568181812763,0,0,-0.000438253860921
0.590909063816,0,0,-0.000463094096631
0.613636374474,0,0,-0.000484283547848
0.636363625526,0,0,-0.000501136761159
0.659090876579,0,0,-0.00051326630637
0.681818187237,0,0,-0.0005196291022
0.70454543829,0,0,-0.000519703608006
0.727272748947,0,0,-0.000512834172696
0.75,0,0,-0.000498305540532
0.772727251053,0,0,-0.000475164037198
0.795454502106,0,0,-0.000443439465016
0.818181812763,0,0,-0.000401954632252
0.840909123421,0,0,-0.000350202899426
0.863636374474,0,0,-0.000287618022412
0.886363625526,0,0,-0.000214065890759
0.909090876579,0,0,-0.000128846149892
0.931818187237,0,0,-3.19737009704e-05
0.95454543829,0,0,7.68494792283e-05
0.977272748947,0,0,0.000197757501155
1,0,-0,0.000330884475261
0,0.0227272734046,0,8.8591594249e-05
0.0227272734046,0.0227272734046,5.00878852283e-12,9.13781113923e-05
0.0454545468092,0.0227272734046,9.99205232444e-12,9.20784659684e-05
0.0681818202138,0.0227272734046,1.49244002573e-11,9.10055823624e-05
0.0909090936184,0.0227272734046,1.97806961783e-11,8.73995013535e-05
0.113636367023,0.0227272734046,2.45361942569e-11,8.14539380372e-05
0.136363640428,0.0227272734046,2.9166662141e-11,7.3213595897e-05
0.159090906382,0.0227272734046,3.36485006525e-11,6.24102540314e-05
0.181818187237,0.0227272734046,3.79588790955e-11,4.90439124405e-05
0.204545468092,0.0227272734046,4.20758254627e-11,3.30400653183e-05
0.227272734046,0.0227272734046,4.59783600082e-11,1.46520324051e-05
0.25,0.0227272734046,4.96465993316e-11,-6.23939558864e-06
0.272727280855,0.0227272734046,5.30618535222e-11,-2.95150093734e-05
0.29545456171,0.0227272734046,5.6206719834e-11,-5.46830706298e-05
0.318181812763,0.0227272734046,5.90651624832e-11,-8.19670967758e-05
0.340909093618,0.0227272734046,6.16226236705e-11,-0.000110964756459
0.363636374474,0.0227272734046,6.38660790919e-11,-0.000141378026456
0.386363655329,0.0227272734046,6.57840795726e-11,-0.000173341017216
0.409090936184,0.0227272734046,6.73668690276e-11,-0.000206093769521
0.431818187237,0.0227272734046,6.86063567068e-11,-0.00023929355666
0.454545468092,0.0227272734046,6.94962420944e-11,-0.0002724933438
0.477272748947,0.0227272734046,7.00320079705e-11,-0.000305633526295
0.5,0.0227272734046,7.02108926554e-11,-0.000338237266988
0.522727251053,0.0227272734046,7.00320079705e-11,-0.000369529705495
0.545454502106,0.0227272734046,6.94962420944e-11,-0.00039930222556
0.568181812763,0.0227272734046,6.86063567068e-11,-0.000426690559834
0.590909063816,0.0227272734046,6.73668620887e-11,-0.000451128464192
0.613636374474,0.0227272734046,6.57840795726e-11,-0.000472258310765
0.636363625526,0.0227272734046,6.38660790919e-11,-0.000489037018269
0.659090876579,0.0227272734046,6.16226306094e-11,-0.000501211266965
0.681818187237,0.0227272734046,5.90651624832e-11,-0.000507812481374
0.70454543829,0.0227272734046,5.62067163645e-11,-0.000508319120854
0.727272748947,0.0227272734046,5.30618465833e-11,-0.000502090435475
0.75,0.0227272734046,4.96465993316e-11,-0.000488321762532
0.772727251053,0.0227272734046,4.59783530693e-11,-0.000466163735837
0.795454502106,0.0227272734046,4.20758219932e-11,-0.00043524382636
0.818181812763,0.0227272734046,3.79588686872e-11,-0.000394921284169
0.840909123421,0.0227272734046,3.36484902441e-11,-0.000344614963979
0.863636374474,0.0227272734046,2.9166662141e-11,-0.000284086447209
0.886363625526,0.0227272734046,2.45361855833e-11,-0.000212352257222
0.909090876579,0.0227272734046,1.9780697913e-11,-0.00012982962653
0.931818187237,0.0227272734046,1.49243950531e-11,-3.58927063644e-05
0.95454543829,0.0227272734046,9.99204278346e-12,6.94287009537e-05
