alpha,residual,regularization
1e-07,0.0202720090068,9.28392903616
3.16227766017e-07,0.0186017878109,9.13162939601
1e-06,0.0261232363697,8.60706948982
3.16227766017e-06,0.0439394652223,7.06908877747
1e-05,0.0260255984653,4.53811502203
3.16227766017e-05,0.0179782380982,1.83427438281
0.0001,0.0408318198122,0.775181874346
0.000316227766017,0.0202864525323,0.248793537754
0.001,0.0144258867568,0.0934265951145
0.00316227766017,0.0181139189197,0.0108486220741
0.01,0.0226735099606,0.00453648922834
0.0316227766017,0.0185329887528,0.000555081538387
0.1,0.0162537812695,0.000303067081194
0.316227766017,0.0165946930391,0.000324471728329
1,0.0372366770657,0.000228147831332
