x,y,uT_target,uT_rollout
0,0,0,0
0.0333333333333,0,0,0
0.0666666666667,0,0,0
0.1,0,0,0
0.133333333333,0,0,0
0.166666666667,0,0,0
0.2,0,0,0
0.233333333333,0,0,0
0.266666666667,0,0,0
0.3,0,0,0
0.333333333333,0,0,0
0.366666666667,0,0,0
0.4,0,0,0
0.433333333333,0,0,0
0.466666666667,0,0,0
0.5,0,0,0
0.533333333333,0,0,0
0.566666666667,0,0,0
0.6,0,0,0
0.633333333333,0,0,0
0.666666666667,0,0,0
0.7,0,0,0
0.733333333333,0,0,0
0.766666666667,0,0,0
0.8,0,0,0
0.833333333333,0,0,0
0.866666666667,0,0,0
0.9,0,0,0
0.933333333333,0,0,0
0.966666666667,0,0,0
1,0,0,0
0,0.0333333333333,0,0
0.0333333333333,0.0333333333333,1.07533848626e-11,-4.66325373101e-06
0.0666666666667,0.0333333333333,2.13889533904e-11,-5.95053343095e-06
0.1,0.0333333333333,3.17901800689e-11,-6.1109823192e-06
0.133333333333,0.0333333333333,4.18431068821e-11,-6.0839674268e-06
0.166666666667,0.0333333333333,5.143759186e-11,-6.30870317346e-06
0.2,0.0333333333333,6.04685158175e-11,-7.01571230335e-06
0.233333333333,0.0333333333333,6.88369340618e-11,-8.34454629675e-06
0.266666666667,0.0333333333333,7.64511604515e-11,-1.03923457401e-05
0.3,0.0333333333333,8.32277719289e-11,-1.323384561e-05
0.333333333333,0.0333333333333,8.90925225205e-11,-1.69253236247e-05
0.366666666667,0.0333333333333,9.39811567915e-11,-2.15013318951e-05
0.4,0.0333333333333,9.78401138419e-11,-2.69674967778e-05
0.433333333333,0.0333333333333,1.00627114131e-10,-3.32914847735e-05
0.466666666667,0.0333333333333,1.023116227e-10,-4.03954789384e-05
0.5,0.0333333333333,1.0287518372e-10,-4.81495278956e-05
0.533333333333,0.0333333333333,1.023116227e-10,-5.63677956349e-05
0.566666666667,0.0333333333333,1.00627114131e-10,-6.48068678912e-05
0.6,0.0333333333333,9.78401138419e-11,-7.31688924031e-05
0.633333333333,0.0333333333333,9.39811567915e-11,-8.11097755486e-05
0.666666666667,0.0333333333333,8.90925225205e-11,-8.82547550082e-05
0.7,0.0333333333333,8.32277719289e-11,-9.42167415114e-05
0.733333333333,0.0333333333333,7.64511604515e-11,-9.86134107524e-05
0.766666666667,0.0333333333333,6.88369340618e-11,-0.000101070030465
0.8,0.0333333333333,6.04685158175e-11,-0.00010120021775
0.833333333333,0.0333333333333,5.143759186e-11,-9.85551955602e-05
0.866666666667,0.0333333333333,4.18431068821e-11,-9.25303175374e-05
0.9,0.0333333333333,3.17901800689e-11,-8.21984425674e-05
0.933333333333,0.0333333333333,2.13889533904e-11,-6.59748353351e-05
0.966666666667,0.0333333333333,1.07533848626e-11,-4.08153503531e-05
1,0.0333333333333,1.25985764454e-26,0
0,0.0666666666667,0,0
0.0333333333333,0.0666666666667,2.13889533904e-11,-2.87522416338e-06
0.0666666666667,0.0666666666667,4.25435649315e-11,-2.73192618106e-06
0.1,0.0666666666667,6.32320602725e-11,-1.61247794354e-06
0.133333333333,0.0666666666667,8.32277719289e-11,-6.42679291101e-07
0.166666666667,0.0666666666667,1.023116227e-10,-4.39640689973e-07
0.2,0.0666666666667,1.20274525922e-10,-1.35838762618e-06
0.233333333333,0.0666666666667,1.36919676269e-10,-3.62377156795e-06
0.266666666667,0.0666666666667,1.52064705991e-10,-7.39363604264e-06
0.3,0.0666666666667,1.65543682972e-10,-1.27856132166e-05
0.333333333333,0.0666666666667,1.7720892872e-10,-1.98799794851e-05
0.366666666667,0.0666666666667,1.86932636362e-10,-2.87122335734e-05
0.4,0.0666666666667,1.94608270922e-10,-3.92599141843e-05
0.433333333333,0.0666666666667,2.00151736541e-10,-5.14279580692e-05
0.466666666667,0.0666666666667,2.03502297851e-10,-6.50347460611e-05
0.5,0.0666666666667,2.04623245399e-10,-7.98014087657e-05
0.533333333333,0.0666666666667,2.03502297851e-10,-9.53440777648e-05
0.566666666667,0.0666666666667,2.00151736541e-10,-0.000111173509583
0.6,0.0666666666667,1.94608270922e-10,-0.000126703982094
0.633333333333,0.0666666666667,1.86932636362e-10,-0.000141275389889
0.666666666667,0.0666666666667,1.7720892872e-10,-0.000154188263025
0.7,0.0666666666667,1.65543682972e-10,-0.000164740332404
