x,uT_target,uT_pinn
0,0,0.000645764172077
0.0317332595587,0.0317279323936,0.0317237526178
0.0634665191174,0.0634239241481,0.0621591061354
0.095199778676,0.0950560420752,0.0919510275126
0.126933038235,0.126592457294,0.121099889278
0.158666297793,0.15800139308,0.149609014392
0.190399557352,0.189251244068,0.177481099963
0.222132816911,0.220310539007,0.204720810056
0.253866076469,0.251147985458,0.231332615018
0.285599350929,0.281732589006,0.25732165575
0.317332595587,0.312033444643,0.282692313194
0.349065840244,0.342020124197,0.307449638844
0.380799114704,0.371662467718,0.331597328186
0.412532389164,0.400930553675,0.355139493942
0.444265633821,0.42979490757,0.378079354763
0.475998878479,0.458226531744,0.400419354439
0.507732152939,0.486196756363,0.422161340714
0.539465427399,0.513677418232,0.443307578564
0.571198701859,0.540640830994,0.463857889175
0.602931916714,0.567059874535,0.483813285828
0.634665191174,0.592907965183,0.503173172474
0.666398465633,0.618158996105,0.521936714649
0.698131680489,0.642787575722,0.54010283947
0.729864954948,0.666768968105,0.557669878006
0.761598229408,0.690079033375,0.574635565281
0.793331503868,0.712694168091,0.5909973979
0.825064778328,0.734591722488,0.606752753258
0.856797993183,0.755749583244,0.621899008751
0.888531267643,0.7761464715,0.636432468891
0.920264542103,0.795761823654,0.650350272655
0.951997756958,0.814575910568,0.663648664951
0.983731031418,0.83256983757,0.676324009895
1.01546430588,0.849725425243,0.688372969627
1.04719758034,0.866025388241,0.69979172945
1.0789308548,0.88145339489,0.710576653481
1.11066412926,0.895993828773,0.72072416544
1.14239740372,0.909632027149,0.730230510235
1.17413055897,0.922354280949,0.739092350006
1.20586383343,0.934147834778,0.747305750847
1.23759710789,0.945000827312,0.754867970943
1.26933038235,0.954902231693,0.761775434017
1.30106365681,0.963842153549,0.768024742603
1.33279693127,0.971811592579,0.773613274097
1.36453020573,0.978802442551,0.778537929058
1.39626336098,0.984807729721,0.782795667648
1.42799663544,0.989821434021,0.786384403706
1.4597299099,0.993838429451,0.789301216602
1.49146318436,0.996854782104,0.79154419899
1.52319645882,0.998867332935,0.793111085892
1.55492973328,0.99987411499,0.794000029564
1.58666300774,0.99987411499,0.794209241867
1.6183962822,0.998867332935,0.79373729229
1.65012955666,0.996854782104,0.792582809925
1.68186283112,0.993838429451,0.790745019913
1.71359610558,0.989821434021,0.788222670555
1.74532938004,0.984807729721,0.785015642643
1.77706253529,0.978802442551,0.781123399734
1.80879580975,0.971811592579,0.776545584202
1.84052908421,0.963842153549,0.771282553673
1.87226235867,0.954902231693,0.765334367752
1.90399563313,0.945000767708,0.758701920509
1.93572890759,0.934147834778,0.751385867596
1.96746218204,0.922354280949,0.743387401104
1.9991953373,0.909631967545,0.734707534313
2.03092861176,0.895993769169,0.725348114967
2.06266188622,0.881453335285,0.715310633183
2.09439516068,0.866025388241,0.704597115517
2.12612843513,0.849725365639,0.693209767342
2.15786170959,0.832569777966,0.681150913239
2.18959498405,0.814575910568,0.668423712254
2.22132825851,0.79576176405,0.655030608177
2.25306153297,0.776146352291,0.640975117683
2.28479480743,0.755749464035,0.626260578632
2.31652784348,0.734591782093,0.610890924931
2.34826135635,0.712694048882,0.594869911671
2.3799943924,0.690079033375,0.578202068806
2.41172790527,0.666768848896,0.560892045498
2.44346094131,0.642787635326,0.542944788933
2.47519421577,0.618158996105,0.524365723133
2.50692749023,0.592907905579,0.505160212517
2.53866076469,0.56705981493,0.485334217548
2.57039403915,0.540640771389,0.464894413948
2.60212731361,0.513677358627,0.443847000599
2.63386058807,0.486196666956,0.422198593616
2.66559386253,0.458226442337,0.399956822395
2.69732713699,0.429794818163,0.377129137516
2.72906041145,0.400930434465,0.353723287582
2.76079368591,0.371662318707,0.329747200012
2.79252696037,0.342020004988,0.305209219456
2.82426023483,0.312033295631,0.280118048191
2.85599327087,0.281732618809,0.254483342171
2.88772678375,0.251147776842,0.228313341737
2.91945981979,0.220310553908,0.201619073749
2.95119309425,0.189251244068,0.174410328269
2.98292636871,0.158001378179,0.14669765532
3.01465964317,0.126592427492,0.118493169546
3.04639291763,0.0950560048223,0.0898090898991
3.07812619209,0.0634238645434,0.0606584846973
3.10985946655,0.031727861613,0.0310554653406
3.14159274101,-8.74227765735e-08,0.00101492553949
