alpha,residual,regularization
1e-06,0.00198800763621,1.52464254599
2.73841963426e-06,0.00181980592788,1.39361962192
7.49894209332e-06,0.00151009779246,1.13418188527
2.05352502646e-05,0.00104651223275,0.807258269737
5.6234132519e-05,0.00134303080182,0.49225248483
0.000153992652606,0.00095352386167,0.306902854708
0.000421696503429,0.000770886574312,0.184642009837
0.00115478198469,0.000676431600081,0.0926338264638
0.00316227766017,0.00116074350356,0.0395829029096
0.0086596432336,0.00164883599506,0.0153032995007
0.0237137370566,0.000702899670586,0.00568223301585
0.0649381631576,0.000989306282895,0.00210050041615
0.177827941004,0.000803860076645,0.000767783256047
0.486967525166,0.000615914658994,0.000283874409312
1.33352143216,0.00111249970278,0.000130348595448
3.65174127255,0.000661376811065,5.71586068363e-05
10,0.000608795953166,5.314969854e-05
