x,uT_target,uT_rollout
0,0,0
0.01,0,0.00191366474431
0.02,0,0.00314069416061
0.03,0,0.00386649221815
0.04,0,0.00425093463661
0.05,0,0.00442285692691
0.06,0,0.00448053561392
0.07,0,0.00449563905662
0.08,0,0.00451821121474
0.09,0,0.00458111829736
0.1,0,0.00470324490101
0.11,0,0.00489116322884
0.12,0,0.00513922821037
0.13,0,0.00542814313505
0.14,0,0.00572208634828
0.15,0,0.00596465013834
0.16,0,0.00607413663878
0.17,0,0.00593931982717
0.18,0,0.0054176438976
0.19,0,0.00433925615036
0.2,0,0.00252221164103
0.21,0,-0.000193776051356
0.22,0,-0.00388667780496
0.23,0,-0.00845733404755
0.24,0,-0.0134790256515
0.25,0,-0.0177438018155
0.26,0,-0.0164435929477
0.27,0,0.00759367924632
0.28,0,0.0630731581143
0.29,0,0.15309724974
0.3,0.5,0.279635751798
0.31,0.5,0.396170400576
0.32,0.5,0.470098413703
0.33,0.5,0.500461049961
0.34,0.5,0.511834560961
0.35,0.5,0.511509443942
0.36,0.5,0.505229312849
0.37,0.5,0.499197974533
0.38,0.5,0.495178148164
0.39,0.5,0.492894984663
0.4,0.5,0.491910133278
0.41,0.5,0.491880625649
0.42,0.5,0.492538526269
0.43,0.5,0.49366856421
0.44,0.5,0.495097192269
0.45,0.5,0.4966854404
0.46,0.5,0.498322380761
0.47,0.5,0.499919264608
0.48,0.5,0.501404909901
0.49,0.5,0.502722480198
0.5,0.5,0.50382747409
0.51,0.5,0.504686653769
0.52,0.5,0.505277704569
0.53,0.5,0.505589460944
0.54,0.5,0.50562254264
0.55,0.5,0.505390242834
0.56,0.5,0.504919407115
0.57,0.5,0.504250834414
0.58,0.5,0.503438276905
0.59,0.5,0.502544406002
0.6,0.5,0.501631857604
0.61,0.5,0.500750129284
0.62,0.5,0.49992938683
0.63,0.5,0.49922356266
0.64,0.5,0.498983079827
0.65,0.5,0.500065383299
0.66,0.5,0.502583805503
0.67,0.5,0.502002672228
0.68,0.5,0.472648727381
0.69,0.5,0.390080908693
0.7,0,0.256976463982
0.71,0,0.126320062639
0.72,0,0.0392007684536
0.73,0,-0.00286931856508
0.74,0,-0.00900883565914
0.75,0,-0.00155038912793
0.76,0,0.00595493994081
0.77,0,0.00955687485724
0.78,0,0.00997107846283
0.79,0,0.00901395128465
0.8,0,0.00777429311801
0.81,0,0.00655344303798
0.82,0,0.00542369045627
0.83,0,0.00440553184871
0.84,0,0.00350635307863
0.85,0,0.00272884359635
0.86,0,0.0020733358979
0.87,0,0.00153833940791
0.88,0,0.00112019985021
0.89,0,0.000812517020654
0.9,0,0.000605705980431
0.91,0,0.000486834053788
0.92,0,0.000439730912956
0.93,0,0.00044531559387
0.94,0,0.000482118825699
0.95,0,0.000526930276545
0.96,0,0.000555442918533
0.97,0,0.000542716123773
0.98,0,0.000463339416837
0.99,0,0.000291329573883
1,0,0
