epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj,loss_reg_h1
1,6.32863801724,0.382683040947,0.057528528478,0.172636630945,0.0571577329189,0.107310216501
2,3.19326839943,0.0252427598462,0.0127335575409,0.0750827703625,0.0308020783588,0.00958359045908
3,2.43170793013,0.0513005243614,0.0185747344047,0.125929313898,0.0223589852452,0.0313842756674
4,1.94871722313,0.0513067100197,0.0155981031246,0.0895328238606,0.0179226953536,0.0652677997947
5,1.57332476422,0.0901506282389,0.0209423391148,0.105908252299,0.013563113194,0.0793880224228
6,1.3226288492,0.156718664616,0.0288555523381,0.105121808499,0.0103191331029,0.12671680674
7,1.18917719591,0.207033713162,0.0380043819547,0.105763550103,0.00838319994509,0.360771605372
8,1.09420319488,0.192384493351,0.0411976657808,0.102773800492,0.00757637126371,1.36440851092
9,0.991399479173,0.127208408713,0.0406434446573,0.095953989774,0.00726973726414,4.02557916641
10,0.905751826358,0.0743339505047,0.0391743708402,0.0911471582949,0.00699839210138,8.16361403465
11,0.840402602136,0.0474324371666,0.0374374449253,0.0891674354672,0.00664325784892,13.2441363335
12,0.789942754616,0.0322163123637,0.0354738187045,0.0862975336611,0.00633220286109,17.7593133926
13,0.753220617843,0.0233991952613,0.0335019856691,0.0808006219566,0.00612309235148,20.8424217224
14,0.727292439257,0.0189426017925,0.0315285986289,0.0726454116404,0.00600343579426,24.8859130859
15,0.706798766393,0.0160493390635,0.0298175456002,0.0640426818281,0.00592367574573,29.362604332
16,0.689532651497,0.0144680451602,0.0283411102369,0.0564483549446,0.00585219641216,32.8294879913
17,0.674506905152,0.0130752649158,0.0269256392494,0.0499647438526,0.00579088469967,35.4093982697
18,0.660962833496,0.0113993725739,0.0253910791129,0.0444796096534,0.00573941385373,37.3484493256
19,0.648359645563,0.00969079053029,0.0237791845575,0.0398104872555,0.00569167123176,38.3918319702
20,0.636650399303,0.00804790174589,0.0222043232992,0.0356257583946,0.00564751452766,39.0990283966
21,0.626025956746,0.00700339688919,0.0206319296733,0.0317807825282,0.00560519099236,39.5522014618
22,0.616216408758,0.00629728781059,0.0190133238211,0.028264753893,0.00556427692063,40.3483612061
23,0.607103331329,0.0059249158483,0.017378821969,0.025056499429,0.00552381053567,41.3139225006
24,0.598569844581,0.00574957286008,0.0157820629887,0.022186858952,0.00548337656073,42.2987304688
25,0.59060432205,0.00564434877597,0.0142523280345,0.0196399319917,0.00544382934459,43.4097255707
26,0.582943997676,0.0055780091323,0.0128455575556,0.0173326455057,0.00540385353379,44.1737445831
27,0.575505090247,0.00534320520237,0.0115071319044,0.0152876346372,0.00536411316134,45.1697029114
28,0.568478446459,0.00533277895302,0.0103201192804,0.0134281081147,0.00532310297713,46.0226009369
29,0.561531568011,0.00517512676306,0.00919219991192,0.0117795835249,0.00528133846819,47.0854347229
30,0.554611077255,0.0048850774765,0.0081819422543,0.0103118339553,0.00523785706609,48.356313324
31,0.547829332399,0.00473593324423,0.00725717060268,0.00900155594572,0.00519200656563,49.573897934
32,0.541199318182,0.0045785818249,0.00642729466781,0.00785749005154,0.00514445309527,51.2403804779
33,0.534483491343,0.00437302500941,0.00568750812672,0.00686000688002,0.00509385988116,53.099697113
34,0.527746743192,0.00428308653645,0.00501723452471,0.00598646230064,0.00503996359184,54.9610679626
35,0.520982239829,0.00409904452972,0.00444443891756,0.0052336094901,0.00498356577009,57.4609874725
36,0.514180182261,0.00402077159379,0.0039308920037,0.00459920456633,0.00492377290502,60.0809417725
37,0.507304184845,0.00393684897572,0.00349389826879,0.00405012955889,0.00486110770144,63.0714370728
38,0.500428921755,0.00395337839145,0.00311747030355,0.00358886022586,0.00479528186843,66.5033416748
39,0.493505610901,0.00398761150427,0.0028031704016,0.00319551175926,0.0047269878909,70.2665222168
40,0.486799342776,0.00419864966534,0.00254395990632,0.002863516449,0.00465718912892,74.512021637
41,0.48019843829,0.00442234859802,0.0023338194238,0.00257891044021,0.00458649951033,79.3116333008
42,0.473730929718,0.00479757590219,0.0021519995993,0.00234757652506,0.00451421169564,84.501486969
43,0.467641795529,0.00516970092431,0.00202411049977,0.00213994192891,0.00444381716661,90.4349998474
44,0.46184649983,0.00554264863022,0.00191375961294,0.0019653252908,0.00437504970469,96.8864135742
45,0.456108400498,0.00574884423986,0.00183185177157,0.00182722184109,0.00430728476495,103.719274139
46,0.45103146342,0.00616784538142,0.00176148206228,0.0017066732049,0.0042430720292,110.96802063
47,0.446301415313,0.0064743953757,0.0017010269803,0.00161379000638,0.00418225717731,118.74907608
48,0.442308487819,0.00712216463871,0.00165509023936,0.0015397169278,0.00412524309941,126.416460419
49,0.438807495079,0.00781930745579,0.00160335822729,0.00148269413039,0.0040721192956,134.358395386
50,0.435064847571,0.00768433064222,0.0015604217886,0.00140978201525,0.00402541309595,142.013291931
51,0.431961084665,0.00811606124043,0.00152618751163,0.00136126402067,0.00397953460924,149.38447113
52,0.429093356415,0.00816864203662,0.00147631056607,0.0013183927862,0.00394082185812,156.162159729
53,0.426652398238,0.00859837927856,0.00144137275638,0.00129016753053,0.00390306059271,162.452032471
54,0.424278492431,0.00873122410849,0.00139997729566,0.00125525231706,0.00386970234104,168.331437683
55,0.422258616692,0.0090120729059,0.00136712925741,0.00122948408825,0.00383947410155,173.401261902
56,0.42018424193,0.00907824053429,0.00131308117416,0.00119397849776,0.00381260672584,177.529698181
57,0.418609654996,0.00956407692283,0.00129241666291,0.001186929713,0.0037861951394,181.480851746
58,0.416168077282,0.00891838287935,0.00124451386509,0.00115027113352,0.00376396379434,184.804466248
59,0.414037161056,0.00868763024919,0.00120939395856,0.00114982189843,0.00374145673122,187.311805725
60,0.412160588229,0.00871615977958,0.00117348451167,0.00113202240318,0.00371939560864,189.615284729
61,0.410831687815,0.00891319359653,0.00113561704056,0.00111534140306,0.00370171510149,191.541772461
62,0.408675531677,0.00885592852719,0.00111892967252,0.00111459766049,0.0036795820808,192.397930908
63,0.40672068344,0.00844153994694,0.00106555534294,0.00108851101249,0.00366220346186,194.195829773
64,0.404670589726,0.00839081779122,0.00104859926505,0.00109424069524,0.0036407843465,195.194360352
65,0.402455179783,0.00817403220572,0.00101842865115,0.00108102961676,0.00362021259498,195.856291199
66,0.400213160437,0.00760415480472,0.00100309984991,0.00107306513237,0.0036017236067,197.155380249
67,0.397974490628,0.00734214573167,0.000974344054703,0.00105780803133,0.00358118203003,197.944442749
68,0.395827175201,0.00744676310569,0.000970739888726,0.00106556330575,0.00355744012631,198.711404419
69,0.393792052062,0.00721102268435,0.000936035608174,0.0010433843825,0.00353811068926,199.948114014
70,0.39154397507,0.00717229926959,0.000936489552259,0.0010409727809,0.00351573817898,200.14198761
71,0.389891264447,0.00771901207045,0.000922681827797,0.00103117828257,0.00349296615459,200.800338745
72,0.388088802204,0.00793687650003,0.000910092616687,0.00102058345219,0.0034722112352,201.309124756
73,0.385777094673,0.0077905732207,0.000909856532235,0.0010082472465,0.00345104914159,201.071304321
74,0.383246732475,0.00727656385861,0.000887931912439,0.000989487179322,0.00343033382669,201.693823242
75,0.381293628298,0.00782988080755,0.000890906143468,0.000985773268621,0.00340664400719,200.806121826
76,0.379374454712,0.00807192972861,0.000896657456178,0.000963744951878,0.00338615034707,200.185446167
77,0.377252079784,0.00840047416277,0.000894046784379,0.00095879509463,0.00336252974812,199.657505798
78,0.374628621812,0.00772150172852,0.000878531538183,0.000936313578859,0.0033448870061,198.733990479
79,0.372076790604,0.00752262268215,0.000889044505311,0.000928168272367,0.00332178291865,198.442346191
80,0.36981020092,0.00788227245212,0.000886027910747,0.000911633163923,0.00329814066645,196.86783905
