x,y,u_true,u_pred,abs_error
0,0,0,0.0483454167843,0.0483454167843
0.0101010100916,0,0.0634239315987,0.0468223690987,0.0166015625
0.0202020201832,0,0.126592472196,0.0455311238766,0.0810613483191
0.0303030312061,0,0.189251288772,0.0445013046265,0.144749984145
0.0404040403664,0,0.251148015261,0.0437624156475,0.207385599613
0.0505050495267,0,0.312033474445,0.0433449447155,0.26868852973
0.0606060624123,0,0.371662557125,0.0432779788971,0.328384578228
0.0707070678473,0,0.429794967175,0.0435900688171,0.386204898357
0.0808080807328,0,0.486196815968,0.0443081557751,0.441888660192
0.0909090936184,0,0.540640890598,0.0454564094543,0.495184481144
0.101010099053,0,0.592908024788,0.0470563769341,0.545851647854
0.111111111939,0,0.642787694931,0.0491254329681,0.593662261963
0.121212124825,0,0.690079092979,0.0516762733459,0.638402819633
0.13131313026,0,0.734591782093,0.0547169148922,0.679874897003
0.141414135695,0,0.776146531105,0.0582484602928,0.717898070812
0.151515156031,0,0.814576089382,0.0622660219669,0.752310037613
0.161616161466,0,0.849725544453,0.0667573809624,0.78296816349
0.171717166901,0,0.881453514099,0.0717031061649,0.809750437737
0.181818187237,0,0.909632146358,0.0770758390427,0.832556307316
0.191919192672,0,0.934147894382,0.0828408896923,0.851307034492
0.202020198107,0,0.954902350903,0.0889557898045,0.865946531296
0.212121218443,0,0.971811652184,0.0953714251518,0.876440227032
0.222222223878,0,0.984807908535,0.102031350136,0.882776558399
0.232323229313,0,0.99383854866,0.108873993158,0.884964585304
0.242424249649,0,0.998867452145,0.115832358599,0.883035063744
0.252525240183,0,0.9998742342,0.122835934162,0.877038300037
0.262626260519,0,0.996854901314,0.129811257124,0.867043614388
0.272727280855,0,0.98982155323,0.136682927608,0.853138625622
0.282828271389,0,0.97880256176,0.143375515938,0.835427045822
0.292929291725,0,0.963842213154,0.149814009666,0.814028203487
0.303030312061,0,0.945000886917,0.155925571918,0.789075314999
0.313131302595,0,0.922354400158,0.161639869213,0.760714530945
0.323232322931,0,0.895993888378,0.166890710592,0.729103207588
0.333333343267,0,0.86602550745,0.171616524458,0.694409012794
0.343434333801,0,0.83256983757,0.175761073828,0.65680873394
0.353535354137,0,0.795761823654,0.179274022579,0.616487801075
0.363636374474,0,0.755749583244,0.18211209774,0.573637485504
0.373737365007,0,0.7126942873,0.184237599373,0.528456687927
0.383838385344,0,0.666769087315,0.185620933771,0.481148153543
0.39393940568,0,0.618158876896,0.186238974333,0.431919902563
0.404040396214,0,0.567059874535,0.186075508595,0.38098436594
0.41414141655,0,0.513677418232,0.185121208429,0.328556209803
0.424242436886,0,0.458226501942,0.183373034,0.274853467941
0.43434342742,0,0.40093049407,0.180833756924,0.220096737146
0.444444447756,0,0.34202003479,0.17751210928,0.16450792551
0.454545468092,0,0.281732410192,0.17342042923,0.108311980963
0.464646458626,0,0.220310583711,0.168576419353,0.0517341643572
0.474747478962,0,0.15800139308,0.163001030684,0.00499963760376
0.484848499298,0,0.0950557813048,0.156717479229,0.0616616979241
