x,t,u_true,u_pinn,abs_error
0.00990098994225,0,0.00651459023356,0.00602404028177,0.000490549951792
0.0198019798845,0,0.0130291804671,0.0125042051077,0.00052497535944
0.0297029688954,0,0.0195437632501,0.019007563591,0.000536199659109
0.039603959769,0,0.0260583274066,0.0255290344357,0.000529292970896
0.0495049506426,0,0.0325728468597,0.03206474334,0.000508103519678
0.0594059377909,0,0.0390872769058,0.0386104807258,0.00047679618001
0.0693069323897,0,0.0456015653908,0.0451627373695,0.000438828021288
0.079207919538,0,0.052115611732,0.0517182126641,0.000397399067879
0.0891089066863,0,0.0586292892694,0.0582741200924,0.000355169177055
0.0990099012852,0,0.0651424750686,0.0648282766342,0.000314198434353
0.108910888433,0,0.0716549679637,0.0713786408305,0.000276327133179
0.118811875582,0,0.0781665146351,0.0779235288501,0.000242985785007
0.12871286273,0,0.0846768468618,0.0844617486,0.000215098261833
0.138613864779,0,0.091185644269,0.0909924209118,0.000193223357201
0.148514851928,0,0.0976924523711,0.0975146591663,0.000177793204784
0.158415839076,0,0.104196861386,0.104028388858,0.000168472528458
0.168316826224,0,0.110698312521,0.110533088446,0.000165224075317
0.178217813373,0,0.117196172476,0.117028847337,0.000167325139046
0.188118815422,0,0.123689763248,0.123515591025,0.000174172222614
0.19801980257,0,0.130178287625,0.129993215203,0.000185072422028
0.207920789719,0,0.136660829186,0.136461898685,0.000198930501938
0.217821776867,0,0.143136411905,0.142921552062,0.000214859843254
0.227722764015,0,0.149603843689,0.149372026324,0.000231817364693
0.237623751163,0,0.156061947346,0.155812829733,0.000249117612839
0.247524753213,0,0.162509262562,0.16224347055,0.000265792012215
0.25742572546,0,0.16894428432,0.16866324842,0.000281035900116
0.267326742411,0,0.175365328789,0.175070956349,0.000294372439384
0.277227729559,0,0.181770518422,0.181465402246,0.000305116176605
0.287128716707,0,0.188157781959,0.187844902277,0.000312879681587
0.297029703856,0,0.194524854422,0.194207131863,0.000317722558975
0.306930691004,0,0.200869292021,0.200550109148,0.000319182872772
0.316831678152,0,0.207188397646,0.206870928407,0.000317469239235
0.3267326653,0,0.213479295373,0.213166505098,0.00031279027462
0.336633652449,0,0.219738692045,0.219433456659,0.000305235385895
0.346534639597,0,0.22596322,0.225668013096,0.000295206904411
0.356435626745,0,0.232149079442,0.231865942478,0.000283136963844
0.366336613894,0,0.238292217255,0.23802280426,0.000269412994385
0.376237630844,0,0.244388207793,0.244133740664,0.000254467129707
0.386138617992,0,0.250432312489,0.250193506479,0.000238806009293
0.396039605141,0,0.256419301033,0.256196409464,0.000222891569138
0.405940592289,0,0.2623437047,0.262136757374,0.00020694732666
0.415841579437,0,0.268199563026,0.26800814271,0.000191420316696
0.425742566586,0,0.273980379105,0.273803710938,0.000176668167114
0.435643553734,0,0.279679328203,0.279516458511,0.000162869691849
0.445544540882,0,0.285288870335,0.285138696432,0.000150173902512
0.45544552803,0,0.290801167488,0.290662437677,0.000138729810715
0.465346515179,0,0.296207606792,0.296078979969,0.000128626823425
0.475247502327,0,0.301499068737,0.301379621029,0.00011944770813
0.485148519278,0,0.306665867567,0.30655425787,0.000111609697342
0.495049506426,0,0.311697542667,0.3115927279,0.000104814767838
0.504950523376,0,0.316583007574,0.316483974457,9.90331172943e-05
0.51485145092,0,0.321310371161,0.321216344833,9.40263271332e-05
0.524752497673,0,0.325867205858,0.325777351856,8.98540019989e-05
0.534653484821,0,0.33024007082,0.330153822899,8.624792099e-05
0.54455447197,0,0.33441478014,0.334331601858,8.31782817841e-05
0.554455459118,0,0.338376373053,0.338295668364,8.07046890259e-05
0.564356446266,0,0.342109084129,0.342030376196,7.87079334259e-05
