noise,alpha,L2_global,L2_line,L1,Linf,L2,RMSE,SDE,CV_percent
0.01,0.0001,0.0027511500847954397,0.008699864437622454,0.007277219800652927,0.013816504268438529,0.008699864437622454,0.008699864437622454,0.00564558394634567,4.24126854163176
0.03,0.00046415888336127773,0.004743889755159116,0.013669429709531692,0.01215073765546891,0.019816521951541405,0.013669429709531692,0.013669429709531692,0.0069403804705384,5.213989843460495
0.05,0.001291549665014884,0.0066543513751486545,0.02138802643579106,0.01958331894723446,0.029785901892384586,0.02138802643579106,0.02138802643579106,0.00859891236314134,6.459968861440213
