x,uT_target,uT_pinn
0.00990098994225,0.00239658381207,0.00216894224286
0.0198019798845,0.00479316725006,0.00437017902732
0.0297029688954,0.00718974821644,0.00659448280931
0.039603959769,0.00958632251215,0.00884153693914
0.0495049506426,0.0119828802879,0.0111106969416
0.0594059377909,0.0143794051788,0.0134016759694
0.0693069323897,0.0167758767913,0.015713494271
0.079207919538,0.0191722591765,0.0180459581316
0.0891089066863,0.0215685109,0.020398337394
0.0990099012852,0.0239645779269,0.0227699615061
0.108910888433,0.0263603864475,0.0251601524651
0.118811875582,0.0287558518628,0.027568180114
0.12871286273,0.0311508696597,0.0299932472408
0.138613864779,0.0335453188213,0.0324346981943
0.148514851928,0.0359390453199,0.0348916165531
0.158415839076,0.0383318815416,0.0373631455004
0.168316826224,0.0407236295594,0.0398482568562
0.178217813373,0.0431140623,0.042346034199
0.188118815422,0.0455029245646,0.0448555089533
0.19801980257,0.0478899159327,0.0473755560815
0.207920789719,0.0502747094559,0.0499050058424
0.217821776867,0.052656934227,0.052442651242
0.227722764015,0.0550361757478,0.0549869500101
0.237623751163,0.057411972504,0.0575367920101
0.247524753213,0.0597838158992,0.0600905828178
0.25742572546,0.0621511285669,0.0626468062401
0.267326742411,0.064513303047,0.0652036964893
0.277227729559,0.0668696333543,0.0677595734596
0.287128716707,0.0692193708699,0.0703123956919
0.297029703856,0.0715616874312,0.0728603601456
0.306930691004,0.0738956772714,0.0754012912512
0.316831678152,0.076220351533,0.0779326707125
0.3267326653,0.0785346324576,0.080452427268
0.336633652449,0.0808373472395,0.0829579681158
0.346534639597,0.0831272215282,0.0854465961456
0.356435626745,0.0854028725719,0.0879155248404
0.366336613894,0.0876628019852,0.0903618782759
0.376237630844,0.0899053948584,0.0927823930979
0.386138617992,0.0921288848074,0.0951738506556
0.396039605141,0.0943313860882,0.0975329726934
0.405940592289,0.0965108577501,0.0998560637236
0.415841579437,0.0986651012378,0.102139472961
0.425742566586,0.100791750833,0.104379281402
0.435643553734,0.10288826373,0.106571510434
0.445544540882,0.104951909767,0.108711853623
0.45544552803,0.106979760848,0.110796108842
0.465346515179,0.108968680076,0.112819492817
0.475247502327,0.110915310683,0.114777520299
0.485148519278,0.112816070429,0.116665318608
0.495049506426,0.114667117541,0.118478104472
0.504950523376,0.11646437907,0.120210453868
0.51485145092,0.118203484926,0.121857374907
0.524752497673,0.119879846667,0.123413279653
0.534653484821,0.121488522358,0.124872937799
0.54455447197,0.123024315064,0.126230537891
0.554455459118,0.124481712409,0.127480372787
0.564356446266,0.125854888929,0.128616794944
0.574257433414,0.127137699523,0.129633754492
0.584158420563,0.128323674586,0.13052546978
0.594059407711,0.129406017216,0.131285995245
0.603960394859,0.130377602878,0.131909385324
0.613861382008,0.131230981974,0.132389366627
0.623762369156,0.131958385818,0.132720172405
0.633663415909,0.132551739691,0.132895946503
0.643564343452,0.133002661479,0.132910504937
0.653465390205,0.133302514024,0.132758378983
0.663366317749,0.133442392174,0.132433623075
0.673267364502,0.133413182774,0.131930708885
0.683168292046,0.13320559035,0.131244450808
0.693069338799,0.132810180092,0.130369529128
0.702970266342,0.132217452998,0.12930098176
0.712871313095,0.13141787072,0.128034174442
0.722772240639,0.130401986001,0.126564562321
0.732673287392,0.129160447631,0.124888151884
0.74257427454,0.127684181652,0.123001292348
0.752475261688,0.125964421704,0.120900720358
0.762376248837,0.123992855107,0.118583247066
0.772277235985,0.121761737516,0.116046696901
0.782178223133,0.119264022865,0.113288938999
0.792079210281,0.116493500688,0.110308632255
0.80198019743,0.113444939277,0.107105001807
0.811881184578,0.110114232759,0.103677213192
0.821782171726,0.106498549713,0.10002592206
0.831683158875,0.102596480546,0.0961518734694
0.841584146023,0.0984081804567,0.0920564383268
0.851485133171,0.093935504418,0.0877417176962
0.861386120319,0.0891821303653,0.0832104235888
0.871287107468,0.0841536665572,0.0784659534693
0.881188154221,0.0788577063392,0.0735120773315
0.891089081764,0.0733040549543,0.0683537274599
0.900990128517,0.0675044029374,0.0629958212376
0.910891115665,0.0614727985134,0.0574443377554
0.920792102814,0.0552252452326,0.0517055504024
0.930693089962,0.0487798074992,0.0457866229117
0.94059407711,0.0421564738565,0.0396948568523
0.950495064259,0.0353770172887,0.0334385596216
0.960396051407,0.0284648194329,0.0270261652768
0.970297038555,0.0214446609707,0.0204667188227
0.980198025703,0.0143424816633,0.0137699730694
0.990099012852,0.00718511457303,0.00694557651877
