epoch,loss_total,loss_pde,loss_bc
1,0.931255410984,0.548090587929,0.383164823055
2,0.301592431031,0.0629505878314,0.2386418432
3,0.327234145813,0.0709883240983,0.256245821714
4,0.249245112017,0.0235403228551,0.225704789162
5,0.255314801447,0.0236621541902,0.231652647257
6,0.242747599632,0.0170068986714,0.22574070096
7,0.237853584904,0.0129784923978,0.224875092506
8,0.236028879415,0.0123007888906,0.223728090525
9,0.231124591455,0.010078888759,0.221045702696
10,0.229100730456,0.00956445578486,0.219536274672
11,0.22618815992,0.00884471032768,0.217343449593
12,0.223182257172,0.00824449574575,0.214937761426
13,0.220368477982,0.00765171973035,0.212716758251
14,0.217807778995,0.00760401217267,0.210203766823
15,0.214963646652,0.00737536144443,0.207588285208
16,0.212122354051,0.00748469247483,0.204637661576
17,0.209580680495,0.00775485313497,0.20182582736
18,0.206013033306,0.00809673420154,0.197916299105
19,0.203963706829,0.00908474121243,0.194878965616
20,0.200507399719,0.00986593691632,0.190641462803
21,0.198043230921,0.0108564980328,0.187186732888
22,0.195397043694,0.011807197798,0.183589845896
23,0.191760807205,0.0127273936756,0.179033413529
24,0.188673695736,0.0138685910031,0.174805104733
25,0.186194619257,0.0151308831759,0.171063736081
26,0.181418816559,0.015890727751,0.165528088808
27,0.176593405847,0.0162921377458,0.160301268101
28,0.173780416697,0.0177178733051,0.156062543392
29,0.168629510235,0.018347589206,0.150281921029
30,0.16299319528,0.0189590480179,0.144034147263
31,0.159163275175,0.0199183611199,0.139244914055
32,0.152508578822,0.0206119488925,0.13189662993
33,0.147218961827,0.0213508052751,0.125868156552
34,0.140316821449,0.0217514483258,0.118565373123
35,0.133085386269,0.0221655754372,0.110919810832
36,0.124505239539,0.0220099715516,0.102495267987
37,0.117129561305,0.0226328194141,0.0944967418909
38,0.108987028897,0.0227784618735,0.0862085670233
39,0.102034000307,0.0225737817585,0.0794602185488
40,0.0922543013468,0.0215337628499,0.070720538497
41,0.0835733313113,0.0208408210427,0.0627325102687
42,0.0755622202531,0.0199777150527,0.0555845052004
43,0.0678043488413,0.0187793906778,0.0490249581635
44,0.0597066551447,0.0167420774698,0.0429645776749
