x,y,u_true,u_pred,abs_error
0,0,0,-0.00038929656148,0.00038929656148
0.0101010100916,0,0,-0.000508088618517,0.000508088618517
0.0202020201832,0,0,-0.000610368326306,0.000610368326306
0.0303030312061,0,0,-0.000697150826454,0.000697150826454
0.0404040403664,0,0,-0.000769153237343,0.000769153237343
0.0505050495267,0,0,-0.000827087089419,0.000827087089419
0.0606060624123,0,0,-0.000871431082487,0.000871431082487
0.0707070678473,0,0,-0.000903200358152,0.000903200358152
0.0808080807328,0,0,-0.000923464074731,0.000923464074731
0.0909090936184,0,0,-0.000932224094868,0.000932224094868
0.101010099053,0,0,-0.000930733978748,0.000930733978748
0.111111111939,0,0,-0.00091970525682,0.00091970525682
0.121212124825,0,0,-0.000899735838175,0.000899735838175
0.13131313026,0,0,-0.000871719792485,0.000871719792485
0.141414135695,0,0,-0.000836372375488,0.000836372375488
0.151515156031,0,0,-0.000794528052211,0.000794528052211
0.161616161466,0,0,-0.000746663659811,0.000746663659811
0.171717166901,0,0,-0.000693554058671,0.000693554058671
0.181818187237,0,0,-0.000635735690594,0.000635735690594
0.191919192672,0,0,-0.00057427957654,0.00057427957654
0.202020198107,0,0,-0.000509425997734,0.000509425997734
0.212121218443,0,0,-0.000441892072558,0.000441892072558
0.222222223878,0,0,-0.00037227012217,0.00037227012217
0.232323229313,0,0,-0.000301335006952,0.000301335006952
0.242424249649,0,0,-0.000229507684708,0.000229507684708
0.252525240183,0,0,-0.00015708245337,0.00015708245337
0.262626260519,0,0,-8.47168266773e-05,8.47168266773e-05
0.272727280855,0,0,-1.29453837872e-05,1.29453837872e-05
0.282828271389,0,0,5.76935708523e-05,5.76935708523e-05
0.292929291725,0,0,0.000126902014017,0.000126902014017
0.303030312061,0,0,0.000194441527128,0.000194441527128
0.313131302595,0,0,0.000259835273027,0.000259835273027
0.323232322931,0,0,0.000322610139847,0.000322610139847
0.333333343267,0,0,0.000382520258427,0.000382520258427
0.343434333801,0,0,0.000439096242189,0.000439096242189
0.353535354137,0,0,0.00049239397049,0.00049239397049
0.363636374474,0,0,0.000541940331459,0.000541940331459
0.373737365007,0,0,0.000587727874517,0.000587727874517
0.383838385344,0,0,0.000629168003798,0.000629168003798
0.39393940568,0,0,0.000666555017233,0.000666555017233
0.404040396214,0,0,0.000699292868376,0.000699292868376
0.41414141655,0,0,0.000727564096451,0.000727564096451
0.424242436886,0,0,0.000751305371523,0.000751305371523
0.43434342742,0,0,0.000770159065723,0.000770159065723
0.444444447756,0,0,0.000784184783697,0.000784184783697
0.454545468092,0,0,0.000793565064669,0.000793565064669
0.464646458626,0,0,0.000797938555479,0.000797938555479
0.474747478962,0,0,0.000797603279352,0.000797603279352
0.484848499298,0,0,0.000792559236288,0.000792559236288
0.494949489832,0,0,0.000782512128353,0.000782512128353
0.50505053997,0,0,0.000767815858126,0.000767815858126
0.515151500702,0,0,0.00074877217412,0.00074877217412
0.525252521038,0,0,0.000725015997887,0.000725015997887
0.535353541374,0,0,0.000697270035744,0.000697270035744
0.545454502106,0,0,0.000665232539177,0.000665232539177
0.555555582047,0,0,0.000629086047411,0.000629086047411
0.565656542778,0,0,0.000589180737734,0.000589180737734
0.575757563114,0,0,0.000545762479305,0.000545762479305
0.58585858345,0,0,0.000498708337545,0.000498708337545
0.595959603786,0,0,0.000448558479548,0.000448558479548
0.606060624123,0,0,0.000395484268665,0.000395484268665
0.616161584854,0,0,0.000339731574059,0.000339731574059
0.626262664795,0,0,0.000281415879726,0.000281415879726
0.636363625526,0,0,0.000221133232117,0.000221133232117
0.646464645863,0,0,0.000159066170454,0.000159066170454
0.656565666199,0,0,9.52705740929e-05,9.52705740929e-05
0.66666662693,0,0,3.03387641907e-05,3.03387641907e-05
0.676767706871,0,0,-3.52449715137e-05,3.52449715137e-05
0.686868667603,0,0,-0.0001016613096,0.0001016613096
0.696969687939,0,0,-0.000168137252331,0.000168137252331
0.707070708275,0,0,-0.000234317034483,0.000234317034483
0.717171728611,0,0,-0.000300137326121,0.000300137326121
0.727272748947,0,0,-0.000364944338799,0.000364944338799
0.737373709679,0,0,-0.000428318977356,0.000428318977356
0.747474789619,0,0,-0.00049008615315,0.00049008615315
0.757575750351,0,0,-0.000549586489797,0.000549586489797
0.767676770687,0,0,-0.00060622766614,0.00060622766614
0.777777791023,0,0,-0.000660065561533,0.000660065561533
0.787878751755,0,0,-0.000710150226951,0.000710150226951
0.797979831696,0,0,-0.000756537541747,0.000756537541747
0.808080792427,0,0,-0.000797798857093,0.000797798857093
0.818181812763,0,0,-0.000834532082081,0.000834532082081
0.828282833099,0,0,-0.000865183770657,0.000865183770657
0.838383853436,0,0,-0.000890115275979,0.000890115275979
0.848484873772,0,0,-0.000908013433218,0.000908013433218
0.858585834503,0,0,-0.000918995589018,0.000918995589018
0.868686854839,0,0,-0.000922469422221,0.000922469422221
0.878787875175,0,0,-0.000917183235288,0.000917183235288
0.888888895512,0,0,-0.000903192907572,0.000903192907572
0.898989915848,0,0,-0.000879785045981,0.000879785045981
0.909090876579,0,0,-0.000846425071359,0.000846425071359
0.919191896915,0,0,-0.000802157446742,0.000802157446742
0.929292917252,0,0,-0.000746982172132,0.000746982172132
0.939393937588,0,0,-0.000679828226566,0.000679828226566
0.949494957924,0,0,-0.000600274652243,0.000600274652243
0.95959597826,0,0,-0.000508205965161,0.000508205965161
0.969696998596,0,0,-0.000402249395847,0.000402249395847
0.979797959328,0,0,-0.000282345339656,0.000282345339656
0.989898979664,0,0,-0.000147899612784,0.000147899612784
1,0,-0,1.50874257088e-06,1.50874257088e-06
0,0.0101010100916,0,-0.000205080956221,0.000205080956221
0.0101010100916,0.0101010100916,8.71956435731e-05,-0.000239172950387,0.000326368608512
0.0202020201832,0.0101010100916,0.000174303509993,-0.000257469713688,0.000431773223681
0.0303030312061,0.0101010100916,0.00026123583666,-0.000261344015598,0.000522579881363
0.0404040403664,0.0101010100916,0.000347905122908,-0.000251030549407,0.000598935643211
0.0505050495267,0.0101010100916,0.000434224086348,-0.00022760592401,0.000661830010358
0.0606060624123,0.0101010100916,0.000520105881151,-0.000191424041986,0.000711529923137
0.0707070678473,0.0101010100916,0.000605463923421,-0.000143799930811,0.000749263854232
0.0808080807328,0.0101010100916,0.00069021229865,-8.51452350616e-05,0.000775357533712
0.0909090936184,0.0101010100916,0.000774265790824,-1.63614749908e-05,0.000790627265815
0.101010099053,0.0101010100916,0.000857539533172,6.16610050201e-05,0.000795878528152
0.111111111939,0.0101010100916,0.000939949881285,0.000147849321365,0.00079210055992
0.121212124825,0.0101010100916,0.00102141383104,0.000241849571466,0.000779564259574
0.13131313026,0.0101010100916,0.00110184925143,0.00034299865365,0.000758850597776
0.141414135695,0.0101010100916,0.00118117500097,0.000450171530247,0.000731003470719
0.151515156031,0.0101010100916,0.00125931168441,0.000562526285648,0.000696785398759
0.161616161466,0.0101010100916,0.00133618037216,0.000679653137922,0.000656527234241
0.171717166901,0.0101010100916,0.00141170353163,0.000800531357527,0.000611172174104
0.181818187237,0.0101010100916,0.00148580502719,0.000924333930016,0.000561471097171
0.191919192672,0.0101010100916,0.00155841058586,0.00105081871152,0.000507591874339
0.202020198107,0.0101010100916,0.00162944721524,0.00117908790708,0.000450359308161
0.212121218443,0.0101010100916,0.00169884285424,0.00130825489759,0.000390587956645
0.222222223878,0.0101010100916,0.0017665278865,0.00143789872527,0.000328629161231
0.232323229313,0.0101010100916,0.00183243420906,0.00156760215759,0.000264832051471
