x,t,u_true,u_pinn,abs_error
0.00990098994225,0,0.00651459023356,0.00790590047836,0.0013913102448
0.0198019798845,0,0.0130291804671,0.0137547403574,0.00072555989027
0.0297029688954,0,0.0195437632501,0.0197095945477,0.000165831297636
0.039603959769,0,0.0260583274066,0.025762848556,0.000295478850603
0.0495049506426,0,0.0325728468597,0.031906709075,0.000666137784719
0.0594059377909,0,0.0390872769058,0.0381338447332,0.000953432172537
0.0693069323897,0,0.0456015653908,0.0444368347526,0.00116473063827
0.079207919538,0,0.052115611732,0.0508088245988,0.00130678713322
0.0891089066863,0,0.0586292892694,0.0572430863976,0.0013862028718
0.0990099012852,0,0.0651424750686,0.063733227551,0.00140924751759
0.108910888433,0,0.0716549679637,0.0702727660537,0.00138220191002
0.118811875582,0,0.0781665146351,0.0768555626273,0.00131095200777
0.12871286273,0,0.0846768468618,0.0834755524993,0.00120129436255
0.138613864779,0,0.091185644269,0.0901270136237,0.00105863064528
0.148514851928,0,0.0976924523711,0.0968047603965,0.00088769197464
0.158415839076,0,0.104196861386,0.103503741324,0.000693120062351
0.168316826224,0,0.110698312521,0.110218681395,0.000479631125927
0.178217813373,0,0.117196172476,0.116943068802,0.000253103673458
0.188118815422,0,0.123689763248,0.123668469489,2.1293759346e-05
0.19801980257,0,0.130178287625,0.1303845644,0.000206276774406
0.207920789719,0,0.136660829186,0.137080073357,0.000419244170189
0.217821776867,0,0.143136411905,0.143743634224,0.000607222318649
0.227722764015,0,0.149603843689,0.150363355875,0.00075951218605
0.237623751163,0,0.156061947346,0.156926512718,0.000864565372467
0.247524753213,0,0.162509262562,0.163421988487,0.000912725925446
0.25742572546,0,0.16894428432,0.169845163822,0.000900879502296
0.267326742411,0,0.175365328789,0.176200062037,0.000834733247757
0.277227729559,0,0.181770518422,0.182495653629,0.000725135207176
0.287128716707,0,0.188157781959,0.188739776611,0.000581994652748
0.297029703856,0,0.194524854422,0.194935798645,0.000410944223404
0.306930691004,0,0.200869292021,0.20108422637,0.00021493434906
0.316831678152,0,0.207188397646,0.207186490297,1.90734863281e-06
0.3267326653,0,0.213479295373,0.213247507811,0.00023178756237
0.336633652449,0,0.219738692045,0.219277709723,0.000460982322693
