alpha,residual,regularization
1e-06,0.0208384609505,30.1634779227
2.73841963426e-06,0.0217403573103,21.4873781992
7.49894209332e-06,0.0245709512168,15.3910035744
2.05352502646e-05,0.025672322217,10.3219357504
5.6234132519e-05,0.0299090316818,7.18167621354
0.000153992652606,0.0356394912317,4.34650681648
0.000421696503429,0.0391619061131,2.40045730089
0.00115478198469,0.0449034501955,1.2819491549
0.00316227766017,0.0508750032066,0.830212671483
0.0086596432336,0.0455506300569,0.616905222696
0.0237137370566,0.0457682497169,0.646821616914
0.0649381631576,0.0644515110457,0.493979150979
0.177827941004,0.133409548773,0.267728653216
0.486967525166,0.158918206581,0.172663079424
1.33352143216,0.193217801124,0.0839233686967
3.65174127255,0.211564380244,0.0388549903261
10,0.222063755494,0.0157444761879
