epoch,loss_total,loss_pde,loss_bc,loss_obj
1,0.877400104329,0.394719837233,0.477368175983,0.531209111214
2,0.561288119601,0.0918136597145,0.464396953583,0.507750630379
3,0.491145387935,0.0317744374741,0.454261630774,0.510931968689
4,0.470379379708,0.0144791779108,0.45087453723,0.502566456795
5,0.45954981843,0.00762619832531,0.446883320808,0.504029929638
6,0.456197712114,0.00630942075513,0.444881260395,0.50070309639
7,0.452437873641,0.00516427890398,0.442257136106,0.501645863056
8,0.449650174603,0.00515258871019,0.439487397671,0.501018822193
9,0.447450385811,0.00553619754501,0.436910688877,0.500349938869
10,0.445041839033,0.00600687339902,0.434029966593,0.500499904156
11,0.44311356077,0.00671844789758,0.43139025569,0.50048571825
12,0.440770216063,0.00691437907517,0.428854644299,0.500119268894
13,0.438857279867,0.00776230320334,0.426091313362,0.500366330147
14,0.436790995663,0.00822282261215,0.423565000296,0.500317275524
15,0.435009761006,0.008841047436,0.421164989471,0.500372409821
16,0.433610771764,0.00965818809345,0.418943941593,0.500864207745
17,0.431234048363,0.009895800706,0.416321694851,0.50165528059
18,0.429950682875,0.0105681679212,0.414362192154,0.502032279968
19,0.427439995538,0.0106794859283,0.411725997925,0.503451168537
20,0.425996035878,0.0113850795664,0.40956556797,0.504538834095
21,0.423924892098,0.0115556396544,0.407314628363,0.505462408066
22,0.421921498124,0.0117691659369,0.405082970858,0.506936132908
23,0.420158789847,0.0121430815198,0.402934163809,0.508154451847
24,0.417715605926,0.0121534089558,0.400464862585,0.509733438492
25,0.415810073353,0.0127120027319,0.397981911898,0.511615872383
26,0.412910451367,0.0125393796712,0.395243912935,0.512715876102
27,0.410824458171,0.0128075619228,0.392865985632,0.515091061592
28,0.409443228077,0.0132375846617,0.391042470932,0.516317248344
29,0.406468627099,0.0130394675769,0.388261854649,0.516730487347
30,0.404039840363,0.0132078817114,0.385648071766,0.518388688564
31,0.401641231086,0.0133230804466,0.383121579885,0.519657075405
32,0.399293834958,0.013547422085,0.380526423454,0.521998941898
33,0.395441958476,0.0131767560728,0.377041101456,0.522410094738
34,0.393398589976,0.0135495321825,0.374614298344,0.523475944996
35,0.389523475785,0.0132568490691,0.371023923159,0.524270355701
36,0.386560070552,0.0134133005515,0.367894113064,0.525265693665
37,0.384308835864,0.0136150509119,0.365437030792,0.525675415993
38,0.381028083544,0.0132923441939,0.362469792366,0.526594698429
39,0.377637951635,0.0131405701861,0.359231084585,0.526629686356
40,0.373991562743,0.0130369466729,0.355684578419,0.527003765106
41,0.371120920926,0.0130363591015,0.352813929319,0.527063250542
42,0.367131848354,0.0127152067609,0.349140971899,0.527566969395
43,0.364402751736,0.0126004455611,0.346522033215,0.528027296066
44,0.359730194192,0.0121829080395,0.342272549868,0.527473628521
45,0.356662688889,0.0121534490958,0.339241236448,0.526800334454
46,0.351785995569,0.0119374766015,0.334560513496,0.528800547123
47,0.347706727032,0.0116775729693,0.330735385418,0.529376864433
48,0.343183155041,0.011360059958,0.326535969973,0.528712511063
49,0.337623790465,0.0111416256055,0.321185618639,0.529654622078
50,0.332383244373,0.0110274413601,0.316054821014,0.530098199844
51,0.32658698719,0.0106350271031,0.310640782118,0.531117796898
52,0.321858431809,0.0117743236944,0.304765790701,0.531831741333
53,0.314985796083,0.0113866691478,0.298219889402,0.537923753262
54,0.309070930704,0.0113137658685,0.292367488146,0.53896766901
55,0.303830393646,0.0124517888762,0.285966783762,0.541182100773
56,0.296750739291,0.0129877466708,0.278312653303,0.545033931732
57,0.294175532348,0.0165669994429,0.27211394906,0.549458384514
58,0.290174520127,0.0179176582024,0.266784995794,0.547186613083
59,0.283339308035,0.0181032027118,0.259731799364,0.550430595875
60,0.276257927101,0.0166900369339,0.254059076309,0.550881385803
61,0.272436330616,0.0179401114583,0.248970612884,0.55256062746
62,0.270204478018,0.0207524163648,0.243952646852,0.54994148016
63,0.268482656628,0.0245728977025,0.238380759954,0.552899897099
64,0.251676779483,0.0156530053355,0.230473518372,0.555025577545
65,0.253319841102,0.0212321598083,0.2265150249,0.557265639305
66,0.24343869593,0.0193138321862,0.2185767591,0.554810464382
67,0.23518913798,0.0176401536912,0.211999922991,0.554906129837
68,0.258712529913,0.0422016713768,0.210984602571,0.552625596523
69,0.233226716891,0.0227702680975,0.20487678051,0.557966828346
70,0.219101744685,0.0180982843973,0.195431500673,0.557195961475
71,0.215451613143,0.0191264439374,0.190749913454,0.557525575161
72,0.238692929558,0.0428463516757,0.190260231495,0.558634638786
73,0.218776701484,0.0287124798633,0.184483498335,0.558072328568
74,0.197636141218,0.019088020362,0.172984033823,0.556408703327
75,0.194888586793,0.021462814603,0.167821183801,0.56045883894
76,0.183058655467,0.0179642154835,0.159498721361,0.559571862221
77,0.25859505292,0.0840506618842,0.168946668506,0.559772253036
78,0.200023217034,0.0293064753525,0.165105089545,0.561165213585
79,0.16929019589,0.0174234898761,0.146267622709,0.559908330441
80,0.168737184778,0.0210962656885,0.142057195306,0.558372378349
81,0.156315648202,0.016197217349,0.134549766779,0.556866407394
82,0.161245891079,0.0250489052385,0.130613565445,0.558342039585
83,0.163096636534,0.0335697248578,0.123979352415,0.554755926132
84,0.144857033528,0.0218930030242,0.117430791259,0.553323924541
85,0.170119846016,0.0513061396778,0.113285176456,0.552852988243
86,0.163367470391,0.0469126926735,0.110931739211,0.552303850651
87,0.134739907086,0.0260494336486,0.103181511164,0.55089622736
88,0.132533012889,0.0273026263341,0.0997033491731,0.552703738213
89,0.13683779899,0.0339713925496,0.097366631031,0.54997754097
90,0.12619475564,0.0316757782362,0.0890089422464,0.55100351572
91,0.133323006108,0.0377640146762,0.0900519788265,0.550701260567
92,0.109285372309,0.022694879584,0.0810924768448,0.549801588058
93,0.129912309945,0.0415595188737,0.082851216197,0.550157487392
94,0.166142936181,0.0715241591446,0.0891482234001,0.547055363655
95,0.12406796623,0.0382340209559,0.0803286582232,0.55052870512
96,0.102137185037,0.0228043392301,0.0738571435213,0.547570228577
97,0.0936598944291,0.0200938453898,0.0680729076266,0.549314141273
98,0.0916308421455,0.0205786949955,0.0655577480793,0.549439907074
99,0.0934290953726,0.0252274852246,0.0627203211188,0.548128902912
100,0.0973212831095,0.0327478403226,0.059077065438,0.54963773489
101,0.0867806520872,0.0249544533901,0.0563356876373,0.549051105976
102,0.123910754863,0.0562295072712,0.0622156858444,0.546556174755
103,0.112991989106,0.0436828367412,0.0638631284237,0.544602394104
104,0.0819573804177,0.0222092428245,0.0542847961187,0.546334147453
105,0.0935316103697,0.0367498904467,0.0513096451759,0.547207474709
106,0.0815932361037,0.0267103139311,0.0493971407413,0.54857814312
107,0.0862772632018,0.0319188797846,0.0489148050547,0.544357836246
108,0.0800670644641,0.0266273513436,0.0480012148619,0.543849825859
109,0.0937602031976,0.0431455809623,0.0451436936855,0.547092854977
110,0.114473928921,0.0601594878361,0.0488810241222,0.543341696262
111,0.0745769095607,0.0257838529535,0.0433635115623,0.54295450449
112,0.0660788079165,0.0207548572682,0.0398699641228,0.545398652554
113,0.0773531062156,0.0320042129606,0.0399135313928,0.543536186218
114,0.101712782197,0.0551152875647,0.0411497987807,0.544769585133
115,0.0705427300744,0.0256146865897,0.0395034104586,0.542463302612
116,0.0580044582859,0.0176108108833,0.0349755994976,0.541804790497
117,0.0658900749683,0.0249660819769,0.0354949682951,0.542902469635
118,0.0692157949135,0.0290698675439,0.0347344204783,0.541150689125
119,0.0793945902213,0.0393894454464,0.0345442220569,0.546092271805
120,0.161632993296,0.105603444204,0.0505985729396,0.543097615242
121,0.131461192816,0.0705710478127,0.0555098280311,0.538031697273
122,0.0859114444256,0.0331234902143,0.0473636239767,0.542433023453
123,0.0617901046574,0.0188325896859,0.0375478230417,0.540969192982
124,0.0534869590402,0.0174559079111,0.0305966846645,0.543436646461
125,0.0519589528255,0.017691470217,0.028834041208,0.543344140053
126,0.0493964230083,0.0153701751493,0.0286124050617,0.541384279728
127,0.0476909104176,0.0158063770272,0.0264753457159,0.540918767452
128,0.0492078817822,0.0178303048946,0.0259811654687,0.539641141891
129,0.0450565503724,0.0141741641797,0.025473838672,0.540854752064
130,0.0483219685219,0.0193098301999,0.0235937852412,0.541835308075
131,0.0529156944714,0.0228903493844,0.0246147960424,0.541054904461
132,0.0416763574071,0.0136770886369,0.0226060897112,0.539317905903
133,0.0428775857016,0.0163272885606,0.021153435111,0.539686203003
134,0.0431028989516,0.0161243862472,0.0215698853135,0.540862739086
135,0.0585532482713,0.0306431602687,0.0225362852216,0.537380278111
136,0.0773839016072,0.0469240459614,0.0250774882734,0.538236737251
137,0.0599579622224,0.0290895095095,0.0254875700921,0.538088262081
138,0.0477899542637,0.0206084442325,0.021790780127,0.539072990417
139,0.044185345713,0.018506781105,0.0202984437346,0.538012087345
140,0.0434221513569,0.0177513916045,0.0202856082469,0.538515150547
141,0.04387117818,0.018803922832,0.0196901522577,0.537710309029
142,0.04042433355,0.0165641603991,0.0184979420155,0.536223113537
143,0.0341188727319,0.0113939143717,0.0173648074269,0.536015093327
144,0.0390820081346,0.0160479652695,0.0176837332547,0.535030961037
145,0.0439474889264,0.0209498306736,0.0176389813423,0.53586769104
146,0.0428220624942,0.0199521873612,0.017528526485,0.534134864807
147,0.0463069207221,0.0239783946425,0.016974799335,0.535372674465
148,0.0359936349094,0.0140865635127,0.0165719222277,0.533514916897
149,0.0367440132424,0.0163250045851,0.0150925200433,0.532648861408
150,0.0378034603968,0.0168117145076,0.0156620368361,0.532970905304
151,0.0381720595062,0.0170539844781,0.0157907698303,0.532730519772
152,0.0428873450495,0.0216918733902,0.015859330073,0.53361415863
153,0.0319665918685,0.0111079917289,0.0155240595341,0.533454060555
154,0.0324134760909,0.0128810985945,0.0142012331635,0.533114433289
155,0.0537450848147,0.0324874235317,0.0159312412143,0.532642006874
156,0.0459290442429,0.0244079331867,0.0161964129657,0.532469809055
157,0.0524462784827,0.0314142908901,0.0157065372914,0.532545030117
