alpha,residual,regularization
1e-06,0.00227488583186,0.480462925573
2.73841963426e-06,0.00258350336615,0.44269635203
7.49894209332e-06,0.00528227857823,0.354324858295
2.05352502646e-05,0.00212143510442,0.259975470488
5.6234132519e-05,0.00120237687135,0.163373323312
0.000153992652606,0.00316940130837,0.0902861127905
0.000421696503429,0.0014169154509,0.0434320414142
0.00115478198469,0.00259351955604,0.0208105468297
0.00316227766017,0.00451613129815,0.0104648284583
0.0086596432336,0.00219477823224,0.0054018174485
0.0237137370566,0.00180900067199,0.00221821566828
0.0649381631576,0.00132895844224,0.000925719551874
0.177827941004,0.0124620832122,0.00384006603153
0.486967525166,0.00168148085235,0.000158329211623
1.33352143216,0.00210876191323,0.000143401619063
3.65174127255,0.00325256365369,0.000212440750724
10,0.00229146446067,7.53734617614e-05
