x,t,u_pinn,u_rollout,abs_error
0,0,0.207439094782,1.01347528222,0.806036187439
1.5625,0,0.208341792226,0.573988034062,0.365646241836
3.125,0,0.209163188934,-0.357511136716,0.56667432565
4.6875,0,0.209878280759,-0.946383563998,1.15626184476
6.25,0,0.210455656052,-0.66009728969,0.870552945741
7.8125,0,0.210855856538,0.259313854645,0.0484579981074
9.375,0,0.211031362414,1.01158409013,0.800552727718
10.9375,0,0.210926055908,0.951147322874,0.740221266966
12.5,0,0.210476279259,0.16307123193,0.0474050473287
14.0625,0,0.20961150527,-0.609865416401,0.819476921671
15.625,0,0.208257719874,-0.624216986423,0.832474706297
17.1875,0,0.206340327859,0.206488318225,0.000147990366281
18.75,0,0.203788369894,1.23664890999,1.0328605401
20.3125,0,0.200539767742,1.65985744454,1.4593176768
21.875,0,0.196546792984,1.21480070053,1.01825390754
23.4375,0,0.191780358553,0.397512564941,0.205732206388
25,0,0.18623483181,0,0.18623483181
26.5625,0,0.179930254817,0.397512564941,0.217582310124
28.125,0,0.172914326191,1.21480070053,1.04188637433
29.6875,0,0.165261134505,1.65985744454,1.49459631004
31.25,0,0.157068476081,1.23664890999,1.07958043391
32.8125,0,0.148453563452,0.206488318225,0.0580347547734
34.375,0,0.139546766877,-0.624216986423,0.7637637533
35.9375,0,0.130484327674,-0.609865416401,0.740349744075
37.5,0,0.121401458979,0.16307123193,0.0416697729513
39.0625,0,0.112425804138,0.951147322874,0.838721518736
40.625,0,0.10367064923,1.01158409013,0.907913440902
42.1875,0,0.0952309370041,0.259313854645,0.164082917641
43.75,0,0.0871820226312,-0.66009728969,0.747279312321
45.3125,0,0.0795766711235,-0.946383563998,1.02596023512
46.875,0,0.0724479183555,-0.357511136716,0.429959055071
48.4375,0,0.0658103302121,0.573988034062,0.50817770385
0,0.01,0.207291290164,1.01394669663,0.806655406465
1.5625,0.01,0.208194226027,0.576353613692,0.368159387666
3.125,0.01,0.20901581645,-0.362208544013,0.571224360463
4.6875,0.01,0.209731280804,-0.95148339991,1.16121468071
6.25,0.01,0.210309207439,-0.660346341533,0.870655548973
7.8125,0.01,0.210710093379,0.256705139171,0.0459950457922
9.375,0.01,0.210886105895,1.00984453076,0.798958424865
10.9375,0.01,0.210781380534,0.954962946566,0.744181566032
12.5,0.01,0.210331961513,0.162905516238,0.0474264452745
14.0625,0.01,0.209467574954,-0.614759327484,0.824226902438
15.625,0.01,0.208113357425,-0.625517129451,0.833630486875
17.1875,0.01,0.20619507134,0.203764820629,0.00243025071067
18.75,0.01,0.20364163816,1.23107318915,1.02743155099
20.3125,0.01,0.200390741229,1.6620584835,1.46166774227
21.875,0.01,0.196394518018,1.22144382815,1.02504931013
23.4375,0.01,0.191623970866,0.398086753478,0.206462782612
25,0.01,0.186073258519,-0.0021884580186,0.188261716538
26.5625,0.01,0.17976307869,0.394599809426,0.214836730736
28.125,0.01,0.172740936279,1.21007421371,1.03733327743
29.6875,0.01,0.165081486106,1.66205241516,1.49697092905
31.25,0.01,0.156883046031,1.24526219944,1.08837915341
32.8125,0.01,0.148262813687,0.207862512768,0.0595996990803
34.375,0.01,0.139351695776,-0.627754723386,0.767106419162
35.9375,0.01,0.130286455154,-0.609353851487,0.739640306642
37.5,0.01,0.121202394366,0.162880927729,0.0416785333626
39.0625,0.01,0.112227074802,0.950950267334,0.838723192532
40.625,0.01,0.103473804891,1.01741191379,0.913938108897
42.1875,0.01,0.0950379222631,0.262546147291,0.167508225028
43.75,0.01,0.0869939476252,-0.663537783361,0.750531730986
45.3125,0.01,0.0793948918581,-0.946313139426,1.02570803128
46.875,0.01,0.0722734630108,-0.354948344996,0.427221808006
48.4375,0.01,0.0656435266137,0.573801989581,0.508158462967
0,0.02,0.207143247128,1.01442544668,0.807282199555
1.5625,0.02,0.208046346903,0.578690337769,0.370643990866
3.125,0.02,0.208868294954,-0.36691627484,0.575784569794
4.6875,0.02,0.209584221244,-0.956562553267,1.16614677451
6.25,0.02,0.210162565112,-0.660616149636,0.870778714749
7.8125,0.02,0.210563987494,0.254122894144,0.0435589066508
9.375,0.02,0.210740685463,1.00809902397,0.797358338506
10.9375,0.02,0.210636407137,0.95875330796,0.748116900823
12.5,0.02,0.210187539458,0.162750074353,0.0474374651055
14.0625,0.02,0.209322988987,-0.619643792754,0.828966781741
15.625,0.02,0.207968711853,-0.626825319863,0.834794031716
17.1875,0.02,0.206049591303,0.201046300506,0.00500329079647
18.75,0.02,0.203494623303,1.2255293017,1.0220346784
20.3125,0.02,0.20024125278,1.66415040427,1.46390915149
21.875,0.02,0.196241781116,1.22812763309,1.03188585197
23.4375,0.02,0.191466972232,0.39871094164,0.207243969408
25,0.02,0.185911387205,-0.0043836453767,0.190295032582
26.5625,0.02,0.179595425725,0.391668826231,0.212073400506
28.125,0.02,0.172567263246,1.20536913263,1.03280186939
29.6875,0.02,0.164901509881,1.66415359959,1.49925208971
31.25,0.02,0.156697034836,1.25390837515,1.09721134032
32.8125,0.02,0.148071661592,0.209276483822,0.06120482223
34.375,0.02,0.139156371355,-0.631284464142,0.770440835497
35.9375,0.02,0.130088150501,-0.608866751309,0.73895490181
37.5,0.02,0.121002957225,0.162691854732,0.0416888975072
39.0625,0.02,0.112028047442,0.950755966143,0.8387279187
40.625,0.02,0.103276982903,1.02321751315,0.919940530245
42.1875,0.02,0.0948447287083,0.265800837121,0.170956108413
43.75,0.02,0.0868059769273,-0.666972371054,0.753778347982
45.3125,0.02,0.079213090241,-0.946231542462,1.0254446327
46.875,0.02,0.0720988288522,-0.352406872577,0.42450570143
48.4375,0.02,0.0654767602682,0.57363173566,0.508154975392
0,0.03,0.206995308399,1.01491187733,0.807916568934
1.5625,0.03,0.207898393273,0.580997918075,0.373099524802
3.125,0.03,0.208720490336,-0.371633997684,0.58035448802
4.6875,0.03,0.209436804056,-0.96162174716,1.17105855122
6.25,0.03,0.210015684366,-0.660905737383,0.87092142175
7.8125,0.03,0.210417538881,0.251566345149,0.0411488062677
9.375,0.03,0.210594907403,1.00634811001,0.795753202609
10.9375,0.03,0.210491374135,0.962518281106,0.752026906971
12.5,0.03,0.210042700171,0.162604748227,0.0474379519442
14.0625,0.03,0.209178313613,-0.624518835373,0.833697148986
15.625,0.03,0.20782379806,-0.628141553555,0.835965351615
17.1875,0.03,0.205903738737,0.198333166313,0.00757057242376
18.75,0.03,0.203347146511,1.22001627334,1.01666912683
20.3125,0.03,0.200091511011,1.66613560457,1.46604409356
21.875,0.03,0.19608861208,1.23484866708,1.038760055
23.4375,0.03,0.191309705377,0.399387601649,0.208077896272
25,0.03,0.185748904943,-0.00658683408636,0.19233573903
26.5625,0.03,0.179427415133,0.388720894376,0.209293479243
28.125,0.03,0.172393098474,1.20068386296,1.02829076448
29.6875,0.03,0.164721265435,1.66616342854,1.50144216311
31.25,0.03,0.15651088953,1.26258397265,1.10607308312
32.8125,0.03,0.147880196571,0.210733123712,0.062852927141
34.375,0.03,0.138960838318,-0.634807875741,0.773768714059
35.9375,0.03,0.129889771342,-0.608403009229,0.738292780572
37.5,0.03,0.120803199708,0.162503427078,0.0417002273697
39.0625,0.03,0.111828655005,0.950564432095,0.838735777091
40.625,0.03,0.10307983309,1.02900122332,0.925921390225
42.1875,0.03,0.0946514308453,0.269077305364,0.174425874519
43.75,0.03,0.0866176784039,-0.670400150442,0.757017828846
45.3125,0.03,0.0790312364697,-0.946139574313,1.02517081078
46.875,0.03,0.0719240754843,-0.349886122582,0.421810198066
48.4375,0.03,0.0653098970652,0.573476841649,0.508166944584
0,0.04,0.206846818328,1.01540629714,0.808559478816
1.5625,0.04,0.207750231028,0.583276092152,0.375525861124
3.125,0.04,0.208572626114,-0.376361424831,0.584934050945
4.6875,0.04,0.209289312363,-0.966661649449,1.17595096181
6.25,0.04,0.209868475795,-0.661214165737,0.871082641532
7.8125,0.04,0.210271134973,0.249034755417,0.0387636204441
9.375,0.04,0.210448980331,1.00459229712,0.79414331679
10.9375,0.04,0.21034578979,0.966257764325,0.755911974534
