x,uT_pinn,uT_rollout,abs_error
0,0.0347497165203,-2.43159869698,2.4663484135
1.5625,0.0293896477669,-1.36089481498,1.39028446274
3.125,0.0235161148012,-0.694803522735,0.718319637537
4.6875,0.0171201582998,0.0175439505542,0.000423792254377
6.25,0.010207939893,-0.754053430677,0.76426137057
7.8125,0.00280349026434,-2.72259392266,2.72539741292
9.375,-0.0050477697514,-2.60365987118,2.59861210143
10.9375,-0.0132793337107,-1.26940467217,1.25612533846
12.5,-0.0218030363321,-0.659240035244,0.637436998912
14.0625,-0.0305113084614,-0.0553187471879,0.0248074387265
15.625,-0.0392817333341,0.339755309047,0.379037042381
17.1875,-0.0479823537171,0.417419427682,0.465401781399
18.75,-0.0564794242382,-0.261888576119,0.205409151881
20.3125,-0.0646436437964,-0.906101252025,0.841457608228
21.875,-0.0723577290773,-0.774322620052,0.701964890974
23.4375,-0.0795229896903,-0.419641718935,0.340118729245
25,-0.0860635638237,0.317403270008,0.403466833831
26.5625,-0.0919286981225,1.47013092298,1.5620596211
28.125,-0.0970948264003,2.50978337406,2.60687820047
29.6875,-0.101563170552,0.415056676945,0.516619847498
31.25,-0.105356872082,-1.28304092004,1.17768404795
32.8125,-0.108517937362,0.113611753652,0.222129691015
34.375,-0.111101485789,0.743320321497,0.854421807285
35.9375,-0.113170564175,1.03861489032,1.1517854545
37.5,-0.114792019129,1.93543809042,2.05023010954
39.0625,-0.116032086313,3.32852456056,3.44455664688
40.625,-0.116953246295,1.22137019593,1.33832344223
42.1875,-0.11761149019,-0.973102235099,0.855490744909
43.75,-0.118056155741,0.646515213953,0.764571369694
45.3125,-0.118328198791,0.50548539424,0.62381359303
46.875,-0.118461042643,3.67525670271,3.79371774536
48.4375,-0.118481509387,2.34138597249,2.45986748188
