epoch,loss_total,loss_pde,loss_bc,loss_ic
1,0.11734480625,0.0778629056178,0.0293703395873,0.0101115610451
2,0.0562041253317,0.0210924204905,0.0062748529017,0.0288368519396
3,0.0412798548583,0.0143842218909,0.00445119477808,0.0224444381893
4,0.0234671366401,0.00612251842394,0.00803891941905,0.00930569879711
5,0.0263114177156,0.00760470251553,0.00498177157715,0.0137249436229
6,0.0268771578558,0.00858596153557,0.00463233562186,0.0136588606983
7,0.0234454813879,0.00749980327673,0.0048721791245,0.0110734989867
8,0.0216222355608,0.00711875096895,0.00415125954896,0.0103522250429
9,0.0207554510329,0.00701933340169,0.00416892208159,0.00956719554961
10,0.0198845848907,0.00696357102133,0.00366896390915,0.0092520499602
11,0.0192067375872,0.00692357118241,0.00341596966609,0.00886719673872
12,0.0182344638277,0.00677541359328,0.00309110386297,0.00836794637144
13,0.0173337637447,0.00655935946852,0.00290309591219,0.00787130836397
14,0.0161669352092,0.00632352707908,0.00265650497749,0.00718690315261
15,0.0152437386569,0.00611413945444,0.00245298119262,0.00667661800981
16,0.0141944829375,0.00585619849153,0.00231874431483,0.00601954013109
17,0.0134580914397,0.00559975313954,0.00196025241166,0.00589808588848
18,0.0126182083506,0.0053519167006,0.00183427124284,0.00543202040717
19,0.0115991615225,0.00493457899429,0.00168386800215,0.00498071452603
20,0.0109030804597,0.00464698928408,0.00157814077102,0.00467795040458
21,0.00992459850386,0.00429305806756,0.00150789087638,0.00412364955992
22,0.00907406788319,0.00393461396452,0.00136599072721,0.00377346319146
23,0.00800772879738,0.00350932632573,0.00121803663205,0.0032803658396
24,0.00734605924226,0.00316115147434,0.000994709553197,0.00319019821472
25,0.00636317464523,0.00269135506824,0.000891444040462,0.00278037553653
26,0.00546712573851,0.00229580292944,0.000764083757531,0.00240723905154
27,0.00463528403779,0.00189427585574,0.000659465207718,0.00208154297434
28,0.00392224839889,0.00155707730446,0.000551043194719,0.00181412789971
29,0.00328641235828,0.0012395638274,0.000538107240573,0.00150874129031
30,0.00274718992878,0.000992003222927,0.000417948234826,0.00133723847102
31,0.00232096161926,0.000837824773043,0.000399219745304,0.00108391710091
32,0.00202045304468,0.000719635892892,0.000381167483283,0.000919649668504
33,0.00183419958339,0.000680414546514,0.000313866476063,0.000839918560814
34,0.0016732641554,0.000641478941543,0.0002917200909,0.000740065122955
35,0.00155681272736,0.000633205258055,0.000282616500044,0.000640990969259
36,0.00145854795119,0.000615434051724,0.000252617319347,0.000590496580116
37,0.00138222720416,0.000598895380972,0.000244126902544,0.000539204920642
38,0.00131648578099,0.000579552608542,0.00021247487166,0.000524458300788
39,0.00123822633177,0.000557116634445,0.000219728244701,0.000461381452624
