alpha,residual,regularization
1e-06,0.0221880277237,9.59051602309
2.73841963426e-06,0.019412276631,6.99322519796
7.49894209332e-06,0.0156981196373,4.95286806806
2.05352502646e-05,0.0428868801255,3.50169379258
5.6234132519e-05,0.0115772917299,2.29988835727
0.000153992652606,0.0144765199327,1.27979121085
0.000421696503429,0.0131742291011,0.863801097131
0.00115478198469,0.016132539571,0.743092898196
0.00316227766017,0.0168867980401,0.612322822558
0.0086596432336,0.0179450156064,0.451349530603
0.0237137370566,0.0195888999954,0.34159138088
0.0649381631576,0.026532897951,0.176016643058
0.177827941004,0.0364096962815,0.106925099615
0.486967525166,0.0419190112976,0.0553347984151
1.33352143216,0.0492879983433,0.0327083962051
3.65174127255,0.0535011567848,0.0132588619345
10,0.0554766110857,0.00504114381567
