wJ,alpha,loss_fbi,loss_j,loss_reg,objective_rollout,tikhonov_rollout
0.001,1.33352143216,4.96060152178e-08,0.03149834387,2.45254920817e-09,0.0315719074431,0.0315719106224
0.01,0.00316227766017,2.04693920409e-06,0.0201781444252,0.0112634137273,0.0203936896296,0.0205129460964
0.1,0.000153992652606,1.1338123781e-05,0.00443582194857,0.467450991273,0.00455697143915,0.0157354198206
1,5.6234132519e-05,0.000100110167188,0.00164828677662,1.43335723877,0.00176730607105,0.0553603611014
10,0.0237137370566,0.000614428743913,0.000954298768193,0.0063246218022,0.0023005931944,76.8753190885
100,0.000153992652606,0.00480381408888,0.000534476258326,3.39420437813,0.00093416135582,1.60795077321
1000,2.73841963426e-06,0.0187615067611,7.37912273507e-06,302.170596313,0.00104971559244,0.0738289851395
