x,u0_true,u0_pred,abs_error
0,0,2.36088453676e-05,2.36088453676e-05
0.0250000003725,0.00222268840298,2.66668430413e-05,0.00219602161087
0.0500000007451,0.00445019174367,2.95911959256e-05,0.00442060036585
0.0750000029802,0.00668735057116,3.23791100527e-05,0.0066549712792
0.10000000149,0.00893906038254,3.50366390194e-05,0.00890402402729
0.125,0.0112103065476,3.75647141482e-05,0.0111727416515
0.15000000596,0.0135061703622,3.99675263907e-05,0.0134662026539
0.17499999702,0.0158318765461,4.22385564889e-05,0.0157896373421
0.20000000298,0.0181928090751,4.43861863459e-05,0.0181484222412
0.225000008941,0.0205945242196,4.64076219941e-05,0.0205481164157
0.25,0.0230427701026,4.83112453367e-05,0.0229944586754
0.27500000596,0.0255435165018,5.00965907122e-05,0.0254934206605
0.300000011921,0.0281029231846,5.17566732015e-05,0.0280511658639
0.325000017881,0.0307273473591,5.33091879333e-05,0.0306740384549
0.34999999404,0.0334233120084,5.47396994079e-05,0.0333685725927
0.375,0.0361974239349,5.6057520851e-05,0.0361413657665
0.40000000596,0.0390563011169,5.72691715206e-05,0.0389990322292
0.425000011921,0.0420063734055,5.83658038522e-05,0.0419480092824
0.450000017881,0.0450536683202,5.93567310716e-05,0.0449943132699
0.47499999404,0.0482034087181,6.02386935498e-05,0.048143170774
0.5,0.0514595098794,6.10191418673e-05,0.0513984896243
0.525000035763,0.0548237636685,6.17020341451e-05,0.0547620616853
0.550000011921,0.0582946948707,6.22752631898e-05,0.0582324191928
0.574999988079,0.0618659928441,6.27532645012e-05,0.061803240329
0.600000023842,0.0655241459608,6.31344082649e-05,0.0654610097408
0.625,0.0692451298237,6.34252137388e-05,0.0691817030311
0.650000035763,0.0729898139834,6.36135737295e-05,0.0729262009263
0.675000011921,0.0766974389553,6.37136909063e-05,0.07663372159
0.699999988079,0.0802766382694,6.37248667772e-05,0.0802129134536
0.725000023842,0.0835935473442,6.36464028503e-05,0.0835299044847
0.75,0.0864560380578,6.34834213997e-05,0.0863925516605
0.775000035763,0.0885950997472,6.32356895949e-05,0.0885318666697
0.800000011921,0.0896444395185,6.29057685728e-05,0.0895815342665
0.824999988079,0.0891245380044,6.24948224868e-05,0.0890620425344
0.850000023842,0.0864423215389,6.20061109657e-05,0.0863803178072
0.875,0.0809268727899,6.1440099671e-05,0.0808654353023
0.900000035763,0.0719275996089,6.0796555772e-05,0.0718668028712
0.925000011921,0.0589953847229,6.00866551395e-05,0.0589352995157
0.949999988079,0.0421292036772,5.92952637817e-05,0.0420699082315
0.975000023842,0.0219999756664,5.84435692872e-05,0.0219415314496
1,-2.48553533311e-08,5.75192316319e-05,5.75440863031e-05
1.02499997616,-0.0220000240952,5.65301670576e-05,0.0220565535128
1.05000007153,-0.0421292968094,5.54770740564e-05,0.0421847738326
1.07500004768,-0.0589954666793,5.43606511201e-05,0.0590498261154
1.10000002384,-0.0719276741147,5.31895129825e-05,0.0719808638096
1.125,-0.0809268727899,5.19580717082e-05,0.0809788331389
1.14999997616,-0.0864423513412,5.06674914504e-05,0.0864930152893
1.17500007153,-0.0891245529056,4.93254556204e-05,0.0891738757491
1.20000004768,-0.089644446969,4.79342925246e-05,0.0896923840046
1.22500002384,-0.0885950997472,4.64886470581e-05,0.0886415913701
1.25,-0.0864560306072,4.49945728178e-05,0.0865010246634
1.27499997616,-0.0835935249925,4.34506728197e-05,0.0836369767785
1.30000007153,-0.0802766233683,4.18648633058e-05,0.0803184881806
1.32500004768,-0.0766974166036,4.02366786147e-05,0.0767376497388
1.35000002384,-0.0729897990823,3.85637904401e-05,0.0730283632874
1.375,-0.0692451149225,3.68550463463e-05,0.0692819729447
1.39999997616,-0.0655241459608,3.51064882125e-05,0.0655592530966
1.42500007153,-0.0618659779429,3.3327662095e-05,0.06189930439
1.45000004768,-0.058294672519,3.15085562761e-05,0.0583261810243
1.47500002384,-0.0548237524927,2.96610451187e-05,0.054853413254
1.5,-0.0514595061541,2.77858271147e-05,0.0514872930944
1.52499997616,-0.0482034012675,2.58784784819e-05,0.0482292808592
1.55000007153,-0.0450536422431,2.39469154621e-05,0.0450775884092
1.57500004768,-0.0420063659549,2.19914873014e-05,0.0420283563435
1.60000002384,-0.0390562936664,2.00134745683e-05,0.0390763059258
1.625,-0.0361974127591,1.80125280167e-05,0.0362154245377
1.64999997616,-0.0334233008325,1.59943519975e-05,0.0334392935038
1.67500007153,-0.0307273380458,1.3959412172e-05,0.0307412967086
1.70000004768,-0.0281029101461,1.19115502457e-05,0.0281148217618
1.72500002384,-0.0255435053259,9.84925281955e-06,0.0255533549935
1.75,-0.0230427607894,7.77333480073e-06,0.0230505336076
1.77499997616,-0.0205945242196,5.6904318626e-06,0.0206002146006
1.80000007153,-0.0181927978992,3.6001947592e-06,0.0181963983923
1.82500004768,-0.0158318635076,1.50436972035e-06,0.0158333685249
1.85000002384,-0.0135061563924,-5.97159669269e-07,0.0135055594146
1.875,-0.0112103046849,-2.70183227258e-06,0.0112076029181
1.89999997616,-0.00893905945122,-4.80208109366e-06,0.00893425755203
1.92500007153,-0.00668733380735,-6.9026791607e-06,0.00668043131009
1.95000004768,-0.00445018801838,-9.00106533663e-06,0.0044411867857
1.97500002384,-0.00222268444486,-1.10937471618e-05,0.00221159076318
2,4.94637086845e-09,-1.3179560483e-05,1.31845072247e-05
2.02500009537,0.00222270772792,-1.52539651026e-05,0.00223796162754
2.04999995232,0.00445019779727,-1.73188236658e-05,0.00446751667187
2.07499980927,0.0066873440519,-1.93688974832e-05,0.00670671276748
2.09999990463,0.00893905572593,-2.14076790144e-05,0.00896046310663
2.125,0.0112103149295,-2.34302788158e-05,0.0112337451428
2.15000009537,0.0135061796755,-2.54305268754e-05,0.0135316103697
2.17499995232,0.0158318746835,-2.7410867915e-05,0.0158592853695
2.19999980927,0.0181927904487,-2.93696721201e-05,0.0182221606374
2.22499990463,0.0205945204943,-3.13040291076e-05,0.0206258241087
2.25,0.0230427701026,-3.32149866153e-05,0.0230759847909
2.27500009537,0.0255435314029,-3.50982372765e-05,0.0255786292255
2.29999995232,0.0281029231846,-3.69457484339e-05,0.0281398687512
2.32499980927,0.0307273324579,-3.87676482205e-05,0.0307660996914
2.34999990463,0.0334232971072,-4.05532264267e-05,0.0334638506174
2.375,0.0361974313855,-4.2307721742e-05,0.0362397395074
2.40000009537,0.0390563197434,-4.40196090494e-05,0.0391003377736
2.42499995232,0.0420063771307,-4.56944762846e-05,0.0420520715415
2.44999980927,0.045053653419,-4.73270847579e-05,0.045100979507
2.47499990463,0.0482033975422,-4.89206940983e-05,0.0482523180544
2.5,0.0514595210552,-5.04670388182e-05,0.0515099875629
2.52500009537,0.0548237711191,-5.19658860867e-05,0.0548757351935
2.54999995232,0.0582947097719,-5.34157225047e-05,0.0583481267095
2.57499980927,0.0618659704924,-5.48143361812e-05,0.0619207844138
2.59999990463,0.0655241161585,-5.61626584386e-05,0.065580278635
2.625,0.0692451521754,-5.74557998334e-05,0.069302611053
2.65000009537,0.0729898437858,-5.8691315644e-05,0.0730485320091
2.67499995232,0.0766974166036,-5.98690894549e-05,0.0767572820187
2.69999980927,0.0802766159177,-6.09890048509e-05,0.0803376063704
2.72499990463,0.0835935249925,-6.20450082351e-05,0.0836555734277
2.75,0.0864560455084,-6.30369831924e-05,0.0865190848708
2.77500009537,0.0885951071978,-6.39634163235e-05,0.0886590704322
