epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj
1,0.157058721899,0.117970277183,0.0152735980228,0.0229803992916,0.834447401762
2,0.0427543981709,0.0292372267693,0.00483542976435,0.00784005993628,0.841681700945
3,0.0119947310512,0.00828170671593,0.00115161058784,0.00173192072543,0.829493021965
4,0.004153759123,0.00272816582001,0.000219944379933,0.000431316173217,0.774332749844
5,0.00244682793072,0.00109257777513,0.000219735040446,0.00033446092857,0.800054186583
6,0.00142245542657,0.000473040410725,6.54162338833e-05,9.17346601909e-05,0.792264121771
7,0.00100717483294,0.000186037707317,1.8333756725e-05,2.45352998718e-05,0.778268069029
8,0.000913285489087,0.000100019237652,1.34326015768e-05,1.86704401813e-05,0.781163209677
9,0.000849709708319,5.55002057808e-05,6.69843752803e-06,7.81255603215e-06,0.779698508978
10,0.000833917216965,4.60855484562e-05,4.73904776754e-06,5.83786047628e-06,0.777254760265
11,0.000823192334172,3.88192169339e-05,3.38981383265e-06,5.2600308436e-06,0.775723272562
12,0.000816760719436,3.40408416378e-05,3.25139499182e-06,4.60473902422e-06,0.774863743782
13,0.000813193908929,3.13732212817e-05,2.92796764825e-06,4.40912272097e-06,0.774483597279
14,0.000809827282094,2.90508256512e-05,2.85226590222e-06,4.18540694227e-06,0.773738783598
15,0.000807344463964,2.72942483207e-05,2.6764592576e-06,4.07886645917e-06,0.773294889927
16,0.000805193113032,2.58443746134e-05,2.58440895777e-06,4.04717543461e-06,0.772717154026
17,0.000803152053549,2.44366094194e-05,2.4444876999e-06,3.96773878037e-06,0.772303217649
18,0.000801338405073,2.32406740906e-05,2.59133369127e-06,3.81232719064e-06,0.771694070101
19,0.000799621975265,2.20908863412e-05,2.28419207815e-06,3.8115407051e-06,0.77143535614
20,0.000798070065821,2.10769721889e-05,2.41775901486e-06,3.61822826562e-06,0.770957106352
21,0.000796641549126,2.01454509806e-05,2.27377672672e-06,3.60412111604e-06,0.770618200302
22,0.000795353421018,1.93377267351e-05,2.28554488331e-06,3.47621096353e-06,0.770253938437
23,0.000794216376324,1.86179007869e-05,2.32107383908e-06,3.39427567724e-06,0.76988312602
24,0.000793026204507,1.78225225682e-05,2.27426944548e-06,3.3050719594e-06,0.769624340534
25,0.000791836464914,1.70574550793e-05,2.32310196679e-06,3.21505169723e-06,0.769240856171
26,0.000790878472604,1.64854360264e-05,2.27012669711e-06,3.15004215281e-06,0.768972867727
27,0.000789872013218,1.58183759595e-05,2.28815706578e-06,3.12891975227e-06,0.76863656044
28,0.000788880130494,1.51315176481e-05,2.33917276091e-06,2.958917662e-06,0.768450522423
29,0.000788130354189,1.47534349708e-05,2.32144282108e-06,2.91811081752e-06,0.76813736558
30,0.000787253866306,1.41763693136e-05,2.3755660095e-06,2.86655233595e-06,0.767835378647
31,0.000786477374175,1.37050204103e-05,2.36404416682e-06,2.75957097529e-06,0.767648738623
32,0.000785763831002,1.32389715873e-05,2.41350617216e-06,2.72514923836e-06,0.767386204004
33,0.000785069460911,1.27948904264e-05,2.47243935974e-06,2.64621562565e-06,0.767155915499
34,0.000784328311168,1.23212942526e-05,2.50813154707e-06,2.62900659891e-06,0.766869878769
35,0.000783584741918,1.18530580039e-05,2.49044151133e-06,2.53467439961e-06,0.766706568003
36,0.000782950019523,1.14569151265e-05,2.55231930169e-06,2.47847692663e-06,0.766462308168
37,0.000782395926614,1.11184316665e-05,2.59479654687e-06,2.43429938109e-06,0.766248399019
38,0.000781960240631,1.09191855699e-05,2.61554789631e-06,2.34570584325e-06,0.766079801321
39,0.000781514747266,1.06850769953e-05,2.67454618097e-06,2.33515729633e-06,0.765819966793
40,0.000780943503581,1.02821703877e-05,2.75140657777e-06,2.26765318985e-06,0.765642273426
41,0.000780404662046,9.95371319732e-06,2.74728020031e-06,2.20773058572e-06,0.765495938063
42,0.00077994622163,9.70368928392e-06,2.78305026313e-06,2.20046056256e-06,0.765259021521
43,0.000779441283419,9.3865686722e-06,2.88718597403e-06,2.13551750221e-06,0.765032011271
44,0.000778958005624,9.09597065402e-06,2.88331032152e-06,2.07665150356e-06,0.764902073145
45,0.000778483953211,8.81094947545e-06,2.90927785045e-06,2.06077397706e-06,0.764702951908
46,0.000778116147594,8.61927865117e-06,3.01033564938e-06,1.97485865101e-06,0.764511674643
47,0.000777774018786,8.44232654345e-06,3.00788078675e-06,1.91189710677e-06,0.764411914349
48,0.000777414956097,8.25206379886e-06,3.04788095491e-06,1.9299284304e-06,0.764185082912
49,0.000777089291621,8.05850563665e-06,3.1284214856e-06,1.8456640305e-06,0.764056700468
50,0.000776692116908,7.83370273894e-06,3.12543184009e-06,1.8130447188e-06,0.763919937611
51,0.000776363295274,7.66761827435e-06,3.19938203575e-06,1.7938904648e-06,0.763702404499
52,0.000776047916357,7.48890065552e-06,3.22061814586e-06,1.73409038098e-06,0.763604307175
53,0.000775833958297,7.42732177059e-06,3.31555663706e-06,1.71182197164e-06,0.763379257917
54,0.000775495547094,7.20647931303e-06,3.32164054271e-06,1.64937137015e-06,0.763318055868
55,0.000775237067281,7.12612522875e-06,3.35228658059e-06,1.64358322081e-06,0.76311507225
56,0.00077500600344,6.9926814831e-06,3.38368797657e-06,1.60296137892e-06,0.763026672602
57,0.000774739976945,6.8479933816e-06,3.49924462171e-06,1.5881770878e-06,0.762804561853
58,0.000774428114649,6.70412287036e-06,3.46632114088e-06,1.50579332967e-06,0.762751877308
59,0.000774229599863,6.61449817017e-06,3.56197094789e-06,1.4713174096e-06,0.762581813335
60,0.000774048938321,6.53530269119e-06,3.58516394954e-06,1.47626268472e-06,0.762452208996
61,0.000773875261002,6.49838680147e-06,3.58064819466e-06,1.4440932091e-06,0.762352132797
62,0.000773639808579,6.38152200736e-06,3.68783275917e-06,1.40547959973e-06,0.762164974213
63,0.000773396096074,6.2912168687e-06,3.64100906154e-06,1.37989268296e-06,0.762083977461
64,0.000773230482061,6.20411860837e-06,3.76639359274e-06,1.32961145027e-06,0.76193035841
65,0.000772971078086,6.07196188867e-06,3.7554750179e-06,1.29970950411e-06,0.761843931675
66,0.000772790140375,5.99258250986e-06,3.75893441742e-06,1.28414642404e-06,0.761754477024
67,0.000772789066397,6.11599557487e-06,3.83072438126e-06,1.25584126636e-06,0.761586505175
68,0.000772658215748,6.09384578638e-06,3.84668746847e-06,1.23117603152e-06,0.761486506462
69,0.000772351649344,5.83302517043e-06,3.92523852497e-06,1.20473213201e-06,0.761388653517
70,0.000772164635147,5.81485005569e-06,3.89617578094e-06,1.1714931361e-06,0.761282116175
71,0.000771996894143,5.73512447772e-06,3.92509755329e-06,1.15612821219e-06,0.7611805439
72,0.000771750952973,5.59670970688e-06,3.99650666623e-06,1.12448769869e-06,0.761033248901
73,0.000771655301717,5.63946173315e-06,3.97184794565e-06,1.10723709668e-06,0.760936754942
74,0.000771575814444,5.60426219636e-06,4.02571713494e-06,1.08601784632e-06,0.760859817266
75,0.000771312181952,5.45790444448e-06,4.0914602323e-06,1.05632103669e-06,0.760706496239
76,0.000771159232304,5.40941459803e-06,4.05852288168e-06,1.03489032881e-06,0.760656404495
77,0.0007710837503,5.41164613423e-06,4.13462671531e-06,1.01372905306e-06,0.760523748398
78,0.000770879166729,5.35189001312e-06,4.07677798648e-06,1.00102367924e-06,0.76044947505
79,0.000770726339227,5.21275178471e-06,4.21593172177e-06,9.65810437492e-07,0.760331845284
80,0.000770698188303,5.37506957698e-06,4.12983154092e-06,9.57441142191e-07,0.760235846043
81,0.000770449775214,5.1632044233e-06,4.19302459704e-06,9.29720442855e-07,0.76016382575
82,0.00077039073713,5.20247867826e-06,4.23445253546e-06,9.13540594638e-07,0.760040265322
83,0.000770248448634,5.1683915899e-06,4.20560149905e-06,8.97001598332e-07,0.759977453947
84,0.000770134188138,5.12834753863e-06,4.24026579822e-06,8.7287269821e-07,0.759892702103
85,0.000770007508281,5.16490995324e-06,4.25772777817e-06,8.68550512223e-07,0.759716320038
86,0.000769843503354,4.97475480188e-06,4.29803171755e-06,8.46749520633e-07,0.759723967314
87,0.000769696722156,5.02904549649e-06,4.27553404734e-06,8.24899751706e-07,0.759567242861
