epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj,loss_reg_h1
1,0.967621500432,0.125962563977,0.0330902738497,0.28103749454,0.621923819184,0.144289861992
2,0.410975103471,0.0391928971745,0.0774948894978,0.187713934481,0.453448852897,0.0290600909386
3,0.307103046467,0.0454747144133,0.0724953360856,0.149563089013,0.444981133938,0.0107140465057
4,0.250795966034,0.0531513553113,0.0487332850695,0.12957437709,0.439376619458,0.00517494820524
5,0.216226829359,0.0515363700688,0.0492707788944,0.106553259492,0.394447875023,0.00231998172821
6,0.189599707737,0.049201560393,0.0490103121847,0.0860945001245,0.37427367866,0.00134704541997
7,0.166722358363,0.0519819803536,0.0349701210856,0.0756572276354,0.37238560915,0.00102434520959
8,0.14569673867,0.0494019851089,0.0322711903602,0.0606812059879,0.354255715013,0.000818267581053
9,0.125246869773,0.0492647219449,0.0248176714405,0.0482930984348,0.342458975315,0.00069252413814
10,0.104229485868,0.0445282772183,0.0195760888979,0.0378355763853,0.333741360903,0.000535580661381
11,0.0828103444015,0.0373462315649,0.0151755416766,0.0282392013818,0.322299718857,0.000472944256035
12,0.0610688405979,0.0306811897084,0.0101676584221,0.0186050087214,0.30963498652,0.000357459267252
13,0.0406589110081,0.0223890019581,0.00609965701587,0.0108639417216,0.300203517079,0.000275514260284
14,0.0242021999399,0.0145328610204,0.00332958542276,0.00531167506706,0.289992704988,0.000202118844027
15,0.0135640007335,0.00866786898114,0.00144272541511,0.00261784754694,0.281194683909,0.000151808155351
16,0.00843040516376,0.00533752138726,0.000857946713222,0.00153608148685,0.273657783866,0.00011643699836
17,0.00629422386495,0.00405028804671,0.000584735145094,0.00104657439515,0.269027850032,9.40916681429e-05
18,0.0051302888952,0.00337095311843,0.000460641444079,0.000752605352318,0.267478772998,7.62951662182e-05
19,0.00431327361148,0.00291387322359,0.000363332257257,0.00053738472634,0.266650509834,6.35403433989e-05
