iter,J,grad_norm,step
1,0.483641746661,1.29549134458,0.01
2,0.467553135481,1.27376148283,0.01
3,0.451999720882,1.25239610586,0.01
4,0.436963699255,1.23138910001,0.01
5,0.422427859234,1.21073445417,0.01
6,0.408375562,1.19042625804,0.01
7,0.394790722234,1.17045870046,0.01
8,0.381657789704,1.15082606774,0.01
9,0.368961731465,1.13152274204,0.01
10,0.356688014651,1.11254319975,0.01
11,0.34482258984,1.0938820099,0.01
12,0.333351874973,1.07553383262,0.01
13,0.322262739803,1.05749341761,0.01
14,0.31154249087,1.03975560263,0.01
15,0.301178856969,1.02231531204,0.01
16,0.291159975102,1.00516755533,0.01
17,0.281474376903,0.988307425684,0.01
18,0.272110975504,0.971730098615,0.01
19,0.263059052851,0.955430830543,0.01
20,0.254308247429,0.939404957461,0.01
21,0.245848542408,0.92364789359,0.01
22,0.23767025417,0.908155130072,0.01
23,0.229764021231,0.892922233678,0.01
24,0.222120793519,0.877944845539,0.01
25,0.214731822019,0.863218679899,0.01
26,0.207588648759,0.84873952289,0.01
27,0.200683097122,0.834503231325,0.01
28,0.194007262494,0.820505731512,0.01
29,0.18755350321,0.806743018089,0.01
30,0.181314431812,0.793211152877,0.01
31,0.175282906587,0.779906263756,0.01
32,0.169452023397,0.766824543552,0.01
33,0.163815107773,0.753962248954,0.01
34,0.158365707277,0.741315699434,0.01
35,0.153097584113,0.728881276205,0.01
36,0.14800470799,0.716655421176,0.01
37,0.143081249219,0.704634635939,0.01
38,0.138321572037,0.692815480764,0.01
39,0.133720228159,0.68119457362,0.01
40,0.129271950539,0.669768589203,0.01
41,0.124971647343,0.658534257986,0.01
42,0.120814396121,0.647488365284,0.01
43,0.116795438168,0.636627750331,0.01
44,0.112910173082,0.625949305381,0.01
45,0.109154153496,0.615449974814,0.01
46,0.105523079987,0.605126754263,0.01
47,0.102012796153,0.594976689756,0.01
48,0.0986192838604,0.584996876867,0.01
49,0.0953386586377,0.57518445989,0.01
50,0.092167165234,0.565536631017,0.01
51,0.089101173319,0.556050629537,0.01
52,0.0861371733271,0.546723741047,0.01
53,0.0832717724402,0.537553296673,0.01
54,0.0805016907044,0.528536672306,0.01
55,0.0778237572754,0.519671287854,0.01
56,0.0752349067884,0.510954606502,0.01
57,0.0727321758499,0.502384133986,0.01
58,0.0703126996455,0.493957417878,0.01
59,0.06797370866,0.485672046887,0.01
60,0.0657125255081,0.477525650168,0.01
61,0.063526561869,0.469515896643,0.01
62,0.0614133155238,0.461640494333,0.01
63,0.0593703674914,0.453897189705,0.01
64,0.0573953792593,0.446283767025,0.01
65,0.0554860901072,0.438798047724,0.01
66,0.0536403145185,0.431437889776,0.01
67,0.0518559396794,0.424201187083,0.01
68,0.0501309230599,0.417085868874,0.01
69,0.0484632900759,0.410089899113,0.01
70,0.0468511318287,0.403211275915,0.01
71,0.0452926029206,0.396448030972,0.01
72,0.0437859193418,0.389798228992,0.01
73,0.0423293564286,0.383259967147,0.01
74,0.0409212468893,0.376831374522,0.01
75,0.0395599788955,0.370510611586,0.01
76,0.0382439942371,0.364295869663,0.01
77,0.036971786539,0.358185370415,0.01
78,0.0357418995361,0.352177365332,0.01
79,0.0345529254071,0.346270135233,0.01
80,0.0334035031626,0.340461989775,0.01
81,0.032292317087,0.334751266965,0.01
82,0.0312180952331,0.329136332689,0.01
83,0.0301796079655,0.323615580243,0.01
84,0.0291756665534,0.318187429873,0.01
85,0.0282051218096,0.312850328322,0.01
86,0.0272668627755,0.307602748387,0.01
87,0.026359815449,0.302443188482,0.01
88,0.0254829415553,0.297370172207,0.01
89,0.0246352373585,0.292382247926,0.01
90,0.0238157325123,0.287477988354,0.01
91,0.0230234889498,0.282655990143,0.01
92,0.0222575998092,0.277914873487,0.01
93,0.021517188396,0.273253281724,0.01
94,0.0208014071794,0.268669880946,0.01
