x,y,u
0,0,0
0.025,0,0.15643446504
0.05,0,0.309016994375
0.075,0,0.45399049974
0.1,0,0.587785252292
0.125,0,0.707106781187
0.15,0,0.809016994375
0.175,0,0.891006524188
0.2,0,0.951056516295
0.225,0,0.987688340595
0.25,0,1
0.275,0,0.987688340595
0.3,0,0.951056516295
0.325,0,0.891006524188
0.35,0,0.809016994375
0.375,0,0.707106781187
0.4,0,0.587785252292
0.425,0,0.45399049974
0.45,0,0.309016994375
0.475,0,0.15643446504
0.5,0,1.22464679915e-16
0.525,0,-0.15643446504
0.55,0,-0.309016994375
0.575,0,-0.45399049974
0.6,0,-0.587785252292
0.625,0,-0.707106781187
0.65,0,-0.809016994375
0.675,0,-0.891006524188
0.7,0,-0.951056516295
0.725,0,-0.987688340595
0.75,0,-1
0.775,0,-0.987688340595
0.8,0,-0.951056516295
0.825,0,-0.891006524188
0.85,0,-0.809016994375
0.875,0,-0.707106781187
0.9,0,-0.587785252292
0.925,0,-0.45399049974
0.95,0,-0.309016994375
0.975,0,-0.15643446504
0,0.025641025641,0.00010538051709
0.025,0.025641025641,0.133306542109
0.05,0.025641025641,0.263225254216
0.075,0.025641025641,0.386662486969
0.1,0.025641025641,0.500578806033
0.125,0.025641025641,0.602169213568
0.15,0.025641025641,0.688932216579
0.175,0.025641025641,0.758731421983
0.2,0.025641025641,0.809848141693
0.225,0.025641025641,0.841023712422
0.25,0.025641025641,0.851490488154
0.275,0.025641025641,0.840990742132
0.3,0.025641025641,0.809783012951
0.325,0.025641025641,0.758635738476
0.35,0.025641025641,0.688808334351
0.375,0.025641025641,0.602020183011
0.4,0.025641025641,0.500408296775
0.425,0.025641025641,0.386474697512
0.45,0.025641025641,0.263024808561
0.475,0.025641025641,0.133098375893
0.5,0.025641025641,-0.00010538051709
0.525,0.025641025641,-0.133306542109
0.55,0.025641025641,-0.263225254216
0.575,0.025641025641,-0.386662486969
0.6,0.025641025641,-0.500578806033
0.625,0.025641025641,-0.602169213568
0.65,0.025641025641,-0.688932216579
0.675,0.025641025641,-0.758731421983
0.7,0.025641025641,-0.809848141693
0.725,0.025641025641,-0.841023712422
0.75,0.025641025641,-0.851490488154
0.775,0.025641025641,-0.840990742132
0.8,0.025641025641,-0.809783012951
0.825,0.025641025641,-0.758635738476
0.85,0.025641025641,-0.688808334351
0.875,0.025641025641,-0.602020183011
0.9,0.025641025641,-0.500408296775
0.925,0.025641025641,-0.386474697512
0.95,0.025641025641,-0.263024808561
0.975,0.025641025641,-0.133098375893
0,0.0512820512821,0.000213490625837
0.025,0.0512820512821,0.113631557493
0.05,0.0512820512821,0.224251638294
0.075,0.0512820512821,0.329349899511
0.1,0.0512820512821,0.426338473153
0.125,0.0512820512821,0.512829178649
0.15,0.0512820512821,0.586692327784
0.175,0.0512820512821,0.64610916469
0.2,0.0512820512821,0.689616649647
0.225,0.0512820512821,0.716143483983
0.25,0.0512820512821,0.725036489
0.275,0.0512820512821,0.7160766894
0.3,0.0512820512821,0.689484705184
0.325,0.0512820512821,0.645915319258
0.35,0.0512820512821,0.586441354502
0.375,0.0512820512821,0.51252725731
0.4,0.0512820512821,0.425993038064
0.425,0.0512820512821,0.32896945643
0.45,0.0512820512821,0.223845554992
0.475,0.0512820512821,0.113209833089
0.5,0.0512820512821,-0.000213490625837
0.525,0.0512820512821,-0.113631557493
0.55,0.0512820512821,-0.224251638294
0.575,0.0512820512821,-0.329349899511
0.6,0.0512820512821,-0.426338473153
0.625,0.0512820512821,-0.512829178649
0.65,0.0512820512821,-0.586692327784
0.675,0.0512820512821,-0.64610916469
0.7,0.0512820512821,-0.689616649647
0.725,0.0512820512821,-0.716143483983
0.75,0.0512820512821,-0.725036489
0.775,0.0512820512821,-0.7160766894
0.8,0.0512820512821,-0.689484705184
0.825,0.0512820512821,-0.645915319258
0.85,0.0512820512821,-0.586441354502
0.875,0.0512820512821,-0.51252725731
0.9,0.0512820512821,-0.425993038064
0.925,0.0512820512821,-0.32896945643
0.95,0.0512820512821,-0.223845554992
0.975,0.0512820512821,-0.113209833089
0,0.0769230769231,0.00032713062044
0.025,0.0769230769231,0.0968998849795
0.05,0.0769230769231,0.191086642578
0.075,0.0769230769231,0.280568212856
0.1,0.0769230769231,0.363141262581
