alpha,residual,regularization
1e-06,0.0019017359287,0.6264438474
2.73841963426e-06,0.00128919558013,0.587089291532
7.49894209332e-06,0.00142444318898,0.504128435225
2.05352502646e-05,0.00179652013882,0.38295536684
5.6234132519e-05,0.00155885866023,0.264910949914
0.000153992652606,0.00154952420721,0.151406693379
0.000421696503429,0.00154091088267,0.0728067993063
0.00115478198469,0.00194854885449,0.0350526677837
0.00316227766017,0.00184521240039,0.0169475795454
0.0086596432336,0.00238501781728,0.00730805724946
0.0237137370566,0.00237584292231,0.00326611399776
0.0649381631576,0.00155183822051,0.00122052736712
0.177827941004,0.00161738607634,0.000641787506189
0.486967525166,0.0012460306383,0.000379664658936
1.33352143216,0.00150312186606,0.000671209881225
3.65174127255,0.0011818747269,0.000477502332105
10,0.00127415128294,0.000320895096595
