x,y,t,f_true,f_pred,abs_error
0,0,0,0,2.07633781433,2.07633781433
0,0,0.0294117648154,0,1.50440788269,1.50440788269
0,0,0.0588235296309,0,1.03570485115,1.03570485115
0,0,0.088235296309,0,0.762308239937,0.762308239937
0,0,0.117647059262,0,0.574428379536,0.574428379536
0,0,0.147058829665,0,0.433446347713,0.433446347713
0,0,0.176470592618,0,0.324396491051,0.324396491051
0,0,0.205882355571,0,0.239916503429,0.239916503429
0,0,0.235294118524,0,0.175038635731,0.175038635731
0,0,0.264705896378,0,0.126020312309,0.126020312309
0,0,0.29411765933,0,0.0898108482361,0.0898108482361
0,0,0.323529422283,0,0.0636776685715,0.0636776685715
0,0,0.352941185236,0,0.045129597187,0.045129597187
0,0,0.382352948189,0,0.0320490598679,0.0320490598679
0,0,0.411764711142,0,0.0227867364883,0.0227867364883
0,0,0.441176474094,0,0.0161508917809,0.0161508917809
0,0,0.470588237047,0,0.0113127231598,0.0113127231598
0,0,0.5,0,0.00770306587219,0.00770306587219
0,0,0.529411792755,0,0.00493335723877,0.00493335723877
0,0,0.558823525906,0,0.00273638963699,0.00273638963699
0,0,0.588235259056,0,0.00093024969101,0.00093024969101
0,0,0.617647051811,0,-0.000605881214142,0.000605881214142
0,0,0.647058844566,0,-0.00195097923279,0.00195097923279
0,0,0.676470577717,0,-0.00315421819687,0.00315421819687
0,0,0.705882310867,0,-0.00424844026566,0.00424844026566
0,0,0.735294103622,0,-0.00525343418121,0.00525343418121
0,0,0.764705896378,0,-0.00618273019791,0.00618273019791
0,0,0.794117629528,0,-0.00704568624496,0.00704568624496
0,0,0.823529422283,0,-0.00784856081009,0.00784856081009
0,0,0.852941155434,0,-0.00859642028809,0.00859642028809
0,0,0.882352948189,0,-0.00929093360901,0.00929093360901
0,0,0.911764681339,0,-0.00993365049362,0.00993365049362
0,0,0.941176474094,0,-0.0105234980583,0.0105234980583
0,0,0.970588207245,0,-0.0110594034195,0.0110594034195
0,0,1,0,-0.0115377902985,0.0115377902985
0.0227272734046,0,0,0,1.86897110939,1.86897110939
0.0227272734046,0,0.0294117648154,0,1.33149838448,1.33149838448
0.0227272734046,0,0.0588235296309,0,0.939984500408,0.939984500408
0.0227272734046,0,0.088235296309,0,0.703986167908,0.703986167908
0.0227272734046,0,0.117647059262,0,0.537286221981,0.537286221981
0.0227272734046,0,0.147058829665,0,0.409529924393,0.409529924393
0.0227272734046,0,0.176470592618,0,0.309171557426,0.309171557426
0.0227272734046,0,0.205882355571,0,0.230486869812,0.230486869812
0.0227272734046,0,0.235294118524,0,0.169515788555,0.169515788555
0.0227272734046,0,0.264705896378,0,0.123129487038,0.123129487038
0.0227272734046,0,0.29411765933,0,0.0886281728745,0.0886281728745
0.0227272734046,0,0.323529422283,0,0.0635139942169,0.0635139942169
0.0227272734046,0,0.352941185236,0,0.0454999804497,0.0454999804497
0.0227272734046,0,0.382352948189,0,0.0326429605484,0.0326429605484
0.0227272734046,0,0.411764711142,0,0.0234286785126,0.0234286785126
0.0227272734046,0,0.441176474094,0,0.0167506933212,0.0167506933212
0.0227272734046,0,0.470588237047,0,0.0118302702904,0.0118302702904
0.0227272734046,0,0.5,0,0.00812691450119,0.00812691450119
0.0227272734046,0,0.529411792755,0,0.00526386499405,0.00526386499405
0.0227272734046,0,0.558823525906,0,0.00297957658768,0.00297957658768
0.0227272734046,0,0.588235259056,0,0.00109457969666,0.00109457969666
0.0227272734046,0,0.617647051811,0,-0.000514030456543,0.000514030456543
0.0227272734046,0,0.647058844566,0,-0.00192666053772,0.00192666053772
0.0227272734046,0,0.676470577717,0,-0.00319403409958,0.00319403409958
0.0227272734046,0,0.705882310867,0,-0.00434798002243,0.00434798002243
0.0227272734046,0,0.735294103622,0,-0.00540882349014,0.00540882349014
0.0227272734046,0,0.764705896378,0,-0.0063893198967,0.0063893198967
0.0227272734046,0,0.794117629528,0,-0.00729739665985,0.00729739665985
0.0227272734046,0,0.823529422283,0,-0.00813895463943,0.00813895463943
0.0227272734046,0,0.852941155434,0,-0.00891768932343,0.00891768932343
0.0227272734046,0,0.882352948189,0,-0.00963586568832,0.00963586568832
0.0227272734046,0,0.911764681339,0,-0.0102928876877,0.0102928876877
0.0227272734046,0,0.941176474094,0,-0.0108900666237,0.0108900666237
0.0227272734046,0,0.970588207245,0,-0.0114247202873,0.0114247202873
0.0227272734046,0,1,0,-0.0118952393532,0.0118952393532
0.0454545468092,0,0,0,1.63898158073,1.63898158073
0.0454545468092,0,0.0294117648154,0,1.15633559227,1.15633559227
0.0454545468092,0,0.0588235296309,0,0.842714846134,0.842714846134
0.0454545468092,0,0.088235296309,0,0.644523441792,0.644523441792
0.0454545468092,0,0.117647059262,0,0.499147832394,0.499147832394
0.0454545468092,0,0.147058829665,0,0.384637773037,0.384637773037
0.0454545468092,0,0.176470592618,0,0.292976260185,0.292976260185
0.0454545468092,0,0.205882355571,0,0.220155775547,0.220155775547
0.0454545468092,0,0.235294118524,0,0.163202166557,0.163202166557
0.0454545468092,0,0.264705896378,0,0.11955165863,0.11955165863
0.0454545468092,0,0.29411765933,0,0.0868397951126,0.0868397951126
0.0454545468092,0,0.323529422283,0,0.0628180503845,0.0628180503845
0.0454545468092,0,0.352941185236,0,0.0454134941101,0.0454134941101
0.0454545468092,0,0.382352948189,0,0.0328577756882,0.0328577756882
0.0454545468092,0,0.411764711142,0,0.0237615704536,0.0237615704536
0.0454545468092,0,0.441176474094,0,0.0170982480049,0.0170982480049
0.0454545468092,0,0.470588237047,0,0.0121369361877,0.0121369361877
0.0454545468092,0,0.5,0,0.00836354494095,0.00836354494095
0.0454545468092,0,0.529411792755,0,0.00541836023331,0.00541836023331
0.0454545468092,0,0.558823525906,0,0.00305032730103,0.00305032730103
0.0454545468092,0,0.588235259056,0,0.00108391046524,0.00108391046524
0.0454545468092,0,0.617647051811,0,-0.000600576400757,0.000600576400757
0.0454545468092,0,0.647058844566,0,-0.00208324193954,0.00208324193954
0.0454545468092,0,0.676470577717,0,-0.00341415405273,0.00341415405273
0.0454545468092,0,0.705882310867,0,-0.00462591648102,0.00462591648102
0.0454545468092,0,0.735294103622,0,-0.0057373046875,0.0057373046875
0.0454545468092,0,0.764705896378,0,-0.00676053762436,0.00676053762436
0.0454545468092,0,0.794117629528,0,-0.00770324468613,0.00770324468613
0.0454545468092,0,0.823529422283,0,-0.0085706114769,0.0085706114769
0.0454545468092,0,0.852941155434,0,-0.00936597585678,0.00936597585678
0.0454545468092,0,0.882352948189,0,-0.0100908875465,0.0100908875465
0.0454545468092,0,0.911764681339,0,-0.0107462406158,0.0107462406158
0.0454545468092,0,0.941176474094,0,-0.011331319809,0.011331319809
0.0454545468092,0,0.970588207245,0,-0.0118461847305,0.0118461847305
0.0454545468092,0,1,0,-0.0122886300087,0.0122886300087
0.0681818202138,0,0,0,1.38560056686,1.38560056686
0.0681818202138,0,0.0294117648154,0,0.98156195879,0.98156195879
0.0681818202138,0,0.0588235296309,0,0.744594395161,0.744594395161
0.0681818202138,0,0.088235296309,0,0.584136486053,0.584136486053
0.0681818202138,0,0.117647059262,0,0.460075139999,0.460075139999
0.0681818202138,0,0.147058829665,0,0.358777701855,0.358777701855
0.0681818202138,0,0.176470592618,0,0.275816261768,0.275816261768
0.0681818202138,0,0.205882355571,0,0.208933472633,0.208933472633
0.0681818202138,0,0.235294118524,0,0.156096756458,0.156096756458
0.0681818202138,0,0.264705896378,0,0.115267932415,0.115267932415
0.0681818202138,0,0.29411765933,0,0.0844185948372,0.0844185948372
0.0681818202138,0,0.323529422283,0,0.061562538147,0.061562538147
0.0681818202138,0,0.352941185236,0,0.0448461174965,0.0448461174965
0.0681818202138,0,0.382352948189,0,0.0326733589172,0.0326733589172
0.0681818202138,0,0.411764711142,0,0.0237708687782,0.0237708687782
0.0681818202138,0,0.441176474094,0,0.0171862244606,0.0171862244606
0.0681818202138,0,0.470588237047,0,0.0122311711311,0.0122311711311
0.0681818202138,0,0.5,0,0.00841969251633,0.00841969251633
0.0681818202138,0,0.529411792755,0,0.00541067123413,0.00541067123413
0.0681818202138,0,0.558823525906,0,0.00296729803085,0.00296729803085
0.0681818202138,0,0.588235259056,0,0.000921308994293,0.000921308994293
0.0681818202138,0,0.617647051811,0,-0.000839412212372,0.000839412212372
0.0681818202138,0,0.647058844566,0,-0.00239241123199,0.00239241123199
0.0681818202138,0,0.676470577717,0,-0.00378692150116,0.00378692150116
0.0681818202138,0,0.705882310867,0,-0.00505352020264,0.00505352020264
0.0681818202138,0,0.735294103622,0,-0.00621062517166,0.00621062517166
0.0681818202138,0,0.764705896378,0,-0.00727015733719,0.00727015733719
0.0681818202138,0,0.794117629528,0,-0.00823825597763,0.00823825597763
0.0681818202138,0,0.823529422283,0,-0.00911974906921,0.00911974906921
0.0681818202138,0,0.852941155434,0,-0.00991779565811,0.00991779565811
0.0681818202138,0,0.882352948189,0,-0.0106338858604,0.0106338858604
0.0681818202138,0,0.911764681339,0,-0.0112702250481,0.0112702250481
0.0681818202138,0,0.941176474094,0,-0.0118267536163,0.0118267536163
0.0681818202138,0,0.970588207245,0,-0.0123031139374,0.0123031139374
0.0681818202138,0,1,0,-0.0127002596855,0.0127002596855
0.0909090936184,0,0,0,1.10994410515,1.10994410515
0.0909090936184,0,0.0294117648154,0,0.809458196163,0.809458196163
0.0909090936184,0,0.0588235296309,0,0.646383464336,0.646383464336
0.0909090936184,0,0.088235296309,0,0.523126482964,0.523126482964
0.0909090936184,0,0.117647059262,0,0.420199453831,0.420199453831
0.0909090936184,0,0.147058829665,0,0.332019388676,0.332019388676
0.0909090936184,0,0.176470592618,0,0.257749557495,0.257749557495
0.0909090936184,0,0.205882355571,0,0.196862876415,0.196862876415
0.0909090936184,0,0.235294118524,0,0.148216068745,0.148216068745
0.0909090936184,0,0.264705896378,0,0.11027264595,0.11027264595
0.0909090936184,0,0.29411765933,0,0.0813482403755,0.0813482403755
0.0909090936184,0,0.323529422283,0,0.0597279667854,0.0597279667854
