x,y,t,u_true,u_pinn,abs_error
0,0,0,0,-0.0056501138024,0.0056501138024
0,0,0.0294117648154,0,0.00162285985425,0.00162285985425
0,0,0.0588235296309,0,0.00414152862504,0.00414152862504
0,0,0.088235296309,0,0.00567050697282,0.00567050697282
0,0,0.117647059262,0,0.00706874253228,0.00706874253228
0,0,0.147058829665,0,0.00825132802129,0.00825132802129
0,0,0.176470592618,0,0.00903584435582,0.00903584435582
0,0,0.205882355571,0,0.00936322286725,0.00936322286725
0,0,0.235294118524,0,0.00929119065404,0.00929119065404
0,0,0.264705896378,0,0.00892874971032,0.00892874971032
0,0,0.29411765933,0,0.0083860643208,0.0083860643208
0,0,0.323529422283,0,0.00775207998231,0.00775207998231
0,0,0.352941185236,0,0.00708853127435,0.00708853127435
0,0,0.382352948189,0,0.00643469812348,0.00643469812348
0,0,0.411764711142,0,0.00581281306222,0.00581281306222
0,0,0.441176474094,0,0.00523369433358,0.00523369433358
0,0,0.470588237047,0,0.00470193149522,0.00470193149522
0,0,0.5,0,0.00421713711694,0.00421713711694
0,0,0.529411792755,0,0.00377636076882,0.00377636076882
0,0,0.558823525906,0,0.00337680103257,0.00337680103257
0,0,0.588235259056,0,0.00301380874589,0.00301380874589
0,0,0.617647051811,0,0.00268333079293,0.00268333079293
0,0,0.647058844566,0,0.0023816418834,0.0023816418834
0,0,0.676470577717,0,0.00210513593629,0.00210513593629
0,0,0.705882310867,0,0.00185096682981,0.00185096682981
0,0,0.735294103622,0,0.00161613943055,0.00161613943055
0,0,0.764705896378,0,0.00139852287248,0.00139852287248
0,0,0.794117629528,0,0.00119620980695,0.00119620980695
0,0,0.823529422283,0,0.00100754620507,0.00100754620507
0,0,0.852941155434,0,0.000831176061183,0.000831176061183
0,0,0.882352948189,0,0.000665698666126,0.000665698666126
0,0,0.911764681339,0,0.000510473269969,0.000510473269969
0,0,0.941176474094,0,0.000364799518138,0.000364799518138
0,0,0.970588207245,0,0.00022753002122,0.00022753002122
0,0,1,0,9.86200757325e-05,9.86200757325e-05
0.0227272734046,0,0,0,-0.00358275650069,0.00358275650069
0.0227272734046,0,0.0294117648154,0,0.00148919643834,0.00148919643834
0.0227272734046,0,0.0588235296309,0,0.00312373461202,0.00312373461202
0.0227272734046,0,0.088235296309,0,0.00435249926522,0.00435249926522
0.0227272734046,0,0.117647059262,0,0.00571197690442,0.00571197690442
0.0227272734046,0,0.147058829665,0,0.00696878554299,0.00696878554299
0.0227272734046,0,0.176470592618,0,0.00787110999227,0.00787110999227
0.0227272734046,0,0.205882355571,0,0.00832851603627,0.00832851603627
0.0227272734046,0,0.235294118524,0,0.00838356092572,0.00838356092572
0.0227272734046,0,0.264705896378,0,0.0081391222775,0.0081391222775
0.0227272734046,0,0.29411765933,0,0.00770305516198,0.00770305516198
0.0227272734046,0,0.323529422283,0,0.00716351391748,0.00716351391748
0.0227272734046,0,0.352941185236,0,0.00658300938085,0.00658300938085
0.0227272734046,0,0.382352948189,0,0.00600164057687,0.00600164057687
0.0227272734046,0,0.411764711142,0,0.00544235529378,0.00544235529378
0.0227272734046,0,0.441176474094,0,0.00491771521047,0.00491771521047
0.0227272734046,0,0.470588237047,0,0.00443271221593,0.00443271221593
0.0227272734046,0,0.5,0,0.00398792745546,0.00398792745546
