x,t,u_true,u_pinn,abs_error
0,0,0,-0.00217560119927,0.00217560119927
0.0317332595587,0,0.0317279323936,0.0309793800116,0.000748552381992
0.0634665191174,0,0.0634239241481,0.063699953258,0.000276029109955
0.095199778676,0,0.0950560420752,0.0960154905915,0.000959448516369
0.126933038235,0,0.126592457294,0.127951398492,0.0013589411974
0.158666297793,0,0.15800139308,0.159530580044,0.00152918696404
0.190399557352,0,0.189251244068,0.190770715475,0.00151947140694
0.222132816911,0,0.220310539007,0.221686065197,0.0013755261898
0.253866076469,0,0.251147985458,0.25228574872,0.0011377632618
0.285599350929,0,0.281732589006,0.282575070858,0.000842481851578
0.317332595587,0,0.312033444643,0.312554001808,0.000520557165146
0.349065840244,0,0.342020124197,0.342217892408,0.000197768211365
0.380799114704,0,0.371662467718,0.371557235718,0.000105232000351
0.412532389164,0,0.400930553675,0.400558054447,0.000372499227524
0.444265633821,0,0.42979490757,0.429201722145,0.000593185424805
0.475998878479,0,0.458226531744,0.457465946674,0.000760585069656
0.507732152939,0,0.486196756363,0.485324174166,0.000872582197189
0.539465427399,0,0.513677418232,0.512747645378,0.000929772853851
0.571198701859,0,0.540640830994,0.539704024792,0.000936806201935
0.602931916714,0,0.567059874535,0.566161215305,0.000898659229279
0.634665191174,0,0.592907965183,0.592084109783,0.000823855400085
0.666398465633,0,0.618158996105,0.617437958717,0.000721037387848
0.698131680489,0,0.642787575722,0.642188251019,0.000599324703217
0.729864954948,0,0.666768968105,0.6663017869,0.00046718120575
0.761598229408,0,0.690079033375,0.689745903015,0.00033313035965
0.793331503868,0,0.712694168091,0.712489485741,0.000204682350159
0.825064778328,0,0.734591722488,0.734504401684,8.73208045959e-05
0.856797993183,0,0.755749583244,0.755763828754,1.42455101013e-05
0.888531267643,0,0.7761464715,0.776242852211,9.63807106018e-05
0.920264542103,0,0.795761823654,0.795919716358,0.00015789270401
0.951997756958,0,0.814575910568,0.814774155617,0.000198245048523
0.983731031418,0,0.83256983757,0.83278799057,0.000218152999878
