x,uT_target,uT_pred,abs_error
0,0,3.11295507049e-09,3.11295507049e-09
0.015625,0.0010280838469,0.00101392750585,1.41563410517e-05
0.03125,0.00205616676249,0.00202816799509,2.79987673976e-05
0.046875,0.00308424327523,0.00304303182943,4.12114457978e-05
0.0625,0.00411230092868,0.00405880857669,5.34923519954e-05
0.078125,0.00514031527564,0.00507576130815,6.45539674872e-05
0.09375,0.00616824254394,0.00609411780915,7.41247347902e-05
0.109375,0.0071960221976,0.00711406181839,8.19603792156e-05
0.125,0.00822356436402,0.00813572429376,8.78400702594e-05
0.140625,0.00925074983388,0.00915917469591,9.15751379731e-05
0.15625,0.0102774258703,0.0101844122742,9.30135960773e-05
0.171875,0.0113033931702,0.0112113573316,9.20358386228e-05
0.1875,0.0123284067959,0.0122398424364,8.85643594867e-05
0.203125,0.0133521668613,0.0132696035402,8.25633211132e-05
0.21875,0.0143743092194,0.0143002709524,7.40382669774e-05
0.234375,0.0153943998739,0.0153313601118,6.30397621189e-05
0.25,0.0164119228721,0.016362262087,4.96607851138e-05
0.265625,0.0174262803048,0.0173922337307,3.40465741363e-05
0.28125,0.018436761573,0.0184203874031,1.63741698457e-05
0.296875,0.019442550838,0.0194456801754,3.12933740757e-06
0.3125,0.0204427111894,0.0204669024189,2.41912294769e-05
0.328125,0.0214361511171,0.0214826656848,4.65145677386e-05
0.34375,0.0224216338247,0.02249138978,6.97559553348e-05
0.359375,0.0233977492899,0.0234912889485,9.35396586774e-05
0.375,0.0243628956378,0.0244803570805,0.000117461442762
0.390625,0.0253152567893,0.0254563518851,0.000141095095753
0.40625,0.0262527801096,0.0264167779881,0.00016399787845
0.421875,0.0271731633693,0.027358868949,0.000185705579721
0.4375,0.0280738156289,0.0282795682363,0.000205752607427
0.453125,0.0289518404752,0.0291755092595,0.000223668784251
0.46875,0.0298039987683,0.0300429946315,0.000238995863121
0.484375,0.0306266956031,0.0308779749311,0.000251279327989
0.5,0.0314159281552,0.0316760273528,0.000260099197639
0.515625,0.0321672745049,0.0324323347763,0.000265060271439
0.53125,0.0328758507967,0.0331416659641,0.000265815167397
0.546875,0.0335362963378,0.0337983578,0.000262061462127
0.5625,0.0341427400708,0.0343963007251,0.000253560654258
0.578125,0.0346887744963,0.0349289288016,0.000240154305236
0.59375,0.0351674556732,0.0353892161427,0.000221760469443
0.609375,0.0355712845922,0.0357696817808,0.000198397188662
0.625,0.0358922109008,0.0360624053926,0.000170194491823
0.640625,0.0361216627061,0.0362590566441,0.000137393937939
0.65625,0.0362505801022,0.0363509412334,0.000100361131187
0.671875,0.0362694524229,0.0363290669556,5.96145327695e-05
0.6875,0.0361684449017,0.0361842332471,1.57883453459e-05
0.703125,0.0359374731779,0.0359071476248,3.03255531495e-05
0.71875,0.0355663746595,0.0354885721506,7.78025089339e-05
0.734375,0.0350450873375,0.034919502438,0.000125584899536
0.75,0.0343638807535,0.0341913807061,0.000172500047466
0.765625,0.0335136279464,0.033296342898,0.000217285048412
0.78125,0.0324861034751,0.0322274978664,0.000258605608661
0.796875,0.0312743335962,0.0309792340885,0.000295099507723
0.8125,0.0298729985952,0.0295475463496,0.00032545224566
0.828125,0.0282787699252,0.0279303714751,0.000348398450104
0.84375,0.0264907330275,0.0261279187184,0.000362814309076
0.859375,0.024510782212,0.0241429771706,0.000367805041385
0.875,0.0223438758403,0.0219811799766,0.000362695863698
0.890625,0.0199983883649,0.0196512036936,0.000347184671348
0.90625,0.0174861792475,0.0171648813116,0.000321297935937
0.921875,0.0148226730525,0.0145372096473,0.000285463405226
0.9375,0.0120267961174,0.0117862362503,0.000240559867122
0.953125,0.00912062171847,0.00893281756362,0.000187804154843
0.96875,0.00612908229232,0.00600024848481,0.000128833807509
0.984375,0.00307929213159,0.00301377295982,6.55191717641e-05
1,-5.49293543983e-09,-5.16467053485e-09,3.28264904978e-10
1.015625,-0.00307930330746,-0.00301378323866,6.55200688009e-05
1.03125,-0.00612909346819,-0.00600025861349,0.000128834854703
1.046875,-0.00912063196301,-0.00893282744651,0.000187804516506
1.0625,-0.0120268054307,-0.0117862457982,0.000240559632439
1.078125,-0.0148226832971,-0.0145372187796,0.000285464517479
1.09375,-0.0174861866981,-0.0171648899578,0.00032129674027
1.109375,-0.0199983958155,-0.0196512117947,0.000347184020784
1.125,-0.0223438832909,-0.0219811874856,0.000362695805257
1.140625,-0.0245107915252,-0.0241429840527,0.000367807472524
1.15625,-0.0264907423407,-0.0261279249507,0.000362817390028
1.171875,-0.0282787755132,-0.027930377046,0.000348398467175
1.1875,-0.0298730023205,-0.0295475512578,0.000325451062758
1.203125,-0.0312743373215,-0.0309792383419,0.000295098979583
1.21875,-0.0324861072004,-0.0322275014809,0.000258605719477
1.234375,-0.0335136279464,-0.0332963458958,0.000217282050536
1.25,-0.0343638807535,-0.0341913831149,0.0001724976386
1.265625,-0.0350450873375,-0.0349195042894,0.000125583048129
1.28125,-0.0355663746595,-0.0354885734789,7.78011806406e-05
1.296875,-0.0359374731779,-0.035907148466,3.03247118829e-05
1.3125,-0.036168448627,-0.0361842336382,1.57850112078e-05
1.328125,-0.0362694524229,-0.0363290669336,5.96145107627e-05
1.34375,-0.0362505763769,-0.0363509408346,0.000100364457659
1.359375,-0.0361216627061,-0.0362590559037,0.000137393197524
1.375,-0.0358922109008,-0.0360624043443,0.00017019344348
1.390625,-0.0355712845922,-0.0357696804564,0.000198395864202
1.40625,-0.0351674519479,-0.0353892145718,0.000221762623882
1.421875,-0.034688770771,-0.0349289270118,0.000240156240772
1.4375,-0.0341427400708,-0.0343962987416,0.00025355867076
1.453125,-0.0335362963378,-0.0337983556455,0.000262059307675
1.46875,-0.0328758470714,-0.0331416636591,0.000265816587697
1.484375,-0.0321672670543,-0.0324323323389,0.000265065284563
1.5,-0.0314159281552,-0.0316760247987,0.000260096643495
1.515625,-0.0306266956031,-0.0308779722738,0.000251276670712
1.53125,-0.029803995043,-0.0300429918825,0.000238996839418
1.546875,-0.0289518404752,-0.0291755064281,0.00022366595291
1.5625,-0.0280738137662,-0.02827956533,0.0002057515638
1.578125,-0.0271731559187,-0.0273588659734,0.000185710054669
1.59375,-0.0262527707964,-0.0264167749469,0.000164004150506
1.609375,-0.025315253064,-0.0254563487806,0.000141095716522
1.625,-0.0243628919125,-0.0244803539133,0.000117462000831
1.640625,-0.0233977418393,-0.0234912857178,9.35438785585e-05
1.65625,-0.0224216338247,-0.0224913864838,6.97526590562e-05
1.671875,-0.0214361455292,-0.0214826623196,4.65167904966e-05
1.6875,-0.0204427056015,-0.0204668989804,2.41933789023e-05
1.703125,-0.0194425527006,-0.0194456766581,3.12395747701e-06
1.71875,-0.018436761573,-0.0184203838007,1.63777722536e-05
1.734375,-0.0174262765795,-0.017392230036,3.40465435226e-05
1.75,-0.0164119154215,-0.0163622582922,4.96571293184e-05
1.765625,-0.0153943998739,-0.0153313562085,6.30436654398e-05
1.78125,-0.0143743054941,-0.0143002669317,7.40385624515e-05
1.796875,-0.013352160342,-0.0132695993927,8.25609493445e-05
1.8125,-0.0123284086585,-0.0122398381526,8.85705058934e-05
1.828125,-0.0113033913076,-0.0112113529019,9.20384057172e-05
1.84375,-0.010277422145,-0.0101844076887,9.30144562606e-05
1.859375,-0.00925074424595,-0.009159169945,9.15743009449e-05
1.875,-0.00822356343269,-0.00813571936788,8.78440648145e-05
1.890625,-0.00719601893798,-0.00711405670827,8.19622297028e-05
1.90625,-0.00616823602468,-0.00609411250589,7.41235187837e-05
1.921875,-0.0051403157413,-0.00507575580334,6.45599379594e-05
1.9375,-0.00411229906604,-0.00405880286246,5.34962035736e-05
1.953125,-0.00308423861861,-0.0030430258986,4.12127200079e-05
1.96875,-0.00205615861341,-0.00202816184124,2.79967721776e-05
1.984375,-0.001028083032,-0.00101392112339,1.41619086121e-05
2,3.66195695989e-09,3.50278661925e-09,1.59170340634e-10
2.015625,0.00102809036616,0.00101392813077,1.41622353903e-05
2.03125,0.00205616606399,0.00202816885403,2.79972099644e-05
2.046875,0.00308424583636,0.00304303292029,4.12129160682e-05
2.0625,0.00411230651662,0.00405880989636,5.34966202526e-05
2.078125,0.00514032319188,0.00507576285253,6.45603393522e-05
2.09375,0.0061682430096,0.00609411957313,7.41234364652e-05
2.109375,0.00719602592289,0.00711406379595,8.1962126949e-05
2.125,0.00822357088327,0.00813572647793,8.78444053479e-05
2.140625,0.00925074983388,0.00915917707885,9.15727550346e-05
2.15625,0.0102774286643,0.0101844148472,9.30138170314e-05
2.171875,0.0113033987582,0.0112113600852,9.20386729759e-05
2.1875,0.0123284161091,0.0122398453602,8.85707488418e-05
2.203125,0.0133521687239,0.0132696066233,8.2562100616e-05
2.21875,0.0143743129447,0.0143002741831,7.40387615682e-05
2.234375,0.0153944073245,0.0153313634777,6.30438468196e-05
2.25,0.0164119228721,0.016362265575,4.96572970585e-05
2.265625,0.0174262821674,0.0173922373273,3.40448401535e-05
2.28125,0.0184367671609,0.0184203910941,1.63760667547e-05
2.296875,0.0194425620139,0.0194456839461,3.12193223796e-06
2.3125,0.0204427111894,0.020466906254,2.4195064596e-05
2.328125,0.0214361529797,0.0214826695686,4.65165888499e-05
2.34375,0.0224216394126,0.0224913936961,6.97542834923e-05
2.359375,0.0233977492899,0.0234912928802,9.35435902813e-05
2.375,0.024362899363,0.0244803610103,0.000117461647224
2.390625,0.0253152623773,0.0254563557951,0.000141093417798
2.40625,0.0262527801096,0.0264167818598,0.000164001750153
2.421875,0.0271731633693,0.0273588727633,0.000185709394017
2.4375,0.0280738193542,0.0282795719734,0.000205752619226
2.453125,0.0289518460631,0.0291755128988,0.000223666835677
2.46875,0.0298040024936,0.0300429981518,0.000238995658159
2.484375,0.0306266993284,0.0308779783103,0.000251278981839
2.5,0.0314159356058,0.0316760305677,0.000260094961936
2.515625,0.0321672745049,0.0324323378029,0.000265063297985
2.53125,0.0328758507967,0.0331416687772,0.00026581798048
2.546875,0.0335362926126,0.0337983603733,0.000262067760772
2.5625,0.0341427400708,0.0343963030313,0.000253562960432
2.578125,0.0346887744963,0.0349289308119,0.000240156315542
2.59375,0.0351674593985,0.0353892178272,0.000221758428653
2.609375,0.0355712883174,0.0357696831083,0.000198394790886
2.625,0.0358922109008,0.0360624063308,0.000170195429978
2.640625,0.0361216664314,0.0362590571594,0.000137390727982
2.65625,0.0362505763769,0.0363509412915,0.000100364914598
2.671875,0.0362694524229,0.0363290665215,5.96140986035e-05
2.6875,0.0361684449017,0.0361842322852,1.57873834623e-05
2.703125,0.0359374731779,0.0359071460998,3.03270781023e-05
2.71875,0.0355663709342,0.0354885700279,7.78009063911e-05
2.734375,0.0350450798869,0.034919499684,0.000125580202924
2.75,0.0343638733029,0.0341913772895,0.000172496013398
2.765625,0.033513635397,0.0332963387906,0.000217296606344
2.78125,0.0324861034751,0.032227493044,0.000258610431062
2.796875,0.0312743335962,0.0309792285321,0.000295105064157
2.8125,0.0298729911447,0.0295475400466,0.000325451098075
2.828125,0.0282787550241,0.0279303644207,0.000348390603339
2.84375,0.0264907199889,0.0261279109167,0.000362809072285
2.859375,0.0245107542723,0.0241429686357,0.000367785636669
2.875,0.0223438907415,0.0219811707335,0.00036272000801
