x,u0_true,u0_opt,abs_error
0,0,-3.13329952878e-09,3.13329952878e-09
0.015625,0.00138887495268,-0.000390762937455,0.00177963789014
0.03125,0.00277892430313,-0.000744414717501,0.00352333902063
0.046875,0.00417132489383,-0.00102439176473,0.00519571665857
0.0625,0.00556725868955,-0.00119520897336,0.00676246766292
0.078125,0.00696791661903,-0.00122300134109,0.00819091796012
0.09375,0.00837449822575,-0.00107605837041,0.00945055659616
0.109375,0.00978821888566,-0.000725350834936,0.0105135697206
0.125,0.0112103065476,-0.000145044647211,0.0113553511948
0.140625,0.0126420063898,0.000687005418426,0.0119550009714
0.15625,0.0140845924616,0.00178879150086,0.0122958009607
0.171875,0.0155393490568,0.00317372934051,0.0123656197163
0.1875,0.0170075967908,0.00485028911512,0.0121573076757
0.203125,0.0184906758368,0.00682169500767,0.0116689808291
0.21875,0.0199899598956,0.00908570873915,0.0109042511565
0.234375,0.0215068459511,0.0116345120213,0.00987233392974
0.25,0.0230427701026,0.0144547014981,0.00858806860456
0.265625,0.024599198252,0.0175274071345,0.00707179111744
0.28125,0.0261776205152,0.0208285411685,0.00534907934676
0.296875,0.027779571712,0.0243291797652,0.00345039194677
0.3125,0.0294066052884,0.0279960736664,0.00141053162195
0.328125,0.0310602970421,0.0317922777624,0.000731980720272
0.34375,0.0327422507107,0.0356778831338,0.00293563242305
0.359375,0.0344540849328,0.0396108292321,0.00515674429925
0.375,0.0361974239349,0.0435477690443,0.0073503451094
0.390625,0.0379738733172,0.0474449567821,0.00947108346489
0.40625,0.0397850237787,0.0512591261913,0.0114741024127
0.421875,0.0416324138641,0.0549483281638,0.0133159142997
0.4375,0.0435175187886,0.0584726989036,0.014955180115
0.453125,0.0454416833818,0.0617951342288,0.016353450847
0.46875,0.0474061220884,0.0648818512693,0.0174757291809
0.484375,0.049411829561,0.0677028253423,0.0182909957813
0.5,0.0514595098794,0.0702320965867,0.0187725867074
0.515625,0.0535494945943,0.0724479474749,0.0188984528805
0.53125,0.0556816384196,0.074332958136,0.0186513197164
0.546875,0.0578551515937,0.0758739511749,0.0180187995813
0.5625,0.0600684434175,0.0770618411491,0.0169933977316
0.578125,0.0623188875616,0.0778914060146,0.015572518453
0.59375,0.064602561295,0.0783609987276,0.0137584374326
0.609375,0.0669138655066,0.0784722169454,0.0115583514387
0.625,0.0692451298237,0.0782295476224,0.00898441779869
0.640625,0.0715860724449,0.0776400014986,0.0060539290537
0.65625,0.073923163116,0.0767127502534,0.00278958713738
0.671875,0.0762387812138,0.0754587766885,0.000780004525214
0.6875,0.078510299325,0.0738905458841,0.00461975344087
0.703125,0.0807089209557,0.0720217029805,0.00868721797511
0.71875,0.0827982500196,0.0698668011893,0.0129314488303
0.734375,0.084732785821,0.0674410618675,0.0172917239534
0.75,0.0864560380578,0.0647601670459,0.021695871012
0.765625,0.0878986418247,0.0618400836612,0.0260585581635
0.78125,0.0889763087034,0.0586969179088,0.0302793907947
0.796875,0.0895881205797,0.0553467975442,0.0342413230355
0.8125,0.0896152406931,0.051805779612,0.0378094610811
0.828125,0.0889207869768,0.048089780899,0.0408310060778
0.84375,0.0873516201973,0.0442145283796,0.0431370918177
0.859375,0.0847429260612,0.0401955269931,0.0445473990681
0.875,0.0809268727899,0.0360480422406,0.0448788305492
0.890625,0.0757461488247,0.031787095288,0.0439590535367
0.90625,0.0690730363131,0.0274274684812,0.0416455678319
0.921875,0.060832798481,0.0229837194158,0.0378490790652
0.9375,0.0510297194123,0.0184702019287,0.0325595174837
0.953125,0.0397694632411,0.0139010925922,0.0258683706489
0.96875,0.0272731892765,0.00929042148705,0.0179827677894
0.984375,0.0138748548925,0.00465210619163,0.00922274870086
1,-2.48553533311e-08,-1.19365418987e-08,1.29188114324e-08
1.015625,-0.0138749051839,-0.00465213000915,0.00922277517477
1.03125,-0.0272732377052,-0.00929044513785,0.0179827925674
1.046875,-0.0397695116699,-0.0139011159651,0.0258683957048
1.0625,-0.0510297529399,-0.0184702249124,0.0325595280276
1.078125,-0.0608328394592,-0.022983741899,0.0378490975602
1.09375,-0.0690730512142,-0.0274274903525,0.0416455608617
1.109375,-0.0757461637259,-0.0317871164362,0.0439590472896
1.125,-0.0809268727899,-0.0360480625547,0.0448788102352
1.140625,-0.0847429409623,-0.0401955463623,0.0445473946
1.15625,-0.0873516052961,-0.0442145466943,0.0431370586019
1.171875,-0.0889207869768,-0.0480897980504,0.0408309889264
1.1875,-0.0896152481437,-0.0518057954931,0.0378094526506
1.203125,-0.0895881354809,-0.0553468120503,0.0342413234305
1.21875,-0.088976316154,-0.0586969309383,0.0302793852157
1.234375,-0.0878986343741,-0.0618400951167,0.0260585392574
1.25,-0.0864560306072,-0.0647601768349,0.0216958537724
1.265625,-0.0847327783704,-0.0674410699042,0.0172917084662
1.28125,-0.0827982500196,-0.0698668073955,0.0129314426241
1.296875,-0.0807088986039,-0.0720217072879,0.00868719131602
1.3125,-0.0785102769732,-0.0738905482355,0.00461972873774
1.328125,-0.0762387737632,-0.0754587770402,0.000779996722951
1.34375,-0.0739231482148,-0.076712748577,0.00278960036219
1.359375,-0.0715860649943,-0.0776399977835,0.00605393278918
1.375,-0.0692451149225,-0.0782295418776,0.00898442695507
1.390625,-0.0669138655066,-0.0784722092019,0.0115583436953
1.40625,-0.0646025463939,-0.0783609890405,0.0137584426467
1.421875,-0.0623188726604,-0.0778913944645,0.0155725218041
1.4375,-0.0600684396923,-0.0770618278441,0.0169933881518
1.453125,-0.0578551441431,-0.075873936251,0.0180187921079
1.46875,-0.0556816235185,-0.0743329417577,0.0186513182392
1.484375,-0.0535494759679,-0.072447929835,0.0188984538671
1.5,-0.0514595061541,-0.070232077905,0.018772571751
1.515625,-0.0494118183851,-0.0677028058635,0.0182909874784
1.53125,-0.0474061146379,-0.0648818312601,0.0174757166223
1.546875,-0.0454416833818,-0.0617951139739,0.0163534305921
1.5625,-0.0435175076127,-0.0584726787007,0.014955171088
1.578125,-0.0416324026883,-0.0549483083179,0.0133159056296
1.59375,-0.0397850088775,-0.0512591070084,0.0114740981309
1.609375,-0.0379738733172,-0.0474449385622,0.00947106524495
1.625,-0.0361974127591,-0.0435477520743,0.00735033931527
1.640625,-0.0344540774822,-0.0396108137787,0.00515673629648
1.65625,-0.0327422507107,-0.0356778694367,0.00293561872598
1.671875,-0.0310602895916,-0.0317922660279,0.000731976436355
1.6875,-0.0294065922499,-0.027996064062,0.00141052818788
1.703125,-0.0277795735747,-0.024329172415,0.00345040115963
1.71875,-0.0261776205152,-0.02082853615,0.00534908436519
