iter,J,grad_norm,step
1,0.000130588771389,0.0145629329321,1
2,5.74439346962e-05,0.00942669733597,1
3,2.66830813368e-05,0.006100978041,1
4,1.34490091187e-05,0.00399162634239,1
5,7.60534817125e-06,0.0026455541773,1
6,4.95274044914e-06,0.00177718706371,1
7,3.7072088916e-06,0.00121290572188,1
8,3.0930022948e-06,0.000846419682052,1
9,2.7663440299e-06,0.000611269060084,1
10,2.57263189788e-06,0.000464405224189,1
11,2.4415415646e-06,0.000376287178842,1
12,2.34079014678e-06,0.000325520744369,1
13,2.25543849657e-06,0.000296820693682,1
14,2.1785161389e-06,0.000280208732432,1
15,2.1067364599e-06,0.000269858751616,1
16,2.03852467493e-06,0.000262655569065,1
17,1.97310520898e-06,0.00025702186283,1
18,1.91007745543e-06,0.000252181766642,1
19,1.84921781796e-06,0.000247758710107,1
20,1.79038703398e-06,0.000243570744097,1
21,1.73348665337e-06,0.000239529857112,1
22,1.67843853636e-06,0.000235593210429,1
23,1.62517515966e-06,0.000231739671374,1
24,1.57363500926e-06,0.000227958544214,1
25,1.52376037234e-06,0.000224244158968,1
26,1.47549626301e-06,0.000220593271047,1
27,1.42878988487e-06,0.000217003810353,1
28,1.38359034858e-06,0.000213474278961,1
29,1.3398485108e-06,0.000210003460916,1
30,1.29751687145e-06,0.000206590282387,1
31,1.25654949922e-06,0.000203233744325,1
32,1.21690197114e-06,0.000199932890075,1
33,1.17853131958e-06,0.000196686789857,1
34,1.14139598336e-06,0.00019349453335,1
35,1.10545576149e-06,0.000190355226172,1
36,1.07067176891e-06,0.000187267988216,1
37,1.03700639371e-06,0.000184231952863,1
38,1.00442325585e-06,0.0001812462666,1
39,9.72887167077e-07,0.000178310088816,1
40,9.423640922e-07,0.000175422591687,1
41,9.12821111476e-07,0.000172582960072,1
42,8.84226384234e-07,0.000169790391432,1
43,8.56549113598e-07,0.000167044095735,1
44,8.29759512343e-07,0.000164343295356,1
45,8.03828769817e-07,0.000161687224977,1
46,7.78729019922e-07,0.000159075131475,1
47,7.54433310108e-07,0.000156506273799,1
48,7.30915571368e-07,0.000153979922854,1
49,7.08150589185e-07,0.00015149536137,1
50,6.8611397543e-07,0.000149051883769,1
51,6.64782141151e-07,0.000146648796035,1
52,6.44132270256e-07,0.00014428541557,1
53,6.24142294043e-07,0.000141961071059,1
54,6.04790866564e-07,0.000139675102325,1
55,5.86057340785e-07,0.000137426860186,1
56,5.67921745534e-07,0.00013521570631,1
57,5.50364763197e-07,0.000133041013067,1
58,5.33367708146e-07,0.000130902163382,1
59,5.16912505874e-07,0.000128798550589,1
60,5.00981672823e-07,0.000126729578281,1
61,4.85558296869e-07,0.000124694660164,1
62,4.70626018449e-07,0.000122693219904,1
63,4.5616901232e-07,0.000120724690983,1
64,4.42171969911e-07,0.000118788516552,1
65,4.28620082263e-07,0.00011688414928,1
66,4.15499023533e-07,0.000115011051211,1
67,4.02794935045e-07,0.000113168693613,1
68,3.9049440987e-07,0.000111356556841,1
