alpha,residual,regularization
1e-06,0.00332163350096,7.73157230035
2.73841963426e-06,0.0032892858563,6.60821205531
7.49894209332e-06,0.00389688254873,5.24768894737
2.05352502646e-05,0.00397009607834,3.83719189678
5.6234132519e-05,0.00362326359678,2.39952389843
0.000153992652606,0.00312080537157,1.2526766158
0.000421696503429,0.00217496885371,0.617029664827
0.00115478198469,0.00216280555031,0.357421558151
0.00316227766017,0.00226953835234,0.220723489649
0.0086596432336,0.00249870899161,0.116771846581
0.0237137370566,0.00267661783903,0.0515672258447
0.0649381631576,0.00281232310994,0.02040669498
0.177827941004,0.00284623442672,0.00765965381031
0.486967525166,0.00285331198461,0.00283033183753
1.33352143216,0.00286895918426,0.00104003415945
3.65174127255,0.00289974206413,0.000405563467311
10,0.00290358737315,0.000169099138567
