x,u0_true,u0_pred,abs_error
0,0,-0.0123418336734,0.0123418336734
0.0250000003725,0.00222268840298,-0.0119969611987,0.0142196491361
0.0500000007451,0.00445019174367,-0.0116473799571,0.0160975717008
0.0750000029802,0.00668735057116,-0.0112923150882,0.0179796665907
0.10000000149,0.00893906038254,-0.0109315281734,0.0198705885559
0.125,0.0112103065476,-0.0105641847476,0.0217744912952
0.15000000596,0.0135061703622,-0.0101900463924,0.0236962176859
0.17499999702,0.0158318765461,-0.00980827864259,0.0256401561201
0.20000000298,0.0181928090751,-0.00941852387041,0.0276113338768
0.225000008941,0.0205945242196,-0.00901988800615,0.0296144112945
0.25,0.0230427701026,-0.00861159618944,0.0316543653607
0.27500000596,0.0255435165018,-0.00819317158312,0.0337366871536
0.300000011921,0.0281029231846,-0.0077636600472,0.0358665846288
0.325000017881,0.0307273473591,-0.00732240686193,0.0380497537553
0.34999999404,0.0334233120084,-0.00686839828268,0.040291711688
0.375,0.0361974239349,-0.00640074023977,0.0425981655717
0.40000000596,0.0390563011169,-0.00591871747747,0.0449750199914
0.425000011921,0.0420063734055,-0.00542089948431,0.0474272742867
0.450000017881,0.0450536683202,-0.00490710744634,0.0499607771635
0.47499999404,0.0482034087181,-0.00437549361959,0.0525789037347
0.5,0.0514595098794,-0.00382570037618,0.0552852116525
0.525000035763,0.0548237636685,-0.0032562376,0.0580800026655
0.550000011921,0.0582946948707,-0.00266662845388,0.0609613247216
0.574999988079,0.0618659928441,-0.00205556163564,0.0639215558767
0.600000023842,0.0655241459608,-0.00142184505239,0.0669459924102
0.625,0.0692451298237,-0.000765001925174,0.0700101330876
0.650000035763,0.0729898139834,-8.41380679049e-05,0.0730739533901
0.675000011921,0.0766974389553,0.00062175974017,0.0760756805539
0.699999988079,0.0802766382694,0.00135292997584,0.0789237096906
0.725000023842,0.0835935473442,0.002110326197,0.0814832225442
0.75,0.0864560380578,0.00289406767115,0.0835619717836
0.775000035763,0.0885950997472,0.00370427360758,0.0848908275366
0.800000011921,0.0896444395185,0.00454106321558,0.0851033776999
0.824999988079,0.0891245380044,0.00540384044871,0.0837206989527
0.850000023842,0.0864423215389,0.00629194965586,0.08015037328
0.875,0.0809268727899,0.00720455637202,0.0737223178148
0.900000035763,0.0719275996089,0.00814017001539,0.0637874305248
0.925000011921,0.0589953847229,0.00909676495939,0.0498986206949
0.949999988079,0.0421292036772,0.0100721949711,0.0320570096374
0.975000023842,0.0219999756664,0.0110631221905,0.0109368534759
1,-2.48553533311e-08,0.0120666855946,0.0120667107403
1.02499997616,-0.0220000240952,0.0130783552304,0.0350783802569
1.05000007153,-0.0421292968094,0.0140934223309,0.056222718209
1.07500004768,-0.0589954666793,0.0151062840596,0.0741017535329
1.10000002384,-0.0719276741147,0.0161111000925,0.0880387723446
1.125,-0.0809268727899,0.017100835219,0.0980277061462
1.14999997616,-0.0864423513412,0.0180681589991,0.104510508478
1.17500007153,-0.0891245529056,0.0190053228289,0.108129873872
1.20000004768,-0.089644446969,0.0199032071978,0.109547652304
1.22500002384,-0.0885950997472,0.0207537058741,0.109348803759
1.25,-0.0864560306072,0.0215474013239,0.108003430068
1.27499997616,-0.0835935249925,0.0222754720598,0.10586899519
1.30000007153,-0.0802766233683,0.0229289177805,0.103205539286
1.32500004768,-0.0766974166036,0.0234996024519,0.100197017193
1.35000002384,-0.0729897990823,0.0239800456911,0.0969698429108
1.375,-0.0692451149225,0.0243637505919,0.0936088636518
1.39999997616,-0.0655241459608,0.0246453527361,0.0901694968343
1.42500007153,-0.0618659779429,0.0248214546591,0.0866874307394
1.45000004768,-0.058294672519,0.0248902384192,0.0831849128008
1.47500002384,-0.0548237524927,0.0248518828303,0.0796756371856
1.5,-0.0514595061541,0.0247086528689,0.0761681571603
1.52499997616,-0.0482034012675,0.0244642142206,0.0726676136255
1.55000007153,-0.0450536422431,0.0241247359663,0.0691783800721
1.57500004768,-0.0420063659549,0.023697162047,0.0657035261393
1.60000002384,-0.0390562936664,0.02318992652,0.0622462183237
1.625,-0.0361974127591,0.0226114932448,0.0588089078665
1.64999997616,-0.0334233008325,0.0219706837088,0.0553939864039
1.67500007153,-0.0307273380458,0.0212756637484,0.0520030036569
1.70000004768,-0.0281029101461,0.0205335412174,0.0486364513636
1.72500002384,-0.0255435053259,0.019750231877,0.0452937372029
1.75,-0.0230427607894,0.018930086866,0.0419728457928
