epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj,loss_reg_h1
1,0.165652227002,0.100085417554,0.0204677269794,0.0441389256157,0.0598251208663,0.11444461355
2,0.0589140577698,0.0241103295237,0.0135369637981,0.0206771730911,0.0478832807392,0.0350249286741
3,0.0294163008706,0.011662046588,0.0064191799378,0.0106781961396,0.0595386959612,0.0194452391937
4,0.021913164885,0.00557839190587,0.00388810771983,0.011828982411,0.0553663320839,0.02024475215
5,0.016717966859,0.00446133641526,0.00379448898602,0.00780902747065,0.0570161856711,0.0262317668647
6,0.0142010376107,0.00392691800371,0.00336916747037,0.00615804619156,0.0619093216956,0.0404179334641
7,0.012526370893,0.00330717898905,0.00331526936498,0.00510516068898,0.0623895797879,0.0552975010127
8,0.0113139971705,0.00287552035879,0.00290248089004,0.0046580999624,0.0638267278671,0.0757772423327
9,0.0103220985914,0.0024936489528,0.00273603235837,0.00413114123512,0.064264459163,0.100760112703
10,0.00956735717523,0.00232660654001,0.00253109668847,0.00366171349306,0.0644597187638,0.127548339963
11,0.00898288939957,0.00226688608527,0.00235689107794,0.00323443759698,0.0643873013556,0.15204282403
12,0.00850305685795,0.002259465307,0.00218340607826,0.0028744250536,0.0640341416001,0.172476632893
13,0.00808133956461,0.00217962771421,0.00201450483873,0.00265492168255,0.0636607199907,0.188369964063
14,0.00772802883139,0.00205678129569,0.00191953823669,0.00248486348428,0.0631841182709,0.200806096196
15,0.00739657919843,0.00196212601149,0.00180584689369,0.0023405310465,0.0627800252289,0.208797286451
16,0.00710731552586,0.00187121737981,0.00170496619539,0.00222813650034,0.0623300801963,0.21493832022
17,0.00682869970982,0.00175033560954,0.0016375617357,0.00212327875197,0.0620329204947,0.220472230017
18,0.00658460915853,0.00166336284019,0.00155498015229,0.00203606218565,0.0616549532861,0.225677351654
19,0.00635515911806,0.00157021973282,0.00148131544702,0.0019605576992,0.0613458186388,0.23072232455
20,0.00615070020451,0.00150087686488,0.00142574716592,0.00187260066159,0.061104651913,0.234144206345
21,0.00596469577196,0.00145983517868,0.00137473897776,0.00177272654837,0.0609433647245,0.236526168883
22,0.00578608309304,0.00139050751459,0.00129079258768,0.00174034504453,0.0607464659959,0.239375971258
23,0.00560448745811,0.00132788360352,0.00125149905216,0.00165841853013,0.0605978626758,0.240556879342
24,0.00542710944881,0.00126206112327,0.00120709176408,0.0015908586327,0.0603151831776,0.241580967605
25,0.0052764015362,0.00122169991955,0.00113943330944,0.00154715864919,0.0601583115757,0.242396976054
26,0.0051271091326,0.00117944226367,0.00110463820165,0.00147651432781,0.0599479265511,0.242557787895
27,0.0049878823953,0.00113845161395,0.0010653026402,0.00142080667429,0.0597745593637,0.242096348107
28,0.00489626111863,0.00114536136389,0.00101931029931,0.00137389190495,0.0595584064722,0.241001445055
29,0.00473562500218,0.00107790799811,0.000985603814479,0.00132367534097,0.059330734238,0.238793233037
30,0.00459327754125,0.00102532760357,0.00093638477847,0.00129039738094,0.0591137055308,0.237180539966
31,0.00448121280899,0.00101558087626,0.000901044311468,0.00123260153923,0.0589102990925,0.23492026031
32,0.00436108559645,0.000982857489726,0.000859334156848,0.00119577192236,0.0585349105299,0.233304283023
33,0.00426040129305,0.00097334847087,0.000843454618007,0.00113607957028,0.058302590996,0.229104715586
34,0.00415399516371,0.000937698560301,0.000801138719544,0.00111449562246,0.0580474402755,0.227743397653
35,0.00403805988738,0.000920706760371,0.000764413893921,0.0010712608113,0.0576254799962,0.223074536026
36,0.00392758981733,0.000896791735431,0.000747465435416,0.00101405015448,0.0573680959642,0.219968518615
37,0.00381917286285,0.000860916805686,0.000701044226298,0.00100295357406,0.056945502758,0.216553795338
38,0.0037062251118,0.000848003005376,0.000677663722308,0.000943861209089,0.0566433209926,0.211956076324
39,0.00359001652634,0.000802557863062,0.000651580281556,0.000914593361085,0.0561894338578,0.208517642319
40,0.00348520969482,0.000785457337042,0.000624990736833,0.000870312430197,0.0558102354407,0.204392816126
41,0.00337603836623,0.000762386561837,0.000597557087895,0.00083110788255,0.0553484100848,0.199698698521
42,0.0032809843965,0.000734343414661,0.000569455669029,0.000809019448934,0.0548556149006,0.195937795937
43,0.00315401409323,0.000708758388646,0.000535848655272,0.000761493400205,0.0544221434742,0.19090424031
44,0.00305908384746,0.000690646719886,0.000513240354485,0.000727632263443,0.0538773726672,0.186191993952
45,0.00295109506689,0.000644982029917,0.000496333974297,0.000698185170768,0.0533556420356,0.182791498303
46,0.00282374298661,0.000616020383313,0.000470241490984,0.000648781674681,0.0528075657785,0.177284805477
47,0.00268780814496,0.000574194884393,0.000436692815856,0.000611246755579,0.0521937280893,0.17194454968
48,0.00255626795362,0.000527969555696,0.000404713684111,0.000578325911192,0.0515610266477,0.167489573359
49,0.00243419531205,0.000487959347083,0.000382823930704,0.000538810505532,0.050885271281,0.163094095886
50,0.00231110915839,0.000443364481907,0.000354964198777,0.000508631984121,0.0502069599926,0.158771286905
51,0.00219261642598,0.000412280941964,0.000335094175534,0.000465188597445,0.0495297949761,0.153292915225
52,0.00207210524988,0.000367608654778,0.00031098437903,0.000435532120173,0.0487541336566,0.148765797913
53,0.00194939294788,0.000330971472431,0.000286941311788,0.000396415535943,0.048061285913,0.143710267544
54,0.00184572274706,0.000301783441682,0.000264816559502,0.000369469248108,0.0472295526415,0.13830473423
55,0.00173724516166,0.00026643484307,0.000243835832225,0.000343763365527,0.0464599482715,0.132376623154
56,0.00163576122584,0.00023799159826,0.000226726409164,0.000310785113834,0.0457400113344,0.12739488259
57,0.00155258618713,0.00022180819069,0.000206073079607,0.000290017103544,0.0450004730374,0.121647471935
58,0.00147330446575,0.000207747680543,0.000191879498016,0.00026621252473,0.0442751176655,0.115332562476
59,0.00140035465636,0.000197143055266,0.000174995628186,0.000247749770642,0.0435536850244,0.109076238424
60,0.00133900522036,0.000187397991249,0.000165360193932,0.000230312987696,0.0429185364395,0.103327006102
61,0.00127006600482,0.000176121252298,0.000151061564975,0.000212559482316,0.0422693472356,0.0972812213004
62,0.0012149195041,0.0001755355348,0.000137680325133,0.000196233307361,0.0416561085731,0.0913611270487
63,0.00116241680798,0.000162811059272,0.000130118018569,0.00018477828562,0.0410939011723,0.0865738123655
64,0.00110704000769,0.000159618345788,0.000118217238924,0.000167778339528,0.0405167385936,0.0810361154377
65,0.00106736243189,0.000159084176994,0.000110488841892,0.000157677612151,0.0399411223829,0.0761162057519
66,0.00102502084514,0.000152772999718,0.000104737995571,0.000146217203292,0.0394199956208,0.0718130141497
67,0.000973304396415,0.000142714387039,9.44018553128e-05,0.00013379111042,0.0388733420521,0.067566370219
68,0.000932142119502,0.000137082925357,8.67633832968e-05,0.000123748381156,0.038394195959,0.0634370196611
69,0.00089134076867,0.000129291121266,7.99107721832e-05,0.000114171934547,0.0378495942801,0.0599159903824
70,0.000858969943312,0.000122424298024,7.57234818593e-05,0.000107954913256,0.0373581837863,0.0566950254142
71,0.000818820711361,0.000115179485147,6.86630621203e-05,9.73403119133e-05,0.0368846230209,0.0533765975386
72,0.000788699749331,0.000110861116991,6.31552793493e-05,9.10753878998e-05,0.0364093996584,0.0504427459091
73,0.000762171663315,0.000107806552842,5.95964706008e-05,8.44285917992e-05,0.0359446227551,0.0477168157697
74,0.000731421080118,9.92127876088e-05,5.50039403606e-05,7.90611557022e-05,0.0354903105646,0.0452964939177
75,0.000708544047348,9.58870958129e-05,5.2554933427e-05,7.34890556487e-05,0.0350574854761,0.0430190268904
76,0.000684382793725,9.1246656666e-05,4.87332697958e-05,6.90061126079e-05,0.0346220768988,0.0408490333706
77,0.000663496622773,8.72763659572e-05,4.64213000669e-05,6.4467680204e-05,0.0342052444816,0.038984189555
