alpha,residual,regularization
1e-06,0.00838191692864,9.56044851999
2.73841963426e-06,0.00859699820757,7.29112324751
7.49894209332e-06,0.00903577220314,5.20045355873
2.05352502646e-05,0.00976780935208,4.13651232038
5.6234132519e-05,0.0106714760638,3.01995166058
0.000153992652606,0.0136610333627,2.07459705301
0.000421696503429,0.0208494120267,1.38981609178
0.00115478198469,0.0225147552723,1.05013688194
0.00316227766017,0.0257510390301,0.67502991248
0.0086596432336,0.0300392841198,0.412581680259
0.0237137370566,0.023876159369,0.28264242111
0.0649381631576,0.0273279314673,0.19809911009
0.177827941004,0.0330768698358,0.126982914291
0.486967525166,0.0412751985077,0.0703844768293
1.33352143216,0.0488396880049,0.0325682456702
3.65174127255,0.0531016703199,0.0132363944231
10,0.0549775002368,0.00504658850484
