x,uT_target,uT_pinn
0,0,-0.00394520210102
0.0317332595587,0.0634558647871,0.0616375692189
0.0634665191174,0.126847848296,0.126577734947
0.095199778676,0.19011208415,0.190900683403
0.126933038235,0.253184914589,0.254632502794
0.158666297793,0.31600278616,0.317794620991
0.190399557352,0.378502488136,0.380398601294
0.222132816911,0.440621078014,0.44244658947
0.253866076469,0.502295970917,0.503932774067
0.285599350929,0.563465178013,0.564842581749
0.317332595587,0.624066889286,0.625153839588
0.349065840244,0.684040248394,0.6848346591
0.380799114704,0.743324935436,0.74384701252
0.412532389164,0.801861107349,0.802144944668
0.444265633821,0.85958981514,0.859675943851
0.475998878479,0.916453063488,0.916385173798
0.507732152939,0.972393512726,0.972214221954
0.539465427399,1.02735483646,1.02710318565
0.571198701859,1.08128166199,1.08099269867
0.602931916714,1.13411974907,1.13382411003
0.634665191174,1.18581593037,1.18553864956
0.666398465633,1.23631799221,1.23607957363
0.698131680489,1.28557515144,1.28539001942
0.729864954948,1.33353793621,1.33341526985
0.761598229408,1.38015806675,1.38010215759
0.793331503868,1.42538833618,1.42539858818
0.825064778328,1.46918344498,1.46925532818
0.856797993183,1.51149916649,1.51162517071
0.888531267643,1.552292943,1.55246436596
0.920264542103,1.59152364731,1.59173023701
0.951997756958,1.62915182114,1.62938380241
0.983731031418,1.66513967514,1.66538846493
1.01546430588,1.69945085049,1.69970870018
1.04719758034,1.73205077648,1.73231232166
1.0789308548,1.76290678978,1.76316761971
1.11066412926,1.79198765755,1.79224538803
1.14239740372,1.8192640543,1.81951773167
1.17413055897,1.8447085619,1.8449575901
1.20586383343,1.86829566956,1.86853992939
1.23759710789,1.89000165462,1.89024055004
1.26933038235,1.90980446339,1.9100369215
1.30106365681,1.9276843071,1.92790842056
1.33279693127,1.94362318516,1.94383656979
1.36453020573,1.9576048851,1.95780456066
1.39626336098,1.96961545944,1.96979761124
1.42799663544,1.97964286804,1.97980475426
1.4597299099,1.9876768589,1.98781597614
1.49146318436,1.99370956421,1.99382412434
1.52319645882,1.99773466587,1.99782443047
1.55492973328,1.99974822998,1.99981367588
1.58666300774,1.99974822998,1.99979126453
1.6183962822,1.99773466587,1.99775850773
1.65012955666,1.99370956421,1.99371790886
1.68186283112,1.9876768589,1.98767435551
1.71359610558,1.97964286804,1.97963380814
1.74532938004,1.96961545944,1.96960437298
1.77706253529,1.9576048851,1.95759510994
1.80879580975,1.94362318516,1.94361758232
1.84052908421,1.9276843071,1.92768454552
1.87226235867,1.90980446339,1.90981054306
1.90399563313,1.89000153542,1.89001214504
1.93572890759,1.86829566956,1.86830699444
1.96746218204,1.8447085619,1.84471654892
1.9991953373,1.81926393509,1.81926333904
2.03092861176,1.79198753834,1.79197239876
2.06266188622,1.76290667057,1.76287066936
2.09439516068,1.73205077648,1.73198795319
2.12612843513,1.69945073128,1.69935572147
2.15786170959,1.66513955593,1.66500818729
2.18959498405,1.62915182114,1.62898182869
2.22132825851,1.5915235281,1.59131419659
2.25306153297,1.55229270458,1.55204463005
2.28479480743,1.51149892807,1.51121449471
2.31652784348,1.46918356419,1.46886634827
2.34826135635,1.42538809776,1.42504274845
2.3799943924,1.38015806675,1.37978947163
2.41172790527,1.33353769779,1.33315086365
2.44346094131,1.28557527065,1.28517484665
2.47519421577,1.23631799221,1.23590946198
2.50692749023,1.18581581116,1.18540608883
2.53866076469,1.13411962986,1.13371837139
2.57039403915,1.08128154278,1.0809032917
2.60212731361,1.02735471725,1.02702069283
2.63386058807,0.972393333912,0.972131609917
2.66559386253,0.916452884674,0.916299402714
2.69732713699,0.859589636326,0.85958635807
2.72906041145,0.801860868931,0.802052259445
2.76079368591,0.743324637413,0.743753612041
2.79252696037,0.684040009975,0.684740960598
2.82426023483,0.624066591263,0.62506121397
2.85599327087,0.563465237617,0.564754664898
2.88772678375,0.502295553684,0.503853976727
2.91945981979,0.440621107817,0.442389518023
2.95119309425,0.378502488136,0.38037994504
2.98292636871,0.316002756357,0.317837238312
3.01465964317,0.253184854984,0.254760056734
3.04639291763,0.190112009645,0.191135063767
3.07812619209,0.126847729087,0.126935526729
3.10985946655,0.0634557232261,0.062127251178
3.14159274101,-1.74845553147e-07,-0.00331769417971
