epoch,loss_total,loss_pde,loss_bc,loss_ic,loss_obj
1,3.44081838932,0.448754167184,0.0813724571839,0.711483767629,2.19920799732
2,2.29801928541,0.0419692202471,0.157662633061,0.342909801006,1.75547763109
3,1.76715277471,0.111988644674,0.443522647023,0.281806336343,0.929835146666
4,1.52751438357,0.0579454023391,0.638735151291,0.164027447999,0.666806381941
5,1.37429562137,0.161569931358,0.54400883913,0.194010156393,0.474706694484
6,1.28217941076,0.216502824426,0.43907917738,0.190904347599,0.435693061352
7,1.15749998763,0.141241723299,0.454758614302,0.133933258802,0.42756639123
8,0.998246997595,0.11784555465,0.390692639351,0.114983217418,0.374725586176
9,0.779844321311,0.0856609605253,0.31857278347,0.106622105092,0.268988472223
10,0.550139848515,0.0768644966185,0.226129800081,0.0791291091591,0.168016442657
11,0.370477480441,0.0887620352209,0.144198814034,0.0487340673804,0.0887825638056
12,0.22215198949,0.059039156884,0.0857237890363,0.0269911088049,0.0503979347646
13,0.121080201352,0.0277860052884,0.049721570313,0.00848939144053,0.0350832343102
14,0.0703867216595,0.0218780092895,0.0223542504013,0.00652020256966,0.019634259399
15,0.0447439880576,0.0153998675756,0.0111744277179,0.00617292658426,0.0119967661798
16,0.0296300516929,0.00722902780399,0.00859625358135,0.00462049520575,0.00918427510187
17,0.0223406088306,0.00387407680973,0.00764108346775,0.00373009506147,0.0070953534916
18,0.0194107075687,0.0031274006702,0.00716752246954,0.00317856953479,0.00593721489422
19,0.0177486658795,0.00281771584414,0.00682603809983,0.00281057606917,0.00529433586635
20,0.0166382634314,0.00251838290133,0.00670961006545,0.00255932144355,0.00485094902106
