x,uT_target,uT_pinn
0,0,0.153772830963
0.0317332595587,0.0634558647871,0.191895246506
0.0634665191174,0.126847848296,0.231337934732
0.095199778676,0.19011208415,0.272084504366
0.126933038235,0.253184914589,0.314110815525
0.158666297793,0.31600278616,0.357385069132
0.190399557352,0.378502488136,0.401866823435
0.222132816911,0.440621078014,0.447506666183
0.253866076469,0.502295970917,0.494247019291
0.285599350929,0.563465178013,0.542020976543
0.317332595587,0.624066889286,0.590753436089
0.349065840244,0.684040248394,0.640358865261
0.380799114704,0.743324935436,0.690745174885
0.412532389164,0.801861107349,0.741810619831
0.444265633821,0.85958981514,0.793447196484
0.475998878479,0.916453063488,0.845538854599
0.507732152939,0.972393512726,0.897964060307
0.539465427399,1.02735483646,0.950596272945
0.571198701859,1.08128166199,1.00330388546
0.602931916714,1.13411974907,1.05595266819
0.634665191174,1.18581593037,1.10840582848
0.666398465633,1.23631799221,1.16052603722
0.698131680489,1.28557515144,1.21217525005
0.729864954948,1.33353793621,1.26321697235
0.761598229408,1.38015806675,1.31351673603
0.793331503868,1.42538833618,1.36294221878
0.825064778328,1.46918344498,1.4113663435
0.856797993183,1.51149916649,1.45866525173
0.888531267643,1.552292943,1.50472080708
0.920264542103,1.59152364731,1.54942035675
0.951997756958,1.62915182114,1.59265756607
0.983731031418,1.66513967514,1.63433265686
1.01546430588,1.69945085049,1.6743516922
1.04719758034,1.73205077648,1.71262705326
1.0789308548,1.76290678978,1.74907875061
1.11066412926,1.79198765755,1.78363192081
1.14239740372,1.8192640543,1.81621921062
1.17413055897,1.8447085619,1.84677791595
1.20586383343,1.86829566956,1.87525177002
1.23759710789,1.89000165462,1.90158975124
1.26933038235,1.90980446339,1.92574560642
1.30106365681,1.9276843071,1.94767832756
1.33279693127,1.94362318516,1.96735084057
1.36453020573,1.9576048851,1.98473024368
1.39626336098,1.96961545944,1.99978744984
1.42799663544,1.97964286804,2.0124976635
1.4597299099,1.9876768589,2.02283787727
1.49146318436,1.99370956421,2.03079009056
1.52319645882,1.99773466587,2.0363380909
1.55492973328,1.99974822998,2.0394692421
1.58666300774,1.99974822998,2.04017424583
1.6183962822,1.99773466587,2.03844594955
1.65012955666,1.99370956421,2.03428077698
1.68186283112,1.9876768589,2.02767896652
1.71359610558,1.97964286804,2.01864314079
1.74532938004,1.96961545944,2.00717973709
1.77706253529,1.9576048851,1.9933000803
1.80879580975,1.94362318516,1.97701883316
1.84052908421,1.9276843071,1.95835459232
1.87226235867,1.90980446339,1.9373319149
1.90399563313,1.89000153542,1.91397988796
1.93572890759,1.86829566956,1.88833391666
1.96746218204,1.8447085619,1.86043441296
1.9991953373,1.81926393509,1.83032858372
2.03092861176,1.79198753834,1.79807066917
2.06266188622,1.76290667057,1.76372122765
2.09439516068,1.73205077648,1.72734832764
2.12612843513,1.69945073128,1.68902814388
2.15786170959,1.66513955593,1.64884352684
2.18959498405,1.62915182114,1.60688626766
2.22132825851,1.5915235281,1.56325423717
2.25306153297,1.55229270458,1.51805460453
2.28479480743,1.51149892807,1.47140038013
2.31652784348,1.46918356419,1.42341291904
2.34826135635,1.42538809776,1.37421810627
2.3799943924,1.38015806675,1.3239505291
2.41172790527,1.33353769779,1.27274620533
2.44346094131,1.28557527065,1.22074913979
2.47519421577,1.23631799221,1.16810321808
2.50692749023,1.18581581116,1.11495709419
2.53866076469,1.13411962986,1.06145858765
2.57039403915,1.08128154278,1.00775647163
2.60212731361,1.02735471725,0.953998029232
2.63386058807,0.972393333912,0.900326609612
2.66559386253,0.916452884674,0.846883714199
2.69732713699,0.859589636326,0.79380428791
2.72906041145,0.801860868931,0.741218090057
2.76079368591,0.743324637413,0.689247846603
2.79252696037,0.684040009975,0.63800740242
2.82426023483,0.624066591263,0.58760368824
2.85599327087,0.563465237617,0.538134217262
2.88772678375,0.502295553684,0.489684671164
2.91945981979,0.440621107817,0.44233545661
2.95119309425,0.378502488136,0.396152496338
2.98292636871,0.316002756357,0.35119497776
3.01465964317,0.253184854984,0.307510912418
3.04639291763,0.190112009645,0.265139639378
3.07812619209,0.126847729087,0.224111795425
3.10985946655,0.0634557232261,0.184448927641
3.14159274101,-1.74845553147e-07,0.146164447069
