x,t,u_true,u_pinn,abs_error,u_rollout
0.831683159,0,0.278886169,0.279773176,0.000887007,0.278830626715
0.841584146,0,0.267501146,0.268208414,0.000707269,0.267448709747
0.851485133,0,0.255343169,0.255848169,0.000505,0.255294142204
0.86138612,0,0.242422178,0.242715031,0.000292853,0.242376882304
0.871287107,0,0.228753284,0.228836656,8.3372e-05,0.228712124788
0.881188154,0,0.214357421,0.21424523,0.000112191,0.214320447803
0.891089082,0,0.199261054,0.198977292,0.000283763,0.199228439483
0.900990129,0,0.183495998,0.183073223,0.000422776,0.183467793252
0.910891116,0,0.167100415,0.166579157,0.000521258,0.167076614787
0.920792103,0,0.15011771,0.149547279,0.000570431,0.15009831216
0.93069309,0,0.132597223,0.132036299,0.000560924,0.132581894348
0.940594077,0,0.114593178,0.114111744,0.000481434,0.114581599939
0.950495064,0,0.096164599,0.095846221,0.000318378,0.0961565201266
0.960396051,0,0.077375337,0.077318072,5.72652e-05,0.0773701237103
0.970297039,0,0.058292609,0.058611244,0.000318635,0.0582896882177
0.980198026,0,0.038986918,0.039813899,0.000826981,0.038985658085
0.990099013,0,0.019531071,0.021018293,0.001487222,0.0195309129857
0.00990099,0.01010101,0.006449118,0.008028819,0.001579701,0.00572652375781
0.01980198,0.01010101,0.012898236,0.013541458,0.000643223,0.0116599031185
0.029702969,0.01010101,0.019347345,0.019220484,0.000126861,0.0177585092794
0.03960396,0.01010101,0.025796438,0.025048953,0.000747485,0.0239845749188
0.049504951,0.01010101,0.032245487,0.031011622,0.001233865,0.0303054314784
0.059405938,0.01010101,0.038694445,0.037093937,0.001600508,0.0366941436705
0.069306932,0.01010101,0.045143265,0.043282829,0.001860436,0.0431295747833
0.07920792,0.01010101,0.051591836,0.049566321,0.002025515,0.0495959453568
0.089108907,0.01010101,0.058040056,0.055933088,0.002106968,0.0560821255454
0.099009901,0.01010101,0.064487785,0.062372617,0.002115168,0.0625807255822
0.108910888,0.01010101,0.070934817,0.068875253,0.002059564,0.0690871511974
0.118811876,0.01010101,0.077380933,0.075431354,0.001949579,0.0755987690799
0.128712863,0.01010101,0.083825834,0.082031593,0.001794241,0.0821141337628
0.138613865,0.01010101,0.090269215,0.088666327,0.001602888,0.0886323727279
