alpha,residual,regularization
1e-06,0.00117782321965,2.34297645519
2.73841963426e-06,0.00129346074212,2.22410879825
7.49894209332e-06,0.00119954307242,2.05561325047
2.05352502646e-05,0.00151574688074,1.84793132001
5.6234132519e-05,0.00285471107494,1.58453293414
0.000153992652606,0.00303883292505,1.46219462606
0.000421696503429,0.00309099253299,1.33878696237
0.00115478198469,0.00348530570672,1.12058837346
0.00316227766017,0.0051881608908,0.776286505579
0.0086596432336,0.0070436846441,0.422437443038
0.0237137370566,0.0089003878381,0.193448135926
0.0649381631576,0.0095668852208,0.0783061906635
0.177827941004,0.0091624304394,0.0280605058915
0.486967525166,0.00924091463908,0.0102248306467
1.33352143216,0.00928143179656,0.00380888798164
3.65174127255,0.00924889954666,0.00139342777352
10,0.00923686826054,0.000513917435813
