wJ,alpha,loss_fbi,loss_j,loss_reg,objective_rollout,tikhonov_rollout
0.01,0.0001,0.657449696213,3.75618731976,0.399445995688,2.15196817056,2.15200636253
1,0.0001,0.657351158559,3.7527589798,0.399445578456,2.15197264319,2.15201083591
