x,f_true,f_pred,abs_error
0,0.159153833985,0.118776828051,0.0403770059347
0.0101010100916,0.159070283175,0.119129300117,0.039940983057
0.0202020201832,0.158346220851,0.119025290012,0.0393209308386
0.0303030312061,0.156984552741,0.118447303772,0.0385372489691
0.0404040403664,0.154990747571,0.117379307747,0.0376114398241
0.0505050495267,0.152372866869,0.115807890892,0.0365649759769
0.0606060624123,0.149141430855,0.113721847534,0.0354195833206
0.0707070678473,0.145309448242,0.111112207174,0.0341972410679
0.0808080807328,0.140892371535,0.10797303915,0.0329193323851
0.0909090936184,0.135907948017,0.104301482439,0.0316064655781
0.101010099053,0.130376279354,0.100098520517,0.0302777588367
0.111111111939,0.124319635332,0.0953678786755,0.0289517566562
0.121212124825,0.117762394249,0.0901176333427,0.0276447609067
0.13131313026,0.110730975866,0.0843594372272,0.0263715386391
0.141414135695,0.103253677487,0.0781089365482,0.0251447409391
0.151515156031,0.09536062181,0.0713860094547,0.0239746123552
0.161616161466,0.0870835632086,0.0642144680023,0.0228690952063
0.171717166901,0.0784558579326,0.0566219948232,0.0218338631094
0.181818187237,0.0695122405887,0.0486404560506,0.020871784538
0.191919192672,0.0602887347341,0.0403052531183,0.0199834816158
0.202020198107,0.0508224517107,0.0316551886499,0.0191672630608
0.212121218443,0.0411515235901,0.0227318666875,0.0184196569026
0.222222223878,0.0313148908317,0.0135800354183,0.0177348554134
0.232323229313,0.0213521849364,0.00424685701728,0.0171053279191
0.242424249649,0.0113034639508,-0.00521931424737,0.0165227781981
0.252525240183,0.00120928371325,-0.0147681869566,0.0159774702042
0.262626260519,-0.00888982228935,-0.0243486650288,0.0154588427395
0.272727280855,-0.0189531128854,-0.0339098758996,0.0149567630142
0.282828271389,-0.0289400666952,-0.0434008724988,0.0144608058035
0.292929291725,-0.0388105101883,-0.052771601826,0.0139610916376
0.303030312061,-0.0485246814787,-0.0619732774794,0.0134485960007
0.313131302595,-0.0580434314907,-0.0709587335587,0.012915302068
0.323232322931,-0.0673284903169,-0.0796835571527,0.0123550668359
0.333333343267,-0.076342433691,-0.0881051272154,0.0117626935244
0.343434333801,-0.0850489735603,-0.0961840003729,0.0111350268126
0.353535354137,-0.0934130474925,-0.103883594275,0.010470546782
0.363636374474,-0.101400986314,-0.111170813441,0.00976982712746
0.373737365007,-0.108980588615,-0.118015021086,0.0090344324708
0.383838385344,-0.116121388972,-0.124389633536,0.00826824456453
0.39393940568,-0.122794643044,-0.130270555615,0.00747591257095
0.404040396214,-0.128973379731,-0.135637044907,0.00666366517544
0.41414141655,-0.134632840753,-0.140470966697,0.00583812594414
0.424242436886,-0.139750167727,-0.144757091999,0.00500692427158
0.43434342742,-0.144304767251,-0.14848202467,0.00417725741863
0.444444447756,-0.148278295994,-0.151634588838,0.00335629284382
0.454545468092,-0.15165476501,-0.154205784202,0.00255101919174
0.464646458626,-0.154420554638,-0.15618789196,0.00176733732224
0.474747478962,-0.156564578414,-0.157574281096,0.0010097026825
0.484848499298,-0.158078163862,-0.158360034227,0.000281870365143
0.494949489832,-0.158955216408,-0.158540576696,0.00041463971138
0.50505053997,-0.159192204475,-0.15811291337,0.00107929110527
0.515151500702,-0.158788204193,-0.157074585557,0.00171361863613
0.525252521038,-0.157744795084,-0.155424416065,0.00232037901878
0.535353541374,-0.156066209078,-0.153162196279,0.00290401279926
0.545454502106,-0.153759226203,-0.150289028883,0.00347019731998
0.555555582047,-0.150833070278,-0.146807685494,0.00402538478374
0.565656542778,-0.147299587727,-0.142722696066,0.00457689166069
0.575757563114,-0.143172979355,-0.138040542603,0.00513243675232
0.58585858345,-0.138469859958,-0.132770359516,0.00569950044155
0.595959603786,-0.133209183812,-0.126923635602,0.00628554821014
0.606060624123,-0.127412095666,-0.120515048504,0.00689704716206
0.616161584854,-0.121101997793,-0.113562092185,0.0075399056077
0.626262664795,-0.114304184914,-0.106085374951,0.00821880996227
0.636363625526,-0.107046224177,-0.0981093496084,0.00893687456846
0.646464645863,-0.0993571653962,-0.0896609723568,0.00969619303942
0.656565666199,-0.0912680327892,-0.0807707160711,0.0104973167181
0.66666662693,-0.0828114524484,-0.0714721083641,0.0113393440843
0.676767706871,-0.0740213096142,-0.0618012286723,0.0122200809419
0.686868667603,-0.0649331584573,-0.0517969541252,0.0131362043321
0.696969687939,-0.0555835440755,-0.0414999611676,0.0140835829079
0.707070708275,-0.0460101217031,-0.0309529006481,0.015057221055
0.717171728611,-0.0362514257431,-0.0201999433339,0.0160514824092
0.727272748947,-0.0263467617333,-0.00928606465459,0.0170606970787
0.737373709679,-0.0163360834122,0.00174305960536,0.0180791430175
0.747474789619,-0.0062594730407,0.0128417722881,0.0191012453288
0.757575750351,0.00384218944237,0.0239642821252,0.0201220922172
0.767676770687,0.0139284553006,0.0350660718977,0.0211376175284
0.777777791023,0.0239587146789,0.046102900058,0.0221441853791
0.787878751755,0.0338923484087,0.0570321194828,0.0231397710741
0.797979831696,0.0436896570027,0.067813128233,0.0241234712303
0.808080792427,0.0533109009266,0.0784062892199,0.0250953882933
0.818181812763,0.0627175495028,0.088775113225,0.0260575637221
0.828282833099,0.0718716606498,0.0988846868277,0.0270130261779
0.838383853436,0.0807363688946,0.108702898026,0.0279665291309
0.848484873772,0.089275971055,0.118200197816,0.0289242267609
0.858585834503,0.0974560976028,0.12734977901,0.029893681407
0.868686854839,0.105243802071,0.136127322912,0.0308835208416
0.878787875175,0.112607724965,0.144511923194,0.0319041982293
0.888888895512,0.119518212974,0.152485027909,0.0329668149352
0.898989915848,0.125947445631,0.160030901432,0.034083455801
0.909090876579,0.131869480014,0.167136624455,0.0352671444416
0.919191896915,0.137260586023,0.173791840672,0.0365312546492
0.929292917252,0.142098993063,0.179989352822,0.0378903597593
0.939393937588,0.146365195513,0.185723349452,0.0393581539392
0.949494957924,0.150042057037,0.190991312265,0.040949255228
