wJ,alpha,loss_fbi,loss_j,loss_reg,rel_u,rel_f,objective_rollout,tikhonov_rollout
0.001,5.6234132519e-05,6.43009316264e-06,0.0272359000519,1.85008875132,0.189297999599,0.257417841496,0.027968266048,0.0280726727699
0.01,1e-06,6.44888537238e-07,2.42578221332e-06,5.2551153183,0.0478156353122,0.137943770687,4.45901938719e-06,9.64516453371e-06
0.1,2.73841963426e-06,1.19889550092e-06,2.60930599438e-07,4.65174674988,0.0685517138779,0.129842626605,2.92951452702e-07,1.30570226849e-05
1,0.00316227766017,0.000382150194036,8.26326649985e-05,1.39559943676,0.105181479944,0.514729173101,0.000228188940217,0.367403845714
10,7.49894209332e-06,2.51532729401e-06,3.05494625952e-07,4.42605834007,0.0361915580404,0.0906522946776,1.05417906217e-06,3.45189475601e-05
100,7.49894209332e-06,3.68402795062e-06,2.58332384107e-07,5.45355157852,0.0519328153109,0.161525303524,8.25347125308e-07,4.2797284778e-05
1000,5.6234132519e-05,0.000108473702221,2.12730249416e-07,6.61093754768,0.0524159490095,0.216527219661,1.04430740786e-05,0.000518075334008
