wJ,loss_fbi,loss_j,objective_rollout
0.001,2.51644879352e-06,0.00773112345487,0.0078582722597
0.01,9.6428961327e-07,0.00439453907311,0.0044602468085
0.1,7.44738745979e-06,0.00247918451205,0.00256029983006
1,2.62518491112e-05,0.00153057062998,0.00164988696551
10,0.000195048838146,0.000969922047807,0.00114145941457
100,0.00149718515049,0.000336290028645,0.00083808716566
1000,0.00801595832381,0.0001880097916,0.000848871441328
