wJ,loss_fbi,loss_j,rel_u,rel_f,objective_rollout
0.001,6.17487857957e-07,5.07351502165e-05,0.0824367616337,0.240211047095,5.21626679671e-05
0.01,1.66344716979e-07,1.49946998818e-07,0.115635619602,0.22797769218,2.2991760501e-07
0.1,2.19644384547e-07,1.58703558384e-07,0.153470506102,0.266876683125,1.56471640714e-07
1,2.39658448242e-07,4.64827019542e-08,0.135939293937,0.26556845023,4.3905245433e-08
10,8.06449425284e-07,1.45556017728e-07,0.137643126961,0.330391948768,7.78707276647e-08
100,1.55710948206e-06,2.59364009025e-07,0.16310044237,0.419831323026,4.9286100315e-07
1000,1.37514847722e-05,2.92913114208e-07,0.198049563722,0.59848282731,3.79582372971e-06
