x,t,f
0,0,0.013380152877
1.5625,0,0.0581046090241
3.125,0,0.101979384509
4.6875,0,0.168825290819
6.25,0,0.133431853357
7.8125,0,-0.0374698013989
9.375,0,-0.0565413477418
10.9375,0,0.0366443308031
12.5,0,0.0666650816198
14.0625,0,0.0923763947316
15.625,0,0.139607416084
17.1875,0,0.0215234860137
18.75,0,-0.20044675435
20.3125,0,-0.221252965392
21.875,0,-0.142958830958
23.4375,0,-0.0856279240044
25,0,-0.0230641495
26.5625,0,-0.0183909499355
28.125,0,-0.10353945382
29.6875,0,-0.128779538792
31.25,0,-0.0861952450242
32.8125,0,-0.0509668750747
34.375,0,-0.0065390306457
35.9375,0,0.033037785272
37.5,0,-0.0261044042963
39.0625,0,-0.108528213832
40.625,0,-0.0916011929055
42.1875,0,-0.0423979852392
43.75,0,0.00557753700176
45.3125,0,0.0554742910065
46.875,0,0.0405846814736
48.4375,0,-0.00904834994784
0,0.01,0.013431708862
1.5625,0.01,0.0581369066321
3.125,0.01,0.101864144011
4.6875,0.01,0.168582324245
6.25,0.01,0.133219835161
7.8125,0.01,-0.0375550280335
9.375,0.01,-0.0566483494325
10.9375,0.01,0.0365981335053
12.5,0.01,0.0665960276344
14.0625,0.01,0.0920592894337
15.625,0.01,0.139313892867
17.1875,0.01,0.0221588592358
18.75,0.01,-0.199533269454
20.3125,0.01,-0.221167679702
21.875,0.01,-0.143165559594
23.4375,0.01,-0.0859466134731
25,0.01,-0.0233423407563
26.5625,0.01,-0.0180447790983
28.125,0.01,-0.102996958876
29.6875,0.01,-0.128712307734
31.25,0.01,-0.0862202062379
32.8125,0.01,-0.050991277451
34.375,0.01,-0.0066753977652
35.9375,0.01,0.0329730126813
37.5,0.01,-0.0259445874572
39.0625,0.01,-0.108320649287
40.625,0.01,-0.0914817507628
42.1875,0.01,-0.0423830720695
43.75,0.01,0.00554156840929
45.3125,0.01,0.0554742416384
46.875,0.01,0.0405363535651
48.4375,0.01,-0.00909426097979
0,0.02,0.0134822708329
1.5625,0.02,0.0581687723776
3.125,0.02,0.101749297544
4.6875,0.02,0.168340279677
6.25,0.02,0.133008976329
7.8125,0.02,-0.0376401480333
9.375,0.02,-0.0567564525979
10.9375,0.02,0.0365500557702
12.5,0.02,0.066526649554
14.0625,0.02,0.0917450926864
15.625,0.02,0.139020218343
17.1875,0.02,0.0227894314358
18.75,0.02,-0.198619249665
20.3125,0.02,-0.22108036566
21.875,0.02,-0.143371044577
23.4375,0.02,-0.0862632987374
25,0.02,-0.0236212942187
26.5625,0.02,-0.0177018061421
28.125,0.02,-0.102454093946
29.6875,0.02,-0.128644048365
31.25,0.02,-0.0862454249112
32.8125,0.02,-0.051015460524
34.375,0.02,-0.00681068407333
35.9375,0.02,0.0329087154583
37.5,0.02,-0.025785353203
39.0625,0.02,-0.108113739685
40.625,0.02,-0.0913629136411
42.1875,0.02,-0.0423679409744
43.75,0.02,0.00550642056796
45.3125,0.02,0.0554749523281
46.875,0.02,0.0404882462057
