x,uT
0,-0.209748634039
1.5625,-0.0877029704351
3.125,1.5082340504
4.6875,1.79310364766
6.25,-0.653396978266
7.8125,-1.40429631984
9.375,-0.099992853909
10.9375,0.401351612941
12.5,0.90456111827
14.0625,1.99516430046
15.625,0.969421495793
17.1875,-1.07594038854
18.75,-0.652596930192
20.3125,-0.0843335268897
21.875,0.3040103695
23.4375,1.48946852037
25,1.60002450801
26.5625,-1.25696138296
28.125,-1.96794129714
29.6875,-0.336580459852
31.25,0.346363826737
32.8125,2.12067808392
34.375,1.67439108581
35.9375,-1.47950450122
37.5,-1.73321050133
39.0625,0.14688978092
40.625,1.23282706115
42.1875,2.4908481599
43.75,0.229149244397
45.3125,-1.64616281028
46.875,0.0360343777356
48.4375,0.422089725921
