x,uT_target,uT_pred,abs_error
0,0,8.86991620064e-06,8.86991620064e-06
0.0250000003725,0.00164493382908,0.00164121948183,3.71434725821e-06
0.0500000007451,0.00328985741362,0.00328136794269,8.48947092891e-06
0.0750000029802,0.00493471790105,0.00492865219712,6.06570392847e-06
0.10000000149,0.00657937675714,0.00658215768635,2.7809292078e-06
0.125,0.00822356436402,0.00824063457549,1.70702114701e-05
0.15000000596,0.00986682996154,0.0099026337266,3.58037650585e-05
0.17499999702,0.0115084806457,0.0115665625781,5.80819323659e-05
0.20000000298,0.0131475310773,0.0132301710546,8.26399773359e-05
0.225000008941,0.0147826187313,0.0148910917342,0.000108473002911
0.25,0.0164119228721,0.01654622145,0.000134298577905
0.27500000596,0.0180330853909,0.0181920751929,0.000158989802003
0.300000011921,0.0196430683136,0.0198245756328,0.000181507319212
0.325000017881,0.0212380569428,0.0214385800064,0.00020052306354
0.34999999404,0.0228132903576,0.0230284593999,0.000215169042349
0.375,0.0243628956378,0.0245872437954,0.000224348157644
0.40000000596,0.0258796922863,0.0261071659625,0.000227473676205
0.425000011921,0.0273549612612,0.0275788158178,0.00022385455668
0.450000017881,0.0287781972438,0.0289915166795,0.000213319435716
0.47499999404,0.0301368292421,0.0303325429559,0.000195713713765
0.5,0.0314159281552,0.0315873660147,0.000171437859535
0.525000035763,0.0325978845358,0.0327388569713,0.000140972435474
0.550000011921,0.0336621031165,0.0337673909962,0.000105287879705
0.574999988079,0.0345847271383,0.0346505381167,6.58109784126e-05
0.600000023842,0.035338409245,0.0353623628616,2.39536166191e-05
0.625,0.0358922109008,0.0358736775815,1.85333192348e-05
0.650000035763,0.0362116768956,0.036151651293,6.00256025791e-05
0.675000011921,0.0362591594458,0.0361603759229,9.87835228443e-05
0.699999988079,0.0359945558012,0.0358611047268,0.000133451074362
0.725000023842,0.0353764332831,0.0352135449648,0.0001628883183
0.75,0.0343638807535,0.0341777615249,0.000186119228601
0.775000035763,0.0329188592732,0.0327160283923,0.00020283088088
0.800000011921,0.0310093704611,0.0307971723378,0.000212198123336
0.824999988079,0.0286131240427,0.0283994190395,0.000213705003262
0.850000023842,0.0257215760648,0.0255154147744,0.000206161290407
0.875,0.0223438758403,0.0221555158496,0.000188359990716
0.900000035763,0.0185101497918,0.018351174891,0.000158974900842
0.925000011921,0.0142734153196,0.0141562465578,0.00011716876179
0.949999988079,0.0097095258534,0.00964572094381,6.38049095869e-05
0.975000023842,0.00491457665339,0.00491339340806,1.18324533105e-06
1,-5.49293543983e-09,6.58165663481e-05,6.58220596961e-05
1.02499997616,-0.00491458782926,-0.00478368531913,0.000130902510136
1.05000007153,-0.0097095509991,-0.00952248368412,0.000187067314982
1.07500004768,-0.0142734404653,-0.0140452720225,0.000228168442845
1.10000002384,-0.0185101721436,-0.018259845674,0.000250326469541
1.125,-0.0223438832909,-0.0220915358514,0.000252347439528
1.14999997616,-0.0257215835154,-0.0254856795073,0.00023590400815
1.17500007153,-0.0286131370813,-0.0284084491432,0.000204687938094
1.20000004768,-0.031009381637,-0.0308457855135,0.000163596123457
