alpha,residual,regularization
1e-06,0.00434927905839,2.397920564
2.73841963426e-06,0.00496710514087,2.3426605948
7.49894209332e-06,0.0127265318115,2.24940667277
2.05352502646e-05,0.00421108099793,2.13675236928
5.6234132519e-05,0.023097833423,1.96880842455
0.000153992652606,0.00862972722628,1.73346586026
0.000421696503429,0.00743540775915,1.63288057176
0.00115478198469,0.0137688048583,1.56989949427
0.00316227766017,0.0181527540742,1.47419830454
0.0086596432336,0.0369944390098,1.24030261716
0.0237137370566,0.0542489437787,0.476722788823
0.0649381631576,0.0649578921635,0.187655547313
0.177827941004,0.0695697319867,0.114407880363
0.486967525166,0.061066697965,0.0464836777456
1.33352143216,0.231705638694,0.114231945843
3.65174127255,0.416521104455,0.0629836919872
10,0.427181602624,0.0234201575729
