wJ,loss_fbi,loss_j,objective_rollout
0.001,3.34837329916e-06,0.0685368210077,0.0712016782794
0.01,5.96294205763e-06,0.0474340543151,0.0480334681747
0.1,4.83171037785e-05,0.0341577060521,0.0355357925969
1,0.000475591535587,0.0181064661592,0.0202969643769
10,0.00356299025316,0.0122179025784,0.0155617747058
100,0.130829704801,0.00608481303789,0.0198141598182
1000,0.322208103072,0.00233082643244,0.0295947605877
