alpha,residual,regularization
1e-06,0.308220035504,97.2292268744
2.73841963426e-06,0.222375185669,56.3123549787
7.49894209332e-06,0.216984023192,26.8894625194
2.05352502646e-05,0.207960840856,15.2550053621
5.6234132519e-05,0.199241024533,12.5818176839
0.000153992652606,0.270490386349,9.4161982552
0.000421696503429,0.253139425021,7.85521166365
0.00115478198469,0.276559343687,6.05323476776
0.00316227766017,0.237149297875,2.83992918114
0.0086596432336,0.232288503785,1.93519008516
0.0237137370566,0.329729102848,1.45549636872
0.0649381631576,0.377138805442,0.864051006165
0.177827941004,0.292914545861,0.213846331934
0.486967525166,0.328137587778,0.117197486134
1.33352143216,0.570153114974,0.0778036931092
3.65174127255,0.63180302791,0.0331301711624
10,0.988268062679,0.0361071397138
