epoch,loss_total,loss_pde,loss_bc,loss_ic
1,0.0190550147905,0.00326289081713,0.00106122437865,0.0147308995947
2,0.00897581189492,0.0011098695788,0.000383972423151,0.00748196989298
3,0.00338370756872,0.000308051422326,0.000111661051051,0.00296399509534
4,0.00300783781258,5.48812180568e-05,9.12030227482e-05,0.00286175357178
5,0.00315749307574,7.59960597861e-05,8.60651271068e-05,0.00299543188885
6,0.00283069713369,3.56921493221e-05,7.9657882452e-05,0.00271534710191
7,0.00282320007718,1.99862919544e-05,6.6430431616e-05,0.00273678335361
8,0.00279945297552,1.97911231226e-05,6.61620288156e-05,0.00271349982359
9,0.00279197946165,1.64535073054e-05,6.03085391049e-05,0.00271521741524
10,0.0027795949507,1.45307501953e-05,6.39311765553e-05,0.00270113302395
11,0.00277400203468,1.36208805998e-05,6.36274417047e-05,0.00269675371237
12,0.00276877256756,1.28070757455e-05,6.25794418738e-05,0.00269338604994
13,0.0027636307761,1.19285952678e-05,6.25322281849e-05,0.00268916995265
14,0.0027586623467,1.12708578854e-05,6.31859511486e-05,0.00268420553766
15,0.00275378808219,1.07152889541e-05,6.3838189817e-05,0.00267923460342
16,0.00274881820806,1.01605604868e-05,6.42803570372e-05,0.00267437729053
17,0.0027437210224,9.65967728916e-06,6.48643035674e-05,0.00266919704154
18,0.00273848586839,9.22110375541e-06,6.59655561321e-05,0.00266329920851
19,0.00273303345457,8.81677842699e-06,6.66686173645e-05,0.00265754805878
20,0.00272732268604,8.45703289087e-06,6.75728224451e-05,0.00265129283071
21,0.00272129917466,8.14070263004e-06,6.83907201164e-05,0.00264476775192
22,0.00271488633189,7.8437387856e-06,6.94069094607e-05,0.00263763568364
23,0.00270802887048,7.6023274687e-06,7.06097780494e-05,0.00262981676497
24,0.00270065475834,7.40546729503e-06,7.16514477972e-05,0.00262159784324
25,0.00269267980825,7.23773614482e-06,7.30536121409e-05,0.00261238845997
26,0.00268400749924,7.09649470991e-06,7.50471881474e-05,0.00260186381638
27,0.00270954124217,7.03460473233e-06,0.000144636404002,0.00255787023343
28,0.00345224264142,7.4963883435e-06,0.000618973164819,0.00282577308826
29,0.00273426551112,7.41493104215e-06,0.000196079738089,0.00253077084199
30,0.00265684284022,6.99230076862e-06,6.76848940202e-05,0.00258216564544
31,0.00265050794878,6.86106541252e-06,6.66540363454e-05,0.00257699284703
32,0.00264736330519,7.00514010532e-06,0.00011341971549,0.00252693844959
33,0.0026217029234,7.06344949322e-06,7.99929330242e-05,0.00253464654088
34,0.00260851188768,7.17454504411e-06,7.56505905883e-05,0.00252568675205
35,0.00259257754451,7.36270530979e-06,8.01408168627e-05,0.00250507402234
36,0.00257567847029,7.57717089073e-06,8.70898584253e-05,0.00248101144098
37,0.00255615139713,7.82449887993e-06,8.16263927845e-05,0.00246670050547
38,0.00253440597207,8.13287970232e-06,8.28391202958e-05,0.00244343397208
39,0.00270474184163,8.50760352478e-06,0.000175854627742,0.00252037961036
40,0.00279279556435,1.01584564618e-05,0.000469834863907,0.00231280224398
41,0.00258921236509,9.51382953644e-06,0.000119207623356,0.0024604909122
42,0.00246449764218,9.63458860497e-06,9.31228350964e-05,0.00236174021848
43,0.00244209523917,9.90074440779e-06,0.000101709229057,0.0023304852657
44,0.00241052529182,1.02806547147e-05,9.03571999515e-05,0.00230988743715
45,0.00238268521944,1.08042150714e-05,8.14677550807e-05,0.00229041324928
46,0.00234240953359,1.14579663204e-05,0.000100118748378,0.0022308328189
47,0.00230242121224,1.22659320368e-05,0.000100757933978,0.00218939734623
48,0.00225810315651,1.32016769385e-05,9.64944338193e-05,0.00214840704575
49,0.00221188922151,1.43220662721e-05,9.11767274374e-05,0.0021063904278
50,0.00216226808943,1.5622742194e-05,9.50392714003e-05,0.00205160607584
51,0.0021143667067,1.71126115674e-05,0.000110029650386,0.00198722444475
52,0.00671509677613,1.96980645342e-05,0.00475239614025,0.00194300257135
53,0.0031266704771,2.1683272098e-05,0.000865766196512,0.00223922100849
54,0.00223595651059,2.10952190173e-05,0.000203583578696,0.00201127771288
55,0.00205446468026,2.12879065657e-05,0.000196989916731,0.00183618685696
56,0.00200619041752,2.20347679715e-05,0.000180616887519,0.00180353876203
57,0.00192709988532,2.33807766563e-05,8.33135127323e-05,0.00182040559594
