x,f_true,f_pred,abs_error
0,0.159153833985,0.160744816065,0.00159098207951
0.0101010100916,0.159070283175,0.160270571709,0.00120028853416
0.0202020201832,0.158346220851,0.15925064683,0.000904425978661
0.0303030312061,0.156984552741,0.157676130533,0.000691577792168
0.0404040403664,0.154990747571,0.155540496111,0.000549748539925
0.0505050495267,0.152372866869,0.152839481831,0.000466614961624
0.0606060624123,0.149141430855,0.149571686983,0.000430256128311
0.0707070678473,0.145309448242,0.14573892951,0.000429481267929
0.0808080807328,0.140892371535,0.141345918179,0.000453546643257
0.0909090936184,0.135907948017,0.136400878429,0.000492930412292
0.101010099053,0.130376279354,0.130915462971,0.000539183616638
0.111111111939,0.124319635332,0.124904669821,0.000585034489632
0.121212124825,0.117762394249,0.118386723101,0.0006243288517
0.13131313026,0.110730975866,0.111383803189,0.000652827322483
0.141414135695,0.103253677487,0.10392088443,0.000667206943035
0.151515156031,0.09536062181,0.0960266068578,0.000665985047817
0.161616161466,0.0870835632086,0.0877318754792,0.000648312270641
0.171717166901,0.0784558579326,0.0790710523725,0.000615194439888
0.181818187237,0.0695122405887,0.0700804069638,0.00056816637516
0.191919192672,0.0602887347341,0.0607985630631,0.000509828329086
0.202020198107,0.0508224517107,0.0512656345963,0.000443182885647
0.212121218443,0.0411515235901,0.0415231958032,0.000371672213078
0.222222223878,0.0313148908317,0.0316138044,0.000298913568258
0.232323229313,0.0213521849364,0.0215806420892,0.000228457152843
0.242424249649,0.0113034639508,0.0114668812603,0.000163417309523
0.252525240183,0.00120928371325,0.00131601653993,0.00010673282668
0.262626260519,-0.00888982228935,-0.00882931984961,6.05024397373e-05
0.272727280855,-0.0189531128854,-0.0189268086106,2.63042747974e-05
0.282828271389,-0.0289400666952,-0.0289351139218,4.95277345181e-06
0.292929291725,-0.0388105101883,-0.0388141646981,3.65450978279e-06
0.303030312061,-0.0485246814787,-0.0485248342156,1.52736902237e-07
0.313131302595,-0.0580434314907,-0.0580292120576,1.42194330692e-05
0.323232322931,-0.0673284903169,-0.0672913566232,3.71336936951e-05
0.333333343267,-0.076342433691,-0.0762758776546,6.65560364723e-05
0.343434333801,-0.0850489735603,-0.0849494114518,9.95621085167e-05
0.353535354137,-0.0934130474925,-0.0932796373963,0.000133410096169
0.363636374474,-0.101400986314,-0.101235769689,0.000165216624737
0.373737365007,-0.108980588615,-0.108788244426,0.00019234418869
0.383838385344,-0.116121388972,-0.1159087345,0.000212654471397
0.39393940568,-0.122794643044,-0.122570566833,0.000224076211452
0.404040396214,-0.128973379731,-0.128748089075,0.00022529065609
0.41414141655,-0.134632840753,-0.134417116642,0.000215724110603
0.424242436886,-0.139750167727,-0.139555081725,0.00019508600235
0.43434342742,-0.144304767251,-0.144140779972,0.000163987278938
0.444444447756,-0.148278295994,-0.148154675961,0.000123620033264
0.454545468092,-0.15165476501,-0.151579141617,7.56233930588e-05
0.464646458626,-0.154420554638,-0.154398500919,2.20537185669e-05
0.474747478962,-0.156564578414,-0.156599089503,3.4511089325e-05
0.484848499298,-0.158078163862,-0.158169776201,9.16123390198e-05
0.494949489832,-0.158955216408,-0.159101784229,0.000146567821503
0.50505053997,-0.159192204475,-0.159389019012,0.000196814537048
0.515151500702,-0.158788204193,-0.159028381109,0.000240176916122
0.525252521038,-0.157744795084,-0.15801975131,0.000274956226349
0.535353541374,-0.156066209078,-0.156365811825,0.000299602746964
0.545454502106,-0.153759226203,-0.154072672129,0.000313445925713
0.555555582047,-0.150833070278,-0.151149705052,0.000316634774208
0.565656542778,-0.147299587727,-0.147608876228,0.00030928850174
0.575757563114,-0.143172979355,-0.1434661448,0.000293165445328
0.58585858345,-0.138469859958,-0.138739556074,0.000269696116447
0.595959603786,-0.133209183812,-0.13345053792,0.000241354107857
0.606060624123,-0.127412095666,-0.127622917295,0.000210821628571
0.616161584854,-0.121101997793,-0.121282808483,0.000180810689926
0.626262664795,-0.114304184914,-0.11445838958,0.000154204666615
0.636363625526,-0.107046224177,-0.107179842889,0.000133618712425
0.646464645863,-0.0993571653962,-0.0994786396623,0.000121474266052
0.656565666199,-0.0912680327892,-0.0913875326514,0.000119499862194
0.66666662693,-0.0828114524484,-0.0829402282834,0.000128775835037
0.676767706871,-0.0740213096142,-0.0741711184382,0.000149808824062
0.686868667603,-0.0649331584573,-0.0651152879,0.000182129442692
0.696969687939,-0.0555835440755,-0.0558078736067,0.000224329531193
0.707070708275,-0.0460101217031,-0.0462844744325,0.000274352729321
0.717171728611,-0.0362514257431,-0.0365807935596,0.000329367816448
0.727272748947,-0.0263467617333,-0.0267330575734,0.000386295840144
0.737373709679,-0.0163360834122,-0.0167773533612,0.000441269949079
0.747474789619,-0.0062594730407,-0.00675038062036,0.00049090757966
0.757575750351,0.00384218944237,0.00331042148173,0.000531767960638
0.767676770687,0.0139284553006,0.013367684558,0.000560770742595
0.777777791023,0.0239587146789,0.0233825072646,0.000576207414269
0.787878751755,0.0338923484087,0.0333158895373,0.000576458871365
0.797979831696,0.0436896570027,0.0431276410818,0.000562015920877
0.808080792427,0.0533109009266,0.0527769550681,0.000533945858479
0.818181812763,0.0627175495028,0.0622223839164,0.000495165586472
0.828282833099,0.0718716606498,0.0714221969247,0.00044946372509
0.838383853436,0.0807363688946,0.0803348049521,0.000401563942432
0.848484873772,0.089275971055,0.0889188945293,0.000357076525688
0.858585834503,0.0974560976028,0.0971341505647,0.000321947038174
0.868686854839,0.105243802071,0.104942165315,0.000301636755466
0.878787875175,0.112607724965,0.112306550145,0.000301174819469
0.888888895512,0.119518212974,0.119194284081,0.000323928892612
0.898989915848,0.125947445631,0.125575423241,0.000372022390366
0.909090876579,0.131869480014,0.131424829364,0.000444650650024
0.919191896915,0.137260586023,0.136721596122,0.000538989901543
0.929292917252,0.142098993063,0.141450449824,0.00064854323864
0.939393937588,0.146365195513,0.145601481199,0.000763714313507
0.949494957924,0.150042057037,0.149170398712,0.000871658325195
0.95959597826,0.153114750981,0.152158647776,0.000956103205681
0.969696998596,0.155570909381,0.154573142529,0.000997766852379
0.979797959328,0.157400608063,0.156426221132,0.000974386930466
0.989898979664,0.158596515656,0.157735779881,0.00086073577404
1,0.159153833985,0.158523261547,0.00063057243824
