x,uT_pinn,uT_rollout,abs_error
0,-0.21682280302,0.548529076981,0.765351880001
1.5625,-0.202886730433,1.03245858619,1.23534531663
3.125,-0.188489988446,1.27031319118,1.45880317962
4.6875,-0.173657089472,1.04463540157,1.21829249104
6.25,-0.158412098885,1.0925395942,1.25095169308
7.8125,-0.142777144909,1.49940104933,1.64217819423
9.375,-0.126770913601,3.30535810854,3.43212902214
10.9375,-0.11040712148,3.22498828731,3.33539540878
12.5,-0.093694075942,0.256506662045,0.350200737987
14.0625,-0.0766352415085,-0.188173650483,0.111538408975
15.625,-0.0592315346003,1.27329580476,1.33252733936
17.1875,-0.0414837822318,2.20317356329,2.24465734552
18.75,-0.0233968906105,3.36040134639,3.383798237
20.3125,-0.00498389871791,1.70275445595,1.70773835467
21.875,0.0137299019843,-0.389270637011,0.403000538995
23.4375,0.0327034890652,0.505193138967,0.472489649902
25,0.0518792904913,1.14166666705,1.08978737656
26.5625,0.0711820349097,1.20032230402,1.12914026911
28.125,0.0905211567879,1.7609194458,1.67039828901
29.6875,0.109793871641,0.534073798448,0.424279926807
31.25,0.128890380263,-2.82152878697,2.95041916723
32.8125,0.147698327899,-2.8265061856,2.9742045135
34.375,0.166108742356,-0.957934863242,1.1240436056
35.9375,0.184021383524,0.908693278483,0.724671894959
37.5,0.20134781301,0.199548834425,0.00179897858531
39.0625,0.218014851213,-2.21124256826,2.42925741947
40.625,0.233965426683,-1.74350032677,1.97746575345
42.1875,0.24915972352,-0.695025658507,0.944185382027
43.75,0.263573735952,-1.52943593217,1.79300966812
45.3125,0.277198165655,-1.97477056106,2.25196872671
46.875,0.290036350489,-1.15467961116,1.44471596165
48.4375,0.302102208138,-0.363874193146,0.665976401284
