x,t,f
28.125,0.05,0.0235623121262
29.6875,0.05,0.00662470469251
31.25,0.05,-0.0109180146828
32.8125,0.05,-0.0289338361472
34.375,0.05,-0.0472810380161
35.9375,0.05,-0.0658154860139
37.5,0.05,-0.0843971595168
39.0625,0.05,-0.102894857526
40.625,0.05,-0.121191315353
42.1875,0.05,-0.139185756445
43.75,0.05,-0.156795501709
45.3125,0.05,-0.173955798149
46.875,0.05,-0.190618634224
48.4375,0.05,-0.20675098896
0,0.06,0.180432185531
1.5625,0.06,0.177998289466
3.125,0.06,0.175036475062
4.6875,0.06,0.171511024237
6.25,0.06,0.167382374406
7.8125,0.06,0.162609174848
9.375,0.06,0.157145127654
10.9375,0.06,0.150943353772
12.5,0.06,0.143954023719
14.0625,0.06,0.136128425598
15.625,0.06,0.127418994904
17.1875,0.06,0.117783762515
18.75,0.06,0.107187472284
20.3125,0.06,0.0956070572138
21.875,0.06,0.0830335393548
23.4375,0.06,0.0694772228599
25,0.06,0.0549683086574
26.5625,0.06,0.0395609512925
28.125,0.06,0.0233322530985
29.6875,0.06,0.00638148980215
31.25,0.06,-0.0111727854237
32.8125,0.06,-0.0291979257017
34.375,0.06,-0.0475521236658
35.9375,0.06,-0.0660910084844
37.5,0.06,-0.0846740230918
39.0625,0.06,-0.10317043215
40.625,0.06,-0.121462963521
42.1875,0.06,-0.139450803399
43.75,0.06,-0.157051414251
45.3125,0.06,-0.174200490117
46.875,0.06,-0.190850183368
48.4375,0.06,-0.20696772635
0,0.07,0.180442348123
1.5625,0.07,0.177999407053
3.125,0.07,0.175028085709
4.6875,0.07,0.17149271071
6.25,0.07,0.167354166508
7.8125,0.07,0.162569627166
9.375,0.07,0.157094359398
10.9375,0.07,0.150880381465
12.5,0.07,0.143878176808
14.0625,0.07,0.13603913784
15.625,0.07,0.12731526792
17.1875,0.07,0.117664918303
18.75,0.07,0.107053302228
20.3125,0.07,0.0954567566514
21.875,0.07,0.0828668549657
23.4375,0.07,0.0692937597632
25,0.07,0.0547687709332
26.5625,0.07,0.0393457785249
28.125,0.07,0.0231026113033
29.6875,0.07,0.00613852124661
31.25,0.07,-0.0114273792133
32.8125,0.07,-0.0294618718326
34.375,0.07,-0.0478228405118
35.9375,0.07,-0.0663659721613
37.5,0.07,-0.0849507600069
39.0625,0.07,-0.103445656598
40.625,0.07,-0.121733948588
42.1875,0.07,-0.139715284109
43.75,0.07,-0.157306700945
45.3125,0.07,-0.174444407225
46.875,0.07,-0.19108094275
48.4375,0.07,-0.207183793187
0,0.08,0.180452316999
1.5625,0.08,0.17800052464
3.125,0.08,0.175020262599
4.6875,0.08,0.171474829316
6.25,0.08,0.167326003313
7.8125,0.08,0.16253067553
9.375,0.08,0.157044112682
10.9375,0.08,0.150817662477
12.5,0.08,0.143802821636
14.0625,0.08,0.135949850082
15.625,0.08,0.127211883664
17.1875,0.08,0.117546439171
18.75,0.08,0.106919117272
20.3125,0.08,0.0953062474728
21.875,0.08,0.082700073719
23.4375,0.08,0.0691106542945
25,0.08,0.0545692928135
26.5625,0.08,0.03913076967
28.125,0.08,0.0228727608919
29.6875,0.08,0.00589551310986
31.25,0.08,-0.0116817578673
32.8125,0.08,-0.0297256503254
34.375,0.08,-0.0480933822691
35.9375,0.08,-0.0666406527162
37.5,0.08,-0.085226751864
39.0625,0.08,-0.103720448911
40.625,0.08,-0.122004695237
42.1875,0.08,-0.139979064465
43.75,0.08,-0.157561376691
45.3125,0.08,-0.174687966704
46.875,0.08,-0.191311255097
48.4375,0.08,-0.20739877224
0,0.09,0.180462777615
1.5625,0.09,0.178001984954
3.125,0.09,0.175012171268
4.6875,0.09,0.171457096934
6.25,0.09,0.167297944427
7.8125,0.09,0.162491753697
9.375,0.09,0.156993493438
10.9375,0.09,0.150755017996
12.5,0.09,0.14372715354
14.0625,0.09,0.135860905051
15.625,0.09,0.127108499408
17.1875,0.09,0.117427997291
18.75,0.09,0.106784969568
20.3125,0.09,0.0951560735703
21.875,0.09,0.0825336128473
23.4375,0.09,0.0689274594188
25,0.09,0.0543699972332
26.5625,0.09,0.0389159247279
28.125,0.09,0.0226432550699
29.6875,0.09,0.00565287657082
31.25,0.09,-0.0119359483942
32.8125,0.09,-0.0299889557064
34.375,0.09,-0.0483636409044
35.9375,0.09,-0.0669149681926
37.5,0.09,-0.0855024755001
39.0625,0.09,-0.103994615376
40.625,0.09,-0.122274920344
42.1875,0.09,-0.140242248774
43.75,0.09,-0.157815471292
45.3125,0.09,-0.174930393696
46.875,0.09,-0.191540211439
48.4375,0.09,-0.207613170147
0,0.1,0.180473104119
1.5625,0.1,0.17800360918
3.125,0.1,0.175004199147
4.6875,0.1,0.171439707279
6.25,0.1,0.167270183563
7.8125,0.1,0.162452831864
9.375,0.1,0.156943142414
10.9375,0.1,0.150692418218
12.5,0.1,0.143651589751
14.0625,0.1,0.135771766305
15.625,0.1,0.127004936337
17.1875,0.1,0.117309637368
18.75,0.1,0.106650881469
20.3125,0.1,0.0950057804585
21.875,0.1,0.0823667868972
23.4375,0.1,0.0687445700169
25,0.1,0.0541707202792
26.5625,0.1,0.0387009643018
28.125,0.1,0.0224137548357
29.6875,0.1,0.00541022699326
31.25,0.1,-0.0121900206432
32.8125,0.1,-0.03025219962
34.375,0.1,-0.0486336164176
35.9375,0.1,-0.0671891570091
37.5,0.1,-0.0857776626945
39.0625,0.1,-0.104268535972
40.625,0.1,-0.122544296086
42.1875,0.1,-0.140504896641
43.75,0.1,-0.158068850636
45.3125,0.1,-0.175172194839
46.875,0.1,-0.191768884659
48.4375,0.1,-0.207826629281
0,0.11,0.180483996868
1.5625,0.11,0.178005114198
3.125,0.11,0.174996525049
4.6875,0.11,0.171422079206
6.25,0.11,0.167242139578
7.8125,0.11,0.16241414845
9.375,0.11,0.156892970204
10.9375,0.11,0.150629937649
12.5,0.11,0.14357611537
14.0625,0.11,0.135682478547
15.625,0.11,0.126901760697
17.1875,0.11,0.11719135195
18.75,0.11,0.106516882777
20.3125,0.11,0.0948557332158
21.875,0.11,0.0822004526854
23.4375,0.11,0.0685615092516
25,0.11,0.053971581161
26.5625,0.11,0.0384862013161
28.125,0.11,0.0221844688058
29.6875,0.11,0.00516769522801
31.25,0.11,-0.0124436924234
32.8125,0.11,-0.0305149834603
34.375,0.11,-0.0489032641053
35.9375,0.11,-0.0674628168344
37.5,0.11,-0.0860527530313
39.0625,0.11,-0.104541964829
40.625,0.11,-0.122813217342
42.1875,0.11,-0.140766978264
43.75,0.11,-0.158321529627
45.3125,0.11,-0.175413504243
46.875,0.11,-0.191996529698
48.4375,0.11,-0.208039209247
0,0.12,0.180494681001
1.5625,0.12,0.178007155657
3.125,0.12,0.1749894768
4.6875,0.12,0.171404853463
6.25,0.12,0.167214646935
7.8125,0.12,0.162375435233
9.375,0.12,0.156842648983
10.9375,0.12,0.150567501783
12.5,0.12,0.143500909209
14.0625,0.12,0.135593622923
15.625,0.12,0.126798406243
17.1875,0.12,0.117072954774
18.75,0.12,0.106382936239
20.3125,0.12,0.0947056636214
21.875,0.12,0.0820338949561
23.4375,0.12,0.0683787688613
25,0.12,0.0537725277245
26.5625,0.12,0.0382715165615
28.125,0.12,0.0219552051276
29.6875,0.12,0.0049255345948
31.25,0.12,-0.012697301805
32.8125,0.12,-0.0307778269053
34.375,0.12,-0.0491725690663
35.9375,0.12,-0.0677358731627
37.5,0.12,-0.08632709831
39.0625,0.12,-0.104814603925
40.625,0.12,-0.123081691563
42.1875,0.12,-0.141028389335
43.75,0.12,-0.158573448658
45.3125,0.12,-0.175653815269
46.875,0.12,-0.192223310471
48.4375,0.12,-0.208250924945
0,0.13,0.180505856872
1.5625,0.13,0.178009465337
3.125,0.13,0.174981966615
4.6875,0.13,0.171387687325
6.25,0.13,0.167187020183
7.8125,0.13,0.162337094545
9.375,0.13,0.15679256618
10.9375,0.13,0.150505512953
12.5,0.13,0.143426030874
14.0625,0.13,0.135504856706
15.625,0.13,0.126695200801
17.1875,0.13,0.116954483092
18.75,0.13,0.106248997152
20.3125,0.13,0.0945556908846
21.875,0.13,0.0818675905466
23.4375,0.13,0.0681957602501
25,0.13,0.0535735674202
26.5625,0.13,0.0380570180714
28.125,0.13,0.0217261686921
29.6875,0.13,0.00468339305371
31.25,0.13,-0.0129505908117
32.8125,0.13,-0.0310401711613
34.375,0.13,-0.04944152385
35.9375,0.13,-0.0680090263486
