alpha,residual,regularization
1e-06,0.00105445388645,2.45784619133
2.73841963426e-06,0.00243799232721,2.33536195331
7.49894209332e-06,0.00208597314741,2.18261226099
2.05352502646e-05,0.00163734070336,2.0303630477
5.6234132519e-05,0.00216135929308,1.87658645907
0.000153992652606,0.00324642592704,1.71011686807
0.000421696503429,0.00497339632685,1.64845118946
0.00115478198469,0.0116077618855,1.55134688278
0.00316227766017,0.0190544806203,1.3025747679
0.0086596432336,0.0393077489457,1.00738212208
0.0237137370566,0.046860180323,0.261380463792
0.0649381631576,0.0301141084091,0.0430889337251
0.177827941004,0.0329936010258,0.027666575754
0.486967525166,0.0575550395023,0.0315689585301
1.33352143216,0.0880805452589,0.0270679254291
3.65174127255,0.151059235249,0.0250316969811
10,0.743718550722,0.0442015575986
