x,t,u_pinn,u_rollout,abs_error
0,0,-0.303990751505,1.01347528222,1.31746603373
1.5625,0,-0.292582929134,0.573988034062,0.866570963197
3.125,0,-0.280423164368,-0.357511136716,0.0770879723479
4.6875,0,-0.267489343882,-0.946383563998,0.678894220117
6.25,0,-0.253768503666,-0.66009728969,0.406328786024
7.8125,0,-0.239257872105,0.259313854645,0.49857172675
9.375,0,-0.223967671394,1.01158409013,1.23555176153
10.9375,0,-0.207922831178,0.951147322874,1.15907015405
12.5,0,-0.191164195538,0.16307123193,0.354235427468
14.0625,0,-0.173749670386,-0.609865416401,0.436115746015
15.625,0,-0.155753612518,-0.624216986423,0.468463373905
17.1875,0,-0.137265890837,0.206488318225,0.343754209062
18.75,0,-0.118387587368,1.23664890999,1.35503649736
20.3125,0,-0.0992286652327,1.65985744454,1.75908610977
21.875,0,-0.0799019038677,1.21480070053,1.29470260439
23.4375,0,-0.0605183131993,0.397512564941,0.45803087814
25,0,-0.0411805473268,0,0.0411805473268
26.5625,0,-0.0219797771424,0.397512564941,0.419492342083
28.125,0,-0.00299101159908,1.21480070053,1.21779171212
29.6875,0,0.0157279297709,1.65985744454,1.64412951477
31.25,0,0.0341364555061,1.23664890999,1.20251245449
32.8125,0,0.0522096082568,0.206488318225,0.154278709968
34.375,0,0.0699345171452,-0.624216986423,0.694151503568
35.9375,0,0.0873065590858,-0.609865416401,0.697171975487
37.5,0,0.104325480759,0.16307123193,0.0587457511708
39.0625,0,0.12099082768,0.951147322874,0.830156495194
40.625,0,0.137299865484,1.01158409013,0.874284224648
42.1875,0,0.153244584799,0.259313854645,0.106069269846
43.75,0,0.168812289834,-0.66009728969,0.828909579524
45.3125,0,0.183984801173,-0.946383563998,1.13036836517
46.875,0,0.198741152883,-0.357511136716,0.556252289598
48.4375,0,0.213057532907,0.573988034062,0.360930501156
0,0.01,-0.304111272097,1.01766277046,1.32177404255
1.5625,0.01,-0.292701005936,0.580043871811,0.872744877747
3.125,0.01,-0.280537903309,-0.358712468127,0.0781745648179
4.6875,0.01,-0.267600268126,-0.948103815903,0.680503547777
6.25,0.01,-0.253874599934,-0.657141667669,0.403267067736
7.8125,0.01,-0.239358082414,0.259765232285,0.499123314699
9.375,0.01,-0.224060773849,1.01273487369,1.23679564754
10.9375,0.01,-0.208007708192,0.957693621739,1.16570132993
12.5,0.01,-0.191239640117,0.165448779555,0.356688419672
14.0625,0.01,-0.17381452024,-0.612407925283,0.438593405043
15.625,0.01,-0.155806735158,-0.623379399308,0.46757266415
17.1875,0.01,-0.137305676937,0.205689528856,0.342995205793
18.75,0.01,-0.11841326952,1.2327712883,1.35118455782
20.3125,0.01,-0.0992393866181,1.66352705141,1.76276643803
21.875,0.01,-0.0798968523741,1.22266429656,1.30256114893
23.4375,0.01,-0.0604968518019,0.399050451051,0.459547302853
25,0.01,-0.0411424860358,-0.00149711680567,0.0396453692302
26.5625,0.01,-0.0219250191003,0.395015513318,0.416940532418
28.125,0.01,-0.00291917822324,1.21020385359,1.21312303181
29.6875,0.01,0.0158166736364,1.6618926946,1.64607602097
31.25,0.01,0.0342419110239,1.24480244041,1.21056052938
32.8125,0.01,0.0523315817118,0.207102597541,0.154771015829
34.375,0.01,0.070072747767,-0.628817848825,0.698890596592
35.9375,0.01,0.0874608457088,-0.610712572315,0.698173418024
37.5,0.01,0.10449526459,0.161224237214,0.0567289726244
39.0625,0.01,0.121175639331,0.949002304835,0.827826665504
40.625,0.01,0.13749872148,1.01516696971,0.877668248225
42.1875,0.01,0.153456822038,0.260022951304,0.106566129266
43.75,0.01,0.169036611915,-0.666342192112,0.835378804026
45.3125,0.01,0.184220299125,-0.949353087757,1.13357338688
