x,uT_pinn,uT_rollout,abs_error
0,-0.21700130403,0.543011233391,0.760012537421
1.5625,-0.203065767884,1.04492598629,1.24799175417
3.125,-0.188669070601,1.27738464555,1.46605371616
4.6875,-0.173835486174,1.06871012768,1.24254561386
6.25,-0.158589303493,1.08442880625,1.24301810974
7.8125,-0.142952829599,1.47840606309,1.62135889269
9.375,-0.126944556832,3.24582079207,3.37276534891
10.9375,-0.110578030348,3.31578650824,3.42636453859
12.5,-0.09386190027,0.375911722499,0.469773622769
14.0625,-0.0767998024821,-0.239927520499,0.163127718017
15.625,-0.0593924857676,1.25488832591,1.31428081168
17.1875,-0.0416410081089,2.15807656597,2.19971757407
18.75,-0.0235504042357,3.3719954279,3.39554583213
20.3125,-0.00513368844986,1.80889625792,1.81402994637
21.875,0.0135834775865,-0.35021622655,0.363799704137
23.4375,0.0325605794787,0.484485124086,0.451924544607
25,0.0517393909395,1.14168589196,1.08994650102
26.5625,0.071045011282,1.15370409003,1.08265907875
28.125,0.0903866142035,1.8115406795,1.7211540653
29.6875,0.109661661088,0.682044140783,0.572382479694
31.25,0.128759860992,-2.83367852847,2.96243838946
32.8125,0.147569328547,-2.88510726483,3.03267659338
34.375,0.165981113911,-0.958572445971,1.12455355988
35.9375,0.183894693851,0.842743420117,0.658848726266
37.5,0.20122204721,0.3551838095,0.15396176229
39.0625,0.217889308929,-2.11221816947,2.3301074784
40.625,0.23384013772,-1.82938105523,2.06322119295
42.1875,0.24903447926,-0.660230453117,0.909264932377
43.75,0.263448357582,-1.47829274249,1.74174110008
45.3125,0.277072638273,-1.96264630954,2.23971894782
46.875,0.289910554886,-1.17918725749,1.46909781237
48.4375,0.301975816488,-0.361765518051,0.663741334539
