x,t,f
0,0,0.181421637535
1.5625,0,0.179051473737
3.125,0,0.176156818867
4.6875,0,0.172701895237
6.25,0,0.168648570776
7.8125,0,0.163954555988
9.375,0,0.158574804664
10.9375,0,0.152461901307
12.5,0,0.145566985011
14.0625,0,0.137841001153
15.625,0,0.129236489534
17.1875,0,0.119710959494
18.75,0,0.109228752553
20.3125,0,0.097765929997
21.875,0,0.085312306881
23.4375,0,0.0718760490417
25,0,0.0574850812554
26.5625,0,0.042191978544
28.125,0,0.0260704234242
29.6875,0,0.00921746809036
31.25,0,-0.00825193244964
32.8125,0,-0.0262066479772
34.375,0,-0.0445071198046
35.9375,0,-0.0630109459162
37.5,0,-0.08157800138
39.0625,0,-0.100077576935
40.625,0,-0.118392273784
42.1875,0,-0.136420294642
43.75,0,-0.154078066349
45.3125,0,-0.17129920423
46.875,0,-0.18803435564
48.4375,0,-0.204248934984
0,0.01,0.181431040168
1.5625,0.01,0.179051786661
3.125,0.01,0.176147818565
4.6875,0.01,0.172683537006
6.25,0.01,0.168620094657
7.8125,0.01,0.163915291429
9.375,0.01,0.158523947001
10.9375,0.01,0.152399018407
12.5,0.01,0.145491242409
14.0625,0.01,0.137751504779
15.625,0.01,0.129133015871
17.1875,0.01,0.119592480361
18.75,0.01,0.109094813466
20.3125,0.01,0.0976160168648
21.875,0.01,0.0851458385587
23.4375,0.01,0.0716927498579
25,0.01,0.0572859756649
26.5625,0.01,0.0419769175351
28.125,0.01,0.0258407443762
29.6875,0.01,0.00897396449
31.25,0.01,-0.00850701611489
32.8125,0.01,-0.0264715142548
34.375,0.01,-0.0447793751955
35.9375,0.01,-0.0632874667645
37.5,0.01,-0.0818565189838
39.0625,0.01,-0.100355282426
40.625,0.01,-0.118666239083
42.1875,0.01,-0.136688187718
43.75,0.01,-0.154337063432
45.3125,0.01,-0.171547353268
46.875,0.01,-0.188269734383
48.4375,0.01,-0.204469770193
0,0.02,0.181440204382
1.5625,0.02,0.179052397609
3.125,0.02,0.176139250398
4.6875,0.02,0.172665283084
6.25,0.02,0.16859139502
7.8125,0.02,0.163875833154
9.375,0.02,0.158472985029
10.9375,0.02,0.152336001396
12.5,0.02,0.145415574312
14.0625,0.02,0.137662544847
15.625,0.02,0.129029512405
17.1875,0.02,0.11947415024
18.75,0.02,0.108960859478
20.3125,0.02,0.097465775907
21.875,0.02,0.0849793627858
23.4375,0.02,0.0715097337961
25,0.02,0.057086687535
26.5625,0.02,0.0417619049549
28.125,0.02,0.025610845536
29.6875,0.02,0.00873067043722
31.25,0.02,-0.00876184925437
32.8125,0.02,-0.0267360117286
34.375,0.02,-0.0450510121882
35.9375,0.02,-0.0635638162494
37.5,0.02,-0.082134604454
39.0625,0.02,-0.100632540882
40.625,0.02,-0.118939742446
42.1875,0.02,-0.13695526123
43.75,0.02,-0.154595509171
45.3125,0.02,-0.171794772148
46.875,0.02,-0.188504263759
48.4375,0.02,-0.20468954742
0,0.03,0.181449830532
1.5625,0.03,0.179053157568
3.125,0.03,0.176130667329
4.6875,0.03,0.17264713347
6.25,0.03,0.168563112617
7.8125,0.03,0.163836479187
9.375,0.03,0.15842244029
10.9375,0.03,0.15227329731
12.5,0.03,0.145339876413
14.0625,0.03,0.1375734061
15.625,0.03,0.128926247358
17.1875,0.03,0.119355797768
18.75,0.03,0.108826816082
20.3125,0.03,0.0973159521818
21.875,0.03,0.0848129168153
23.4375,0.03,0.0713268220425
25,0.03,0.056887473911
26.5625,0.03,0.0415470525622
28.125,0.03,0.025381134823
29.6875,0.03,0.00848765019327
31.25,0.03,-0.00901673268527
32.8125,0.03,-0.0270001590252
34.375,0.03,-0.045322496444
35.9375,0.03,-0.0638397186995
37.5,0.03,-0.082412391901
39.0625,0.03,-0.100909218192
40.625,0.03,-0.11921261996
42.1875,0.03,-0.137221753597
43.75,0.03,-0.154853269458
45.3125,0.03,-0.172041535378
46.875,0.03,-0.188738033175
48.4375,0.03,-0.204908788204
0,0.04,0.181459650397
1.5625,0.04,0.179054141045
3.125,0.04,0.176122531295
4.6875,0.04,0.172629058361
6.25,0.04,0.168534755707
