x,t,u_true,u_pinn,abs_error
0,0,0,-0.00012943148613,0.00012943148613
0.0317332595587,0,0,-6.69062137604e-05,6.69062137604e-05
0.0634665191174,0,0,-1.6875565052e-05,1.6875565052e-05
0.095199778676,0,0,2.19717621803e-05,2.19717621803e-05
0.126933038235,0,0,5.10960817337e-05,5.10960817337e-05
0.158666297793,0,0,7.16596841812e-05,7.16596841812e-05
0.190399557352,0,0,8.52718949318e-05,8.52718949318e-05
0.222132816911,0,0,9.26032662392e-05,9.26032662392e-05
0.253866076469,0,0,9.50396060944e-05,9.50396060944e-05
0.285599350929,0,0,9.35941934586e-05,9.35941934586e-05
0.317332595587,0,0,8.91610980034e-05,8.91610980034e-05
0.349065840244,0,0,8.2366168499e-05,8.2366168499e-05
0.380799114704,0,0,7.42003321648e-05,7.42003321648e-05
0.412532389164,0,0,6.50957226753e-05,6.50957226753e-05
0.444265633821,0,0,5.58570027351e-05,5.58570027351e-05
0.475998878479,0,0,4.65735793114e-05,4.65735793114e-05
0.507732152939,0,0,3.80426645279e-05,3.80426645279e-05
0.539465427399,0,0,3.04207205772e-05,3.04207205772e-05
0.571198701859,0,0,2.36853957176e-05,2.36853957176e-05
0.602931916714,0,0,1.82017683983e-05,1.82017683983e-05
0.634665191174,0,0,1.41188502312e-05,1.41188502312e-05
0.666398465633,0,0,1.12280249596e-05,1.12280249596e-05
0.698131680489,0,0,9.62615013123e-06,9.62615013123e-06
0.729864954948,0,0,9.11951065063e-06,9.11951065063e-06
0.761598229408,0,0,9.87201929092e-06,9.87201929092e-06
0.793331503868,0,0,1.13919377327e-05,1.13919377327e-05
0.825064778328,0,0,1.38431787491e-05,1.38431787491e-05
0.856797993183,0,0,1.66818499565e-05,1.66818499565e-05
0.888531267643,0,0,2.01165676117e-05,2.01165676117e-05
0.920264542103,0,0,2.37300992012e-05,2.37300992012e-05
0.951997756958,0,0,2.75149941444e-05,2.75149941444e-05
0.983731031418,0,0,3.11583280563e-05,3.11583280563e-05
