alpha,residual,regularization
1e-06,0.00214561197064,2.48627822239
2.73841963426e-06,0.0027770621761,2.46091969317
7.49894209332e-06,0.00214417042129,2.40258669733
2.05352502646e-05,0.0022629443024,2.30142093179
5.6234132519e-05,0.00295744520066,2.15582143975
0.000153992652606,0.004754182069,1.99299996956
0.000421696503429,0.0090203176954,1.79394292691
0.00115478198469,0.017473901381,1.50765883695
0.00316227766017,0.0229763658578,1.31181759578
0.0086596432336,0.0383672331754,1.1507110046
0.0237137370566,0.0712275086844,0.738493574986
0.0649381631576,0.0912250831284,0.303538504711
0.177827941004,0.0610548935806,0.0690428310943
0.486967525166,0.0783331097646,0.0328234864012
1.33352143216,0.075704352393,0.0192093397154
3.65174127255,0.122048569603,0.0208138167868
10,0.806697760307,0.0493700656168
